published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-08-07,440.00,448.00,440.00,445.00,0.00,3439.00,1528472.00,0,1
2016-08-04,453.00,457.00,440.00,440.00,0.00,21754.00,9760505.00,0,2
2016-08-03,437.00,480.00,445.00,453.00,0.00,72499.00,33705676.00,0,3
2016-08-02,460.00,452.00,435.00,437.00,0.00,14740.00,6501032.00,0,4
2016-08-01,463.00,460.00,435.00,460.00,0.00,18758.00,8357148.00,0,5
2016-07-31,473.00,470.00,457.00,463.00,0.00,11094.00,5124467.00,0,6
2016-07-28,480.00,491.00,465.00,473.00,0.00,21678.00,10385416.00,0,7
2016-07-27,485.00,510.00,465.00,480.00,0.00,29311.00,14199986.00,0,8
2016-07-26,453.00,489.00,462.00,485.00,0.00,35078.00,16539677.00,0,9
2016-07-25,433.00,464.00,438.00,453.00,0.00,52399.00,23708756.00,0,10
2016-07-21,428.00,439.00,427.00,433.00,0.00,12090.00,5250421.00,0,11
2016-07-20,434.00,438.00,428.00,428.00,0.00,14310.00,6174900.00,0,12
2016-07-19,425.00,434.00,424.00,434.00,0.00,12628.00,5424341.00,0,13
2016-07-18,421.00,430.00,418.00,425.00,0.00,13173.00,5617877.00,0,14
2016-07-17,413.00,429.00,407.00,421.00,0.00,6941.00,2901317.00,0,15
2016-07-14,410.00,421.00,412.00,413.00,0.00,4894.00,2032114.00,0,16
2016-07-13,407.00,415.00,392.00,410.00,0.00,5956.00,2374967.00,0,17
2016-07-12,412.00,424.00,405.00,407.00,0.00,18552.00,7651722.00,0,18
2016-07-11,424.00,432.00,412.00,412.00,0.00,3237.00,1356850.00,0,19
2016-07-10,416.00,424.00,415.00,424.00,0.00,18856.00,7915189.00,0,20
2016-07-06,413.00,420.00,413.00,416.00,0.00,17772.00,7400162.00,0,21
2016-07-05,410.00,415.00,406.00,413.00,0.00,7906.00,3245092.00,0,22
2016-07-04,405.00,418.00,409.00,410.00,0.00,19876.00,8189342.00,0,23
2016-07-03,397.00,420.00,400.00,405.00,0.00,24965.00,10185630.00,0,24
2016-06-30,398.00,399.00,392.00,397.00,0.00,7819.00,3103064.00,0,25
2016-06-29,395.00,399.00,395.00,398.00,0.00,10130.00,4022406.00,0,26
2016-06-28,393.00,402.00,395.00,395.00,0.00,12640.00,5024118.00,0,27
2016-06-27,385.00,400.00,392.00,393.00,0.00,4553.00,1798620.00,0,28
2016-06-26,391.00,398.00,381.00,385.00,0.00,5203.00,2013708.00,0,29
2016-06-23,390.00,398.00,378.00,391.00,0.00,8758.00,3394094.00,0,30
2016-06-22,391.00,400.00,390.00,390.00,0.00,7639.00,2998972.00,0,31
2016-06-21,394.00,397.00,390.00,391.00,0.00,3878.00,1520298.00,0,32
2016-06-20,388.00,402.00,389.00,394.00,0.00,6678.00,2637924.00,0,33
2016-06-19,385.00,412.00,388.00,388.00,0.00,15661.00,6217219.00,0,34
2016-06-16,390.00,393.00,384.00,385.00,0.00,10063.00,3916865.00,0,35
2016-06-15,377.00,390.00,375.00,390.00,0.00,13652.00,5232084.00,0,36
2016-06-14,376.00,379.00,372.00,377.00,0.00,8315.00,3126845.00,0,37
2016-06-13,380.00,386.00,375.00,376.00,0.00,8607.00,3263539.00,0,38
2016-06-12,368.00,384.00,372.00,380.00,0.00,11292.00,4262004.00,0,39
2016-06-09,376.00,381.00,368.00,368.00,0.00,10207.00,3797662.00,0,40
2016-06-08,375.00,382.00,371.00,376.00,0.00,2857.00,1074010.00,0,41
2016-06-07,371.00,380.00,370.00,375.00,0.00,7411.00,2780873.00,0,42
2016-06-06,367.00,371.00,367.00,371.00,0.00,2799.00,1034462.00,0,43
2016-06-05,370.00,373.00,367.00,367.00,0.00,3897.00,1441366.00,0,44
2016-06-02,374.00,371.00,363.00,370.00,0.00,4300.00,1576900.00,0,45
2016-06-01,380.00,375.00,370.00,374.00,0.00,441.00,164834.00,0,46
2016-05-31,380.00,383.00,376.00,380.00,0.00,7553.00,2867693.00,0,47
2016-05-30,373.00,380.00,370.00,380.00,0.00,7883.00,2927118.00,0,48
2016-05-29,375.00,381.00,371.00,373.00,0.00,8867.00,3325871.00,0,49
2016-05-26,380.00,380.00,371.00,375.00,0.00,5827.00,2182338.00,0,50
2016-05-25,381.00,380.00,375.00,380.00,0.00,2315.00,870700.00,0,51
2016-05-24,389.00,389.00,381.00,381.00,0.00,4989.00,1923399.00,0,52
2016-05-23,381.00,389.00,380.00,389.00,0.00,2984.00,1145477.00,0,53
2016-05-22,380.00,385.00,374.00,381.00,0.00,5328.00,2029084.00,0,54
2016-05-19,377.00,384.00,375.00,380.00,0.00,5594.00,2122395.00,0,55
2016-05-18,382.00,382.00,377.00,377.00,0.00,6883.00,2614154.00,0,56
2016-05-17,380.00,382.00,380.00,382.00,0.00,2618.00,999492.00,0,57
2016-05-16,380.00,380.00,379.00,380.00,0.00,1100.00,417500.00,0,58
2016-05-15,389.00,391.00,377.00,380.00,0.00,10904.00,4200122.00,0,59
2016-05-12,385.00,390.00,385.00,389.00,0.00,9509.00,3698672.00,0,60
2016-05-11,390.00,391.00,385.00,385.00,0.00,2150.00,833759.00,0,61
2016-05-10,390.00,393.00,388.00,390.00,0.00,6200.00,2417630.00,0,62
2016-05-09,390.00,391.00,385.00,390.00,0.00,4573.00,1779335.00,0,63
2016-05-08,383.00,390.00,378.00,390.00,0.00,8625.00,3324963.00,0,64
2016-05-05,387.00,385.00,380.00,383.00,0.00,1885.00,720425.00,0,65
2016-05-04,389.00,398.00,385.00,387.00,0.00,10947.00,4264874.00,0,66
2016-05-03,390.00,389.00,387.00,389.00,0.00,2693.00,1044380.00,0,67
2016-05-02,390.00,400.00,389.00,390.00,0.00,10236.00,4028260.00,0,68
2016-04-28,390.00,391.00,387.00,390.00,0.00,13138.00,5113938.00,0,69
2016-04-27,385.00,396.00,384.00,390.00,0.00,9719.00,3790430.00,0,70
2016-04-26,399.00,400.00,385.00,385.00,0.00,6943.00,2742491.00,0,71
2016-04-25,381.00,399.00,387.00,399.00,0.00,12493.00,4904055.00,0,72
2016-04-24,380.00,383.00,375.00,381.00,0.00,5400.00,2049909.00,0,73
2016-04-21,382.00,389.00,378.00,380.00,0.00,5410.00,2073768.00,0,74
2016-04-20,376.00,386.00,380.00,382.00,0.00,11757.00,4507549.00,0,75
2016-04-19,373.00,378.00,374.00,376.00,0.00,8549.00,3222790.00,0,76
2016-04-18,374.00,378.00,373.00,373.00,0.00,9588.00,3597692.00,0,77
2016-04-17,370.00,374.00,365.00,374.00,0.00,1513.00,559662.00,0,78
2016-04-14,375.00,375.00,370.00,370.00,0.00,2930.00,1090100.00,0,79
2016-04-12,375.00,375.00,370.00,375.00,0.00,2468.00,917789.00,0,80
2016-04-11,368.00,380.00,370.00,375.00,0.00,11347.00,4245218.00,0,81
2016-04-10,360.00,372.00,360.00,368.00,0.00,20207.00,7374620.00,0,82
2016-04-06,365.00,372.00,360.00,360.00,0.00,9417.00,3441044.00,0,83
2016-04-05,372.00,370.00,365.00,365.00,0.00,4824.00,1773549.00,0,84
2016-04-04,360.00,372.00,365.00,372.00,0.00,6055.00,2229885.00,0,85
2016-04-03,365.00,360.00,355.00,360.00,0.00,2739.00,979985.00,0,86
2016-03-31,370.00,369.00,360.00,365.00,0.00,813.00,295785.00,0,87
2016-03-30,372.00,370.00,370.00,370.00,0.00,850.00,314500.00,0,88
2016-03-29,367.00,375.00,369.00,372.00,0.00,5297.00,1973057.00,0,89
2016-03-28,357.00,370.00,358.00,367.00,0.00,5920.00,2151970.00,0,90
2016-03-27,364.00,364.00,357.00,357.00,0.00,2824.00,1014970.00,0,91
2016-03-24,364.00,370.00,364.00,364.00,0.00,2479.00,912730.00,0,92
2016-03-23,365.00,375.00,362.00,364.00,0.00,6762.00,2467928.00,0,93
2016-03-21,369.00,370.00,360.00,365.00,0.00,2815.00,1027320.00,0,94
2016-03-20,364.00,377.00,369.00,369.00,0.00,3301.00,1226521.00,0,95
2016-03-17,369.00,367.00,364.00,364.00,0.00,2800.00,1024500.00,0,96
2016-03-16,368.00,370.00,368.00,369.00,0.00,2028.00,748432.00,0,97
2016-03-15,363.00,368.00,361.00,368.00,0.00,2059.00,750007.00,0,98
2016-03-14,371.00,372.00,363.00,363.00,0.00,8063.00,2959433.00,0,99
2016-03-13,375.00,380.00,370.00,371.00,0.00,26003.00,9697393.00,0,100
2016-03-10,368.00,375.00,370.00,375.00,0.00,2639.00,983630.00,0,101
2016-03-06,385.00,380.00,368.00,368.00,0.00,5139.00,1917260.00,0,102
2016-03-03,380.00,387.00,370.00,385.00,0.00,5388.00,2041762.00,0,103
2016-03-02,386.00,384.00,379.00,380.00,0.00,3340.00,1271015.00,0,104
2016-03-01,393.00,395.00,384.00,386.00,0.00,16250.00,6341311.00,0,105
2016-02-29,387.00,393.00,386.00,393.00,0.00,13744.00,5361831.00,0,106
2016-02-28,375.00,387.00,377.00,387.00,0.00,17148.00,6557419.00,0,107
2016-02-25,371.00,375.00,365.00,375.00,0.00,4948.00,1824721.00,0,108
2016-02-24,372.00,371.00,365.00,371.00,0.00,4581.00,1681995.00,0,109
2016-02-23,380.00,384.00,365.00,372.00,0.00,6997.00,2632730.00,0,110
2016-02-22,377.00,388.00,375.00,380.00,0.00,14682.00,5599826.00,0,111
2016-02-21,355.00,377.00,360.00,377.00,0.00,35135.00,13018214.00,0,112
2016-02-18,348.00,358.00,345.00,355.00,0.00,14717.00,5177798.00,0,113
2016-02-17,345.00,353.00,348.00,348.00,0.00,10242.00,3594920.00,0,114
2016-02-16,338.00,352.00,340.00,345.00,0.00,9327.00,3204963.00,0,115
2016-02-15,344.00,344.00,335.00,338.00,0.00,2944.00,1000814.00,0,116
2016-02-14,345.00,350.00,340.00,344.00,0.00,18920.00,6477339.00,0,117
2016-02-11,348.00,345.00,345.00,345.00,0.00,443.00,152835.00,0,118
2016-02-08,350.00,350.00,345.00,348.00,0.00,8085.00,2814708.00,0,119
2016-02-07,345.00,351.00,347.00,350.00,0.00,5257.00,1834072.00,0,120
2016-02-04,345.00,348.00,343.00,345.00,0.00,6968.00,2413860.00,0,121
2016-02-03,340.00,350.00,340.00,345.00,0.00,5620.00,1963592.00,0,122
2016-02-02,345.00,351.00,339.00,340.00,0.00,9371.00,3218439.00,0,123
2016-02-01,349.00,350.00,345.00,345.00,0.00,4084.00,1425337.00,0,124
2016-01-31,350.00,350.00,335.00,349.00,0.00,10222.00,3441455.00,0,125
2016-01-28,350.00,355.00,344.00,350.00,0.00,4991.00,1741998.00,0,126
2016-01-27,344.00,357.00,349.00,350.00,0.00,8684.00,3045536.00,0,127
2016-01-26,350.00,371.00,344.00,344.00,0.00,34979.00,12445428.00,0,128
2016-01-25,333.00,366.00,339.00,350.00,0.00,49542.00,17595578.00,0,129
2016-01-24,303.00,333.00,308.00,333.00,0.00,36384.00,11669473.00,0,130
2016-01-21,306.00,308.00,303.00,303.00,0.00,3910.00,1189740.00,0,131
2016-01-20,306.00,306.00,306.00,306.00,0.00,33.00,10098.00,0,132
2016-01-19,302.00,307.00,303.00,306.00,0.00,1885.00,575338.00,0,133
2016-01-18,308.00,313.00,302.00,302.00,0.00,10174.00,3099718.00,0,134
2016-01-17,303.00,309.00,305.00,308.00,0.00,9250.00,2838900.00,0,135
2016-01-14,302.00,308.00,300.00,303.00,0.00,5431.00,1639071.00,0,136
2016-01-13,315.00,309.00,302.00,302.00,0.00,1467.00,445453.00,0,137
2016-01-12,303.00,315.00,300.00,315.00,0.00,4563.00,1378471.00,0,138
2016-01-11,309.00,312.00,303.00,303.00,0.00,13192.00,4052804.00,0,139
2016-01-10,306.00,316.00,304.00,309.00,0.00,5011.00,1549477.00,0,140
2016-01-07,290.00,315.00,295.00,306.00,0.00,13417.00,4074468.00,0,141
2016-01-06,291.00,290.00,290.00,290.00,0.00,73.00,21170.00,0,142
2016-01-05,290.00,304.00,291.00,291.00,0.00,4104.00,1214194.00,0,143
2016-01-04,290.00,290.00,288.00,290.00,0.00,1368.00,395744.00,0,144
2016-01-03,296.00,293.00,289.00,290.00,0.00,3338.00,970902.00,0,145
2015-12-31,296.00,305.00,296.00,296.00,0.00,14569.00,4362930.00,0,146
2015-12-29,295.00,305.00,290.00,296.00,0.00,4049.00,1196224.00,0,147
2015-12-28,306.00,330.00,295.00,295.00,0.00,6200.00,1931200.00,0,148
2015-12-27,281.00,306.00,286.00,306.00,0.00,7786.00,2271973.00,0,149
2015-12-24,266.00,281.00,271.00,281.00,0.00,90.00,24990.00,0,150
2015-12-23,261.00,266.00,266.00,266.00,0.00,110.00,29260.00,0,151
2015-12-22,295.00,300.00,291.00,295.00,0.00,4592.00,1358997.00,0,152
2015-12-21,294.00,296.00,295.00,295.00,0.00,402.00,118892.00,0,153
2015-12-20,295.00,300.00,294.00,294.00,0.00,1325.00,395311.00,0,154
2015-12-17,290.00,295.00,282.00,295.00,0.00,3368.00,980490.00,0,155
2015-12-16,280.00,290.00,280.00,290.00,0.00,1192.00,339760.00,0,156
2015-12-14,290.00,285.00,280.00,280.00,0.00,900.00,254000.00,0,157
2015-12-13,295.00,295.00,290.00,290.00,0.00,2454.00,718927.00,0,158
2015-12-10,295.00,295.00,295.00,295.00,0.00,614.00,181130.00,0,159
2015-12-09,290.00,300.00,292.00,295.00,0.00,1665.00,491896.00,0,160
2015-12-08,285.00,290.00,290.00,290.00,0.00,771.00,223590.00,0,161
2015-12-07,295.00,290.00,285.00,285.00,0.00,1073.00,308670.00,0,162
2015-12-06,290.00,295.00,290.00,295.00,0.00,2900.00,850550.00,0,163
2015-12-03,286.00,291.00,290.00,290.00,0.00,522.00,151402.00,0,164
2015-12-02,281.00,286.00,286.00,286.00,0.00,416.00,118976.00,0,165
2015-12-01,271.00,281.00,276.00,281.00,0.00,20.00,5570.00,0,166
