published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-17,328.00,333.50,328.00,331.60,1.37,187049.00,62017332.40,1,1
2025-07-16,329.9,330.1,324.0,327.13,1.06,142187.0,46621305.0,1,1
2025-07-15,312.1,326.0,311.7,323.7,2.53,106227.0,33639078.0,1,1
2025-07-14,329.0,329.0,314.2,315.71,-3.46,115004.0,36558787.3,-1,1
2025-07-13,320.9,333.5,320.9,327.02,3.91,215092.0,70109382.3,1,1
2025-07-10,304.2,320.0,304.1,314.7,3.45,258347.0,81470959.8,1,1
2025-07-09,301.0,307.0,295.1,304.2,2.4,122851.0,37052937.6,1,1
2025-07-08,295.2,299.0,294.0,297.08,0.19,76334.0,22577732.4,1,1
2025-07-07,297.0,303.5,296.0,296.51,-1.14,58749.0,17604399.3,-1,1
2025-07-06,300.0,306.0,297.0,299.94,-0.27,72632.0,21844890.7,-1,1
2025-07-03,303.0,305.0,297.0,300.74,0.03,123907.0,37182630.5,1,1
2025-07-02,295.0,301.8,294.0,300.65,2.37,124408.0,37171581.2,1,1
2025-07-01,281.6,296.0,281.6,293.7,2.23,65159.0,18965466.8,1,1
2025-06-30,290.0,291.0,286.0,287.28,0.21,25817.0,7430581.2,1,1
2025-06-29,285.0,287.4,280.0,286.67,1.71,37928.0,10772527.8,1,1
2025-06-26,281.8,284.0,281.1,281.85,0.04,30005.0,8456034.1,1,1
2025-06-25,286.0,286.0,281.0,281.73,0.09,17868.0,5036748.6,1,1
2025-06-24,280.1,285.7,277.0,281.48,0.09,24677.0,6983497.5,1,1
2025-06-23,278.5,282.4,278.5,281.24,0.06,28893.0,8105916.6,1,1
2025-06-22,284.0,287.0,280.5,281.08,-1.09,37857.0,10678944.0,-1,1
2025-06-19,280.0,285.0,280.0,284.18,-0.47,19789.0,5620534.7,-1,1
2025-06-18,285.0,288.0,284.0,285.52,0.26,17243.0,4924385.6,1,1
2025-06-17,286.2,287.0,283.1,284.77,-0.45,19099.0,5428592.1,-1,1
2025-06-16,289.0,289.0,284.5,286.05,0.63,25471.0,7275801.7,1,1
2025-06-15,286.1,288.0,284.0,284.25,-0.68,35850.0,10207666.6,-1,1
2025-06-12,285.0,289.3,285.0,286.2,-0.66,28838.0,8250613.9,-1,1
2025-06-11,284.5,291.0,284.2,288.09,-0.08,13387.0,3857620.9,-1,1
2025-06-10,293.0,293.0,287.2,288.33,-0.04,25016.0,7230860.2,-1,1
2025-06-09,286.0,291.0,285.0,288.44,0.29,17735.0,5128465.9,1,1
2025-06-08,288.5,290.0,285.0,287.6,-0.23,10481.0,3010633.6,-1,1
2025-06-05,290.0,291.0,283.0,288.25,-0.68,43892.0,12598798.4,-1,1
2025-06-04,285.7,291.0,285.7,290.21,-0.42,21673.0,6263062.5,-1,1
2025-06-03,295.0,298.0,291.1,291.42,-1.81,37267.0,10906849.0,-1,2
2025-06-02,305.5,306.0,294.6,296.78,-0.94,56718.0,16928950.1,-1,1
2025-05-28,293.0,300.0,291.8,299.6,1.75,49484.0,14693755.4,1,1
2025-05-27,295.0,296.0,290.0,294.44,-0.88,37980.0,11143808.2,-1,2
2025-05-26,300.8,303.0,297.0,297.05,0.7,56707.0,16946564.2,1,1
2025-05-25,300.0,300.0,294.1,294.98,-0.59,29709.0,8816051.4,-1,2
2025-05-22,290.0,303.0,284.0,296.73,2.57,59233.0,17531706.8,1,3
2025-05-21,295.1,305.0,288.1,289.29,-0.04,57459.0,16941172.5,-1,4
2025-05-20,282.0,290.7,280.0,289.4,2.34,29990.0,8586259.2,1,5
2025-05-19,280.1,284.9,280.1,282.78,0.86,21693.0,6134099.5,1,6
2025-05-18,281.5,283.5,278.0,280.36,-0.27,26842.0,7510458.4,-1,7
2025-05-15,280.0,282.0,278.2,281.11,0.01,26415.0,7412963.8,1,8
2025-05-14,280.1,285.0,280.0,281.08,-0.35,18859.0,5300226.6,-1,9
2025-05-13,286.79,286.79,280.9,282.06,-0.78,21636.0,6119318.96,-1,10
2025-05-11,292.0,292.0,284.0,284.27,-1.01,21211.0,6046435.5,-1,11
2025-05-08,292.0,292.0,283.0,287.17,0.29,22151.0,6385490.4,1,12
2025-05-07,272.3,287.0,272.3,286.33,3.06,29812.0,8423092.2,1,13
2025-05-06,279.0,281.0,277.5,277.83,-0.83,24515.0,6822398.1,-1,14
2025-05-05,280.0,281.5,279.0,280.16,0.02,14774.0,4139184.2,1,15
2025-05-04,285.0,285.0,279.0,280.11,-0.19,19617.0,5507240.8,-1,16
2025-04-30,280.0,281.9,279.0,280.63,-0.16,25703.0,7211538.1,-1,17
2025-04-29,280.0,283.0,280.0,281.09,-0.34,16939.0,4768573.8,-1,18
2025-04-28,280.4,282.8,280.0,282.06,0.28,22512.0,6342921.2,1,19
2025-04-27,285.0,285.9,280.3,281.27,-0.77,26308.0,7412711.0,-1,20
2025-04-24,282.1,284.8,280.5,283.45,0.19,20455.0,5766008.1,1,21
2025-04-23,286.0,287.0,282.1,282.91,-1.08,21640.0,6142098.4,-1,22
2025-04-22,291.0,291.0,285.1,285.99,-0.55,20167.0,5767480.3,-1,23
2025-04-21,293.0,293.0,287.0,287.56,-1.15,23794.0,6867513.3,-1,24
2025-04-20,296.0,297.0,288.2,290.92,-0.36,37196.0,10809294.5,-1,25
2025-04-17,295.0,295.0,289.5,291.96,0.69,26221.0,7651074.8,1,26
2025-04-16,294.0,294.0,289.0,289.97,0.53,23865.0,6952798.4,1,27
2025-04-15,292.0,292.9,286.2,288.45,0.09,21484.0,6236362.3,1,28
2025-04-13,290.0,290.0,285.0,288.18,0.11,24409.0,7024076.9,1,29
2025-04-10,291.0,293.0,287.1,287.85,-0.87,19731.0,5687713.3,-1,30
2025-04-09,296.9,300.0,289.9,290.37,-0.25,23950.0,6979137.6,-1,31
2025-04-08,290.0,293.0,285.0,291.09,-0.22,33174.0,9530833.2,-1,32
2025-04-07,305.0,305.0,291.1,291.72,-2.48,20209.0,5920361.0,-1,33
2025-04-03,295.0,303.9,295.0,299.13,1.32,79398.0,23849007.6,1,34
2025-04-02,288.0,313.0,285.2,295.23,2.16,41118.0,11995502.9,1,35
2025-04-01,290.0,290.0,285.0,288.99,0.59,16186.0,4653391.8,1,36
2025-03-30,285.0,290.0,285.0,287.3,0.67,28128.0,8102372.4,1,37
2025-03-27,287.8,287.8,283.7,285.38,1.14,21529.0,6129493.5,1,38
2025-03-26,280.0,283.0,278.5,282.17,0.57,18208.0,5119018.8,1,39
