published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-07-23,109.00,109.00,105.00,107.00,0.00,2282.00,243920.00,0,1
2012-07-22,104.00,110.00,106.00,109.00,0.00,2154.00,232132.00,0,2
2012-07-19,108.00,106.00,104.00,104.00,0.00,300.00,31340.00,0,3
2012-07-18,107.00,109.00,106.00,108.00,0.00,670.00,72030.00,0,4
2012-07-17,102.00,107.00,103.00,107.00,0.00,2576.00,270442.00,0,5
2012-07-16,111.00,109.00,101.00,102.00,0.00,1884.00,192154.00,0,6
2012-07-15,123.00,121.00,111.00,111.00,0.00,447.00,50585.00,0,7
2012-07-03,128.00,126.00,123.00,123.00,0.00,82.00,10229.00,0,8
2012-07-02,130.00,128.00,128.00,128.00,0.00,10.00,1280.00,0,9
2012-06-14,132.00,130.00,130.00,130.00,0.00,50.00,6500.00,0,10
2012-06-05,136.00,134.00,132.00,132.00,0.00,1020.00,134680.00,0,11
2012-05-20,134.00,136.00,136.00,136.00,0.00,100.00,13600.00,0,12
2012-04-30,130.00,134.00,132.00,134.00,0.00,610.00,80540.00,0,13
2012-04-29,124.00,130.00,126.00,130.00,0.00,430.00,55040.00,0,14
2012-04-26,118.00,124.00,120.00,124.00,0.00,510.00,62020.00,0,15
2012-04-25,116.00,118.00,118.00,118.00,0.00,80.00,9440.00,0,16
2012-04-22,115.00,116.00,116.00,116.00,0.00,20.00,2320.00,0,17
2012-04-19,107.00,115.00,109.00,115.00,0.00,90.00,10090.00,0,18
2012-04-17,107.00,109.00,107.00,107.00,0.00,120.00,12880.00,0,19
2012-04-15,105.00,107.00,107.00,107.00,0.00,120.00,12840.00,0,20
2012-04-08,100.00,105.00,102.00,105.00,0.00,104.00,10752.00,0,21
2012-03-27,100.00,100.00,100.00,100.00,0.00,150.00,15000.00,0,22
2012-03-26,100.00,100.00,100.00,100.00,0.00,100.00,10000.00,0,23
2012-03-21,100.00,102.00,100.00,100.00,0.00,470.00,47600.00,0,24
2012-03-18,106.00,104.00,100.00,100.00,0.00,100.00,10200.00,0,25
2012-03-12,106.00,106.00,106.00,106.00,0.00,20.00,2120.00,0,26
2012-03-11,108.00,106.00,106.00,106.00,0.00,140.00,14840.00,0,27
2012-03-06,112.00,110.00,108.00,108.00,0.00,410.00,44680.00,0,28
2012-03-05,116.00,112.00,112.00,112.00,0.00,120.00,13440.00,0,29
2012-02-29,112.00,116.00,114.00,116.00,0.00,60.00,6900.00,0,30
2012-02-27,110.00,112.00,112.00,112.00,0.00,10.00,1120.00,0,31
2012-02-23,111.00,110.00,110.00,110.00,0.00,100.00,11000.00,0,32
2012-02-16,112.00,111.00,111.00,111.00,0.00,120.00,13320.00,0,33
2012-02-12,112.00,112.00,112.00,112.00,0.00,140.00,15680.00,0,34
2012-02-07,110.00,112.00,112.00,112.00,0.00,20.00,2240.00,0,35
2012-02-05,108.00,110.00,110.00,110.00,0.00,20.00,2200.00,0,36
2012-01-31,107.00,108.00,108.00,108.00,0.00,50.00,5400.00,0,37
2012-01-25,107.00,109.00,107.00,107.00,0.00,220.00,23560.00,0,38
2012-01-23,113.00,111.00,107.00,107.00,0.00,150.00,16430.00,0,39
2012-01-22,113.00,113.00,113.00,113.00,0.00,40.00,4520.00,0,40
2012-01-19,115.00,113.00,113.00,113.00,0.00,50.00,5650.00,0,41
2012-01-18,116.00,116.00,115.00,115.00,0.00,160.00,18480.00,0,42
2012-01-12,116.00,116.00,116.00,116.00,0.00,40.00,4640.00,0,43
2012-01-11,118.00,117.00,116.00,116.00,0.00,330.00,38470.00,0,44
2012-01-10,116.00,118.00,118.00,118.00,0.00,20.00,2360.00,0,45
2012-01-04,120.00,118.00,116.00,116.00,0.00,100.00,11720.00,0,46
2012-01-02,120.00,121.00,120.00,120.00,0.00,20.00,2410.00,0,47
2011-12-26,125.00,120.00,120.00,120.00,0.00,50.00,6000.00,0,48
2011-12-21,127.00,128.00,125.00,125.00,0.00,930.00,117360.00,0,49
2011-12-20,126.00,128.00,127.00,127.00,0.00,2195.00,278875.00,0,50
2011-12-19,126.00,127.00,126.00,126.00,0.00,710.00,89690.00,0,51
2011-12-18,127.00,128.00,126.00,126.00,0.00,550.00,69610.00,0,52
2011-12-15,133.00,131.00,125.00,127.00,0.00,790.00,100650.00,0,53
2011-12-14,121.00,133.00,123.00,133.00,0.00,590.00,75660.00,0,54
2011-12-13,125.00,125.00,121.00,121.00,0.00,890.00,109650.00,0,55
2011-12-12,124.00,125.00,125.00,125.00,0.00,1100.00,137500.00,0,56
2011-12-11,126.00,127.00,122.00,124.00,0.00,550.00,68330.00,0,57
2011-12-08,122.00,126.00,124.00,126.00,0.00,70.00,8780.00,0,58
2011-12-07,120.00,122.00,122.00,122.00,0.00,150.00,18300.00,0,59
2011-12-06,122.00,120.00,120.00,120.00,0.00,10.00,1200.00,0,60
2011-12-04,122.00,122.00,122.00,122.00,0.00,80.00,9760.00,0,61
2011-12-01,124.00,124.00,122.00,122.00,0.00,240.00,29580.00,0,62
2011-11-28,128.00,127.00,126.00,126.00,0.00,520.00,65600.00,0,63
2011-11-27,128.00,128.00,128.00,128.00,0.00,110.00,14080.00,0,64
2011-11-24,128.00,128.00,128.00,128.00,0.00,1500.00,192000.00,0,65
2011-11-23,125.00,128.00,124.00,128.00,0.00,90.00,11320.00,0,66
2011-11-22,125.00,125.00,125.00,125.00,0.00,10.00,1250.00,0,67
2011-11-21,127.00,125.00,125.00,125.00,0.00,60.00,7500.00,0,68
2011-11-17,127.00,127.00,127.00,127.00,0.00,50.00,6350.00,0,69
2011-11-16,129.00,128.00,127.00,127.00,0.00,60.00,7660.00,0,70
2011-11-15,128.00,129.00,126.00,129.00,0.00,160.00,20540.00,0,71
2011-11-14,130.00,128.00,128.00,128.00,0.00,50.00,6400.00,0,72
2011-11-13,132.00,132.00,128.00,130.00,0.00,90.00,11660.00,0,73
2011-11-10,131.00,132.00,132.00,132.00,0.00,50.00,6600.00,0,74
2011-11-09,132.00,131.00,131.00,131.00,0.00,90.00,11790.00,0,75
2011-11-08,134.00,132.00,130.00,132.00,0.00,510.00,67300.00,0,76
2011-11-06,133.00,134.00,134.00,134.00,0.00,230.00,30820.00,0,77
2011-11-03,125.00,135.00,125.00,133.00,0.00,1270.00,164280.00,0,78
2011-10-31,123.00,125.00,125.00,125.00,0.00,40.00,5000.00,0,79
2011-10-25,121.00,123.00,123.00,123.00,0.00,370.00,45510.00,0,80
2011-10-24,122.00,121.00,121.00,121.00,0.00,200.00,24200.00,0,81
2011-10-20,125.00,123.00,122.00,122.00,0.00,60.00,7330.00,0,82
2011-10-19,128.00,127.00,124.00,125.00,0.00,1160.00,145040.00,0,83
2011-10-18,131.00,132.00,128.00,128.00,0.00,410.00,53580.00,0,84
2011-10-16,130.00,131.00,131.00,131.00,0.00,80.00,10480.00,0,85
2011-10-13,130.00,132.00,128.00,130.00,0.00,310.00,40280.00,0,86
2011-10-10,130.00,130.00,129.00,130.00,0.00,160.00,20680.00,0,87
2011-10-09,128.00,130.00,130.00,130.00,0.00,80.00,10400.00,0,88
2011-10-02,126.00,128.00,126.00,128.00,0.00,160.00,20460.00,0,89
2011-09-29,125.00,126.00,122.00,126.00,0.00,150.00,18680.00,0,90
2011-09-26,127.00,125.00,125.00,125.00,0.00,70.00,8750.00,0,91
2011-09-25,129.00,127.00,127.00,127.00,0.00,50.00,6350.00,0,92
2011-09-22,129.00,130.00,127.00,129.00,0.00,150.00,19410.00,0,93
2011-09-21,125.00,129.00,127.00,129.00,0.00,70.00,9010.00,0,94
2011-09-20,123.00,125.00,121.00,125.00,0.00,70.00,8630.00,0,95
2011-09-19,125.00,124.00,121.00,123.00,0.00,390.00,47790.00,0,96
2011-09-18,126.00,125.00,125.00,125.00,0.00,10.00,1250.00,0,97
2011-09-14,128.00,126.00,124.00,126.00,0.00,410.00,51580.00,0,98
2011-09-13,123.00,128.00,125.00,128.00,0.00,130.00,16400.00,0,99
2011-09-12,127.00,125.00,123.00,123.00,0.00,260.00,32100.00,0,100
2011-09-08,129.00,130.00,127.00,127.00,0.00,240.00,30710.00,0,101
2011-09-07,127.00,129.00,125.00,129.00,0.00,460.00,58640.00,0,102
2011-09-06,127.00,127.00,125.00,127.00,0.00,260.00,32820.00,0,103
2011-09-05,136.00,136.00,127.00,127.00,0.00,800.00,106170.00,0,104
2011-09-04,125.00,136.00,127.00,136.00,0.00,610.00,81200.00,0,105
2011-09-01,125.00,125.00,123.00,125.00,0.00,50.00,6210.00,0,106
2011-08-30,123.00,125.00,125.00,125.00,0.00,190.00,23750.00,0,107
2011-08-29,124.00,123.00,120.00,123.00,0.00,570.00,68810.00,0,108
2011-08-28,136.00,134.00,124.00,124.00,0.00,200.00,25620.00,0,109
2011-08-25,136.00,136.00,136.00,136.00,0.00,40.00,5440.00,0,110
2011-08-24,140.00,138.00,136.00,136.00,0.00,320.00,43560.00,0,111
2011-08-23,155.00,152.00,140.00,140.00,0.00,500.00,71820.00,0,112
2011-08-22,161.00,158.00,155.00,155.00,0.00,490.00,75980.00,0,113
2011-07-20,164.00,161.00,161.00,161.00,0.00,30.00,4830.00,0,114
2011-07-19,165.00,164.00,162.00,164.00,0.00,90.00,14720.00,0,115
2011-07-18,158.00,165.00,165.00,165.00,0.00,10.00,1650.00,0,116
2011-06-30,160.00,158.00,158.00,158.00,0.00,40.00,6320.00,0,117
2011-06-21,150.00,160.00,157.00,160.00,0.00,20.00,3170.00,0,118
2011-06-09,153.00,153.00,153.00,153.00,0.00,30.00,4590.00,0,119
2011-06-07,153.00,153.00,153.00,153.00,0.00,60.00,9180.00,0,120
2011-06-06,153.00,153.00,153.00,153.00,0.00,10.00,1530.00,0,121
