published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-06,297.00,298.80,293.00,294.36,0.19,167739.00,49408438.50,1,1
2025-08-05,303.0,303.9,293.0,293.79,-2.54,248579.0,73646924.4,-1,1
2025-08-04,301.0,304.0,296.9,301.45,0.3,352890.0,106107383.2,1,1
2025-08-03,301.0,308.0,300.0,300.56,-1.95,379111.0,114811645.4,-1,1
2025-07-31,310.0,314.9,305.0,306.55,-1.15,424832.0,131139891.4,-1,1
2025-07-30,320.0,320.0,309.1,310.13,-1.81,464025.0,144886608.9,-1,1
2025-07-29,322.0,325.0,311.7,315.85,-1.1,459428.0,146174974.7,-1,1
2025-07-28,317.0,320.8,311.0,319.36,0.82,650566.0,204882363.7,1,1
2025-07-27,323.5,334.0,315.0,316.76,-2.08,1165687.0,380025125.9,-1,1
2025-07-24,315.0,324.0,315.0,323.5,3.08,869068.0,278900262.4,1,1
2025-07-23,311.0,319.0,304.5,313.82,2.9,1087956.0,340368885.6,1,1
2025-07-22,305.4,308.5,298.0,304.98,1.85,648691.0,197073779.3,1,1
2025-07-21,299.9,303.0,291.1,299.45,0.08,269524.0,80483042.0,1,1
2025-07-20,307.4,308.0,297.0,299.22,-0.73,611340.0,185834444.6,-1,1
2025-07-17,294.8,304.2,293.0,301.43,3.34,506239.0,151861180.2,1,1
2025-07-16,292.0,295.2,291.0,291.69,0.46,243226.0,71087686.5,1,1
2025-07-15,287.8,291.0,283.1,290.35,2.19,208326.0,60207284.6,1,1
2025-07-14,286.0,289.0,283.6,284.14,-0.25,176580.0,50366768.9,-1,1
2025-07-13,289.7,295.0,284.4,284.86,0.29,268095.0,76903600.5,1,1
2025-07-10,288.9,291.7,283.0,284.04,-1.07,195285.0,55681959.3,-1,1
2025-07-09,285.9,289.0,283.0,287.12,1.22,105560.0,30247830.8,1,1
2025-07-08,288.9,288.9,280.5,283.65,0.11,140324.0,39752591.9,1,1
2025-07-07,286.5,286.5,278.1,283.33,-0.14,199205.0,56233216.41,-1,1
2025-07-06,290.0,290.0,283.0,283.74,-1.27,176135.0,50279207.6,-1,1
2025-07-03,295.0,295.0,285.4,287.39,-0.75,254210.0,73107098.8,-1,1
2025-07-02,293.0,295.8,288.0,289.56,0.53,230215.0,67161312.3,1,1
2025-07-01,288.0,290.9,285.0,288.04,1.28,178085.0,51375561.1,1,1
2025-06-30,286.0,289.9,284.0,284.4,0.01,145904.0,41732076.9,1,1
2025-06-29,278.0,287.0,278.0,284.37,0.5,180099.0,51252128.9,1,1
2025-06-26,290.7,290.7,281.0,282.95,-0.73,225648.0,64307368.7,-1,1
2025-06-25,284.5,288.9,283.3,285.03,-0.07,148028.0,42226538.2,-1,1
2025-06-24,290.0,294.0,284.5,285.24,-0.49,246085.0,70898831.8,-1,1
2025-06-23,280.1,290.0,280.1,286.64,0.42,221367.0,63368586.2,1,1
2025-06-22,296.9,297.0,285.0,285.44,-3.06,285972.0,82678939.6,-1,1
2025-06-19,302.6,305.0,293.0,294.46,-0.78,512223.0,153167574.4,-1,1
2025-06-18,294.0,307.0,294.0,296.76,-0.64,376357.0,112293054.6,-1,1
2025-06-17,300.0,304.0,294.0,298.66,-1.5,400766.0,119577090.3,-1,1
2025-06-16,304.0,315.8,302.0,303.22,-1.06,750568.0,231220705.1,-1,1
2025-06-15,304.0,310.9,302.0,306.46,-0.32,536347.0,164595922.1,-1,1
2025-06-12,304.0,316.9,304.0,307.44,-0.88,927211.0,289077593.9,-1,1
2025-06-11,300.0,311.0,300.0,310.18,1.48,893041.0,273994234.9,1,1
2025-06-10,306.0,309.0,300.0,305.66,1.63,628819.0,192630097.6,1,1
2025-06-09,302.0,306.0,298.5,300.77,-0.27,572260.0,172587538.5,-1,1
2025-06-08,298.0,308.0,296.0,301.59,1.94,788498.0,238445233.5,1,1
2025-06-05,282.0,297.8,282.0,295.85,3.11,530425.0,155334114.2,1,1
2025-06-04,290.0,293.0,284.2,286.93,-0.72,207169.0,59731062.0,-1,1
2025-06-03,290.0,297.8,287.0,289.02,-1.44,283355.0,82201086.4,-1,2
2025-06-02,296.5,299.8,292.0,293.23,0.86,569498.0,167661887.8,1,1
2025-05-28,280.0,292.7,279.5,290.73,4.23,444839.0,128011890.3,1,1
2025-05-27,280.0,284.0,276.2,278.94,-0.3,182823.0,51167226.5,-1,2
2025-05-26,285.0,290.0,278.1,279.78,0.1,226427.0,63842988.8,1,1
2025-05-25,280.4,286.0,277.1,279.51,-1.32,249646.0,70031001.4,-1,2
2025-05-22,291.2,294.5,280.0,283.26,-2.24,376064.0,107949682.6,-1,3
2025-05-21,299.4,310.0,288.0,289.76,-1.29,474681.0,140064229.5,-1,4
2025-05-20,289.5,295.9,278.1,293.56,3.4,297252.0,85908821.6,1,5
2025-05-19,282.0,288.0,281.0,283.9,2.07,233777.0,66431055.0,1,6
2025-05-18,291.0,291.0,277.0,278.14,-2.52,347075.0,98502794.8,-1,7
2025-05-15,290.4,290.4,277.0,285.34,0.21,375302.0,106786529.2,1,8
2025-05-14,291.0,295.9,283.5,284.73,-3.45,686288.0,198789954.1,-1,9
2025-05-13,310.1,310.1,294.0,294.91,-3.02,808728.0,241789444.7,-1,10
2025-05-11,314.0,315.9,303.0,304.08,-1.24,867529.0,267373052.8,-1,11
2025-05-08,308.8,316.1,298.0,307.89,1.7,1219551.0,376399209.6,1,12
