published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-04-23,375.00,380.00,379.00,380.00,0.00,433.00,164432.00,0,1
2015-04-21,375.00,375.00,375.00,375.00,0.00,250.00,93750.00,0,2
2015-04-20,370.00,379.00,375.00,375.00,0.00,898.00,337636.00,0,3
2015-04-19,370.00,370.00,363.00,370.00,0.00,809.00,297139.00,0,4
2015-04-15,377.00,370.00,370.00,370.00,0.00,92.00,34040.00,0,5
2015-04-12,370.00,377.00,377.00,377.00,0.00,156.00,58812.00,0,6
2015-04-09,363.00,370.00,370.00,370.00,0.00,100.00,37000.00,0,7
2015-04-08,374.00,374.00,363.00,363.00,0.00,564.00,207467.00,0,8
2015-04-02,367.00,374.00,374.00,374.00,0.00,50.00,18700.00,0,9
2015-03-25,374.00,368.00,367.00,367.00,0.00,390.00,143330.00,0,10
2015-03-24,380.00,374.00,374.00,374.00,0.00,113.00,42262.00,0,11
2015-03-23,394.00,387.00,380.00,380.00,0.00,981.00,375447.00,0,12
2015-03-22,393.00,394.00,386.00,394.00,0.00,1085.00,420902.00,0,13
2015-03-19,400.00,393.00,393.00,393.00,0.00,220.00,86460.00,0,14
2015-03-18,400.00,400.00,400.00,400.00,0.00,91.00,36400.00,0,15
2015-03-16,397.00,400.00,400.00,400.00,0.00,135.00,54000.00,0,16
2015-03-12,397.00,397.00,390.00,397.00,0.00,655.00,256425.00,0,17
2015-03-11,408.00,405.00,397.00,397.00,0.00,791.00,314851.00,0,18
2015-03-09,400.00,408.00,408.00,408.00,0.00,29.00,11832.00,0,19
2015-03-04,395.00,402.00,390.00,400.00,0.00,3106.00,1225300.00,0,20
2015-03-03,400.00,400.00,395.00,395.00,0.00,139.00,55035.00,0,21
2015-03-02,400.00,400.00,400.00,400.00,0.00,3051.00,1220400.00,0,22
2015-03-01,400.00,400.00,400.00,400.00,0.00,25.00,10000.00,0,23
2015-02-26,398.00,400.00,395.00,400.00,0.00,2175.00,867100.00,0,24
2015-02-24,403.00,401.00,398.00,398.00,0.00,960.00,382500.00,0,25
2015-02-23,405.00,403.00,395.00,403.00,0.00,344.00,136917.00,0,26
2015-02-22,412.00,405.00,405.00,405.00,0.00,68.00,27540.00,0,27
2015-02-18,415.00,412.00,407.00,412.00,0.00,320.00,131490.00,0,28
2015-02-16,420.00,421.00,415.00,415.00,0.00,720.00,302700.00,0,29
2015-02-15,420.00,421.00,420.00,420.00,0.00,200.00,84100.00,0,30
2015-02-12,410.00,428.00,418.00,420.00,0.00,194.00,82180.00,0,31
2015-02-10,400.00,410.00,408.00,410.00,0.00,1408.00,576190.00,0,32
2015-02-08,411.00,403.00,395.00,400.00,0.00,2110.00,840830.00,0,33
2015-02-04,419.00,411.00,411.00,411.00,0.00,44.00,18084.00,0,34
2015-02-01,415.00,420.00,418.00,419.00,0.00,683.00,286363.00,0,35
2015-01-29,428.00,425.00,415.00,415.00,0.00,397.00,167475.00,0,36
2015-01-28,420.00,428.00,420.00,428.00,0.00,1266.00,534544.00,0,37
2015-01-27,420.00,428.00,420.00,420.00,0.00,412.00,173798.00,0,38
2015-01-25,423.00,420.00,420.00,420.00,0.00,218.00,91560.00,0,39
2015-01-20,408.00,423.00,410.00,423.00,0.00,743.00,307076.00,0,40
2015-01-19,415.00,423.00,408.00,408.00,0.00,1286.00,528475.00,0,41
2015-01-18,413.00,415.00,413.00,415.00,0.00,86.00,35650.00,0,42
2015-01-14,413.00,413.00,406.00,413.00,0.00,164.00,67154.00,0,43
2015-01-13,405.00,413.00,413.00,413.00,0.00,42.00,17346.00,0,44
2015-01-12,408.00,410.00,405.00,405.00,0.00,297.00,120660.00,0,45
2015-01-11,411.00,408.00,408.00,408.00,0.00,65.00,26520.00,0,46
2015-01-08,409.00,416.00,410.00,411.00,0.00,1953.00,807363.00,0,47
2015-01-07,400.00,409.00,400.00,409.00,0.00,3159.00,1285498.00,0,48
2015-01-06,408.00,403.00,400.00,400.00,0.00,885.00,355455.00,0,49
2015-01-05,399.00,408.00,394.00,408.00,0.00,1829.00,742323.00,0,50
2015-01-04,400.00,399.00,385.00,399.00,0.00,189.00,74235.00,0,51
2015-01-01,390.00,400.00,390.00,400.00,0.00,1061.00,419282.00,0,52
2014-12-31,395.00,390.00,383.00,390.00,0.00,1350.00,521050.00,0,53
2014-12-29,399.00,405.00,395.00,395.00,0.00,495.00,198500.00,0,54
2014-12-28,392.00,399.00,399.00,399.00,0.00,57.00,22743.00,0,55
2014-12-24,392.00,392.00,392.00,392.00,0.00,56.00,21952.00,0,56
2014-12-23,400.00,392.00,392.00,392.00,0.00,300.00,117600.00,0,57
2014-12-18,392.00,400.00,392.00,400.00,0.00,1926.00,768909.00,0,58
2014-12-17,438.00,445.00,435.00,439.00,0.00,3662.00,1609505.00,0,59
2014-12-16,445.00,448.00,437.00,438.00,0.00,2625.00,1150176.00,0,60
2014-12-15,419.00,447.00,427.00,445.00,0.00,2567.00,1130129.00,0,61
2014-12-14,403.00,419.00,411.00,419.00,0.00,287.00,118053.00,0,62
2014-12-11,405.00,403.00,403.00,403.00,0.00,142.00,57226.00,0,63
2014-12-09,417.00,412.00,405.00,405.00,0.00,1212.00,491644.00,0,64
2014-12-08,416.00,417.00,409.00,417.00,0.00,721.00,296135.00,0,65
2014-12-07,424.00,424.00,416.00,416.00,0.00,401.00,169016.00,0,66
2014-12-04,414.00,425.00,411.00,424.00,0.00,1187.00,494023.00,0,67
2014-12-03,431.00,439.00,414.00,414.00,0.00,2938.00,1238246.00,0,68
2014-12-01,439.00,431.00,431.00,431.00,0.00,34.00,14654.00,0,69
2014-11-30,435.00,439.00,430.00,439.00,0.00,146.00,63222.00,0,70
2014-11-25,433.00,435.00,427.00,435.00,0.00,22.00,9474.00,0,71
2014-11-24,436.00,433.00,432.00,433.00,0.00,213.00,92216.00,0,72
2014-11-23,437.00,450.00,436.00,436.00,0.00,865.00,381564.00,0,73
2014-11-20,436.00,452.00,437.00,437.00,0.00,2646.00,1174043.00,0,74
2014-11-17,483.00,474.00,436.00,436.00,0.00,744.00,334115.00,0,75
2014-11-16,475.00,483.00,483.00,483.00,0.00,400.00,193200.00,0,76
2014-11-13,480.00,475.00,471.00,475.00,0.00,147.00,69325.00,0,77
2014-11-12,489.00,480.00,480.00,480.00,0.00,25.00,12000.00,0,78
2014-11-11,487.00,490.00,480.00,489.00,0.00,1186.00,573615.00,0,79
2014-11-10,491.00,488.00,487.00,487.00,0.00,119.00,57972.00,0,80
2014-11-06,501.00,495.00,491.00,491.00,0.00,599.00,294509.00,0,81
2014-11-05,491.00,501.00,490.00,501.00,0.00,1573.00,774625.00,0,82
2014-11-04,491.00,495.00,490.00,491.00,0.00,313.00,153983.00,0,83
2014-11-03,510.00,500.00,490.00,491.00,0.00,541.00,267006.00,0,84
2014-11-02,549.00,539.00,510.00,510.00,0.00,221.00,115289.00,0,85
2014-10-28,555.00,554.00,540.00,549.00,0.00,1356.00,742335.00,0,86
2014-10-27,530.00,561.00,535.00,555.00,0.00,5421.00,2987426.00,0,87
2014-10-26,510.00,530.00,520.00,530.00,0.00,727.00,383810.00,0,88
2014-10-22,485.00,510.00,494.00,510.00,0.00,441.00,219650.00,0,89
2014-10-21,481.00,485.00,485.00,485.00,0.00,93.00,45105.00,0,90
2014-10-20,494.00,490.00,481.00,481.00,0.00,473.00,228170.00,0,91
2014-10-19,485.00,494.00,480.00,494.00,0.00,953.00,461627.00,0,92
2014-10-16,476.00,494.00,480.00,485.00,0.00,1913.00,925055.00,0,93
2014-10-15,465.00,485.00,470.00,476.00,0.00,638.00,303500.00,0,94
2014-10-14,442.00,465.00,450.00,465.00,0.00,1605.00,731302.00,0,95
2014-10-13,458.00,460.00,442.00,442.00,0.00,1081.00,486450.00,0,96
2014-10-12,450.00,458.00,458.00,458.00,0.00,10.00,4580.00,0,97
2014-09-30,444.00,469.00,450.00,450.00,0.00,1816.00,822210.00,0,98
2014-09-29,436.00,444.00,428.00,444.00,0.00,500.00,218800.00,0,99
2014-09-28,420.00,436.00,428.00,436.00,0.00,60.00,26080.00,0,100
2014-09-24,404.00,420.00,412.00,420.00,0.00,604.00,253483.00,0,101
2014-09-23,410.00,412.00,404.00,404.00,0.00,700.00,284200.00,0,102
2014-09-22,405.00,413.00,405.00,410.00,0.00,1120.00,454260.00,0,103
2014-09-21,408.00,405.00,400.00,405.00,0.00,180.00,72220.00,0,104
2014-09-18,400.00,408.00,397.00,408.00,0.00,1028.00,413249.00,0,105
2014-09-17,400.00,400.00,400.00,400.00,0.00,100.00,40000.00,0,106
2014-09-16,401.00,400.00,395.00,400.00,0.00,965.00,385200.00,0,107
2014-09-15,394.00,401.00,401.00,401.00,0.00,227.00,91027.00,0,108
2014-09-14,400.00,400.00,394.00,394.00,0.00,551.00,218240.00,0,109
2014-09-11,406.00,400.00,400.00,400.00,0.00,40.00,16000.00,0,110
2014-09-10,415.00,415.00,405.00,406.00,0.00,2892.00,1179034.00,0,111
2014-09-09,418.00,415.00,415.00,415.00,0.00,50.00,20750.00,0,112
2014-09-07,451.00,442.00,418.00,418.00,0.00,513.00,220138.00,0,113
2014-09-04,480.00,475.00,451.00,451.00,0.00,900.00,415950.00,0,114
2014-09-03,481.00,485.00,471.00,480.00,0.00,851.00,403631.00,0,115
2014-09-01,493.00,490.00,481.00,481.00,0.00,283.00,138526.00,0,116
2014-08-31,503.00,500.00,493.00,493.00,0.00,950.00,470100.00,0,117
2014-08-28,503.00,513.00,503.00,503.00,0.00,690.00,347847.00,0,118
2014-08-27,499.00,515.00,500.00,503.00,0.00,943.00,478221.00,0,119
2014-08-26,500.00,499.00,499.00,499.00,0.00,33.00,16467.00,0,120
2014-08-24,530.00,520.00,500.00,500.00,0.00,712.00,361690.00,0,121
2014-08-19,550.00,548.00,520.00,530.00,0.00,3953.00,2104757.00,0,122
2014-08-18,561.00,550.00,550.00,550.00,0.00,163.00,89650.00,0,123
2014-08-14,550.00,561.00,561.00,561.00,0.00,100.00,56100.00,0,124
2014-08-07,552.00,550.00,550.00,550.00,0.00,19.00,10450.00,0,125
2014-08-06,550.00,552.00,545.00,552.00,0.00,764.00,417900.00,0,126
2014-08-05,560.00,561.00,545.00,550.00,0.00,2751.00,1516531.00,0,127
2014-08-03,590.00,579.00,560.00,560.00,0.00,7558.00,4249519.00,0,128
2014-07-30,600.00,590.00,590.00,590.00,0.00,45.00,26550.00,0,129
2014-07-27,612.00,600.00,600.00,600.00,0.00,478.00,286800.00,0,130
