published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-03-13,940.00,958.80,912.00,919.00,-3.59,2001.00,1854560.60,-1,1
2023-03-12,965.00,974.50,947.00,953.20,-0.50,2975.00,2840356.00,-1,2
2023-03-09,904.00,958.00,903.10,958.00,4.13,1494.00,1398614.80,1,3
2023-03-07,918.00,942.40,888.00,920.00,-0.43,2615.00,2394181.10,-1,4
2023-03-05,960.00,960.00,924.00,924.00,-5.23,2162.00,2025951.00,-1,5
2023-03-02,981.00,1000.00,967.20,975.00,-2.50,348.00,339629.30,-1,6
2023-03-01,1060.00,1060.00,989.00,1000.00,-4.31,3008.00,3041529.00,-1,7
2023-02-28,969.00,1045.00,969.00,1045.00,10.00,3457.00,3527540.40,1,8
2023-02-27,975.00,975.00,916.00,950.00,-2.26,1838.00,1737657.80,-1,9
2023-02-26,912.00,990.00,847.00,972.00,4.45,3842.00,3482847.00,1,10
2023-02-23,1014.00,1014.00,930.60,930.60,-10.00,2977.00,2812285.70,-1,11
2023-02-22,1070.00,1095.00,1032.60,1034.00,-5.16,1725.00,1845214.50,-1,12
2023-02-20,1120.00,1120.00,1090.20,1090.20,-2.57,764.00,841914.90,-1,13
2023-02-16,1130.00,1138.00,1114.10,1119.00,-0.98,700.00,785554.40,-1,14
2023-02-15,1160.00,1166.90,1129.00,1130.10,-1.22,518.00,588260.10,-1,15
2023-02-14,1166.00,1195.00,1131.00,1144.10,-2.71,1385.00,1605649.50,-1,16
2023-02-12,1190.00,1200.00,1167.00,1176.00,-3.13,840.00,995513.30,-1,17
2023-02-09,1198.10,1215.00,1180.00,1214.00,-0.49,1188.00,1415262.60,-1,18
2023-02-08,1227.00,1249.00,1180.00,1220.00,1.36,1726.00,2090686.60,1,19
2023-02-07,1131.40,1203.60,1131.40,1203.60,4.66,2031.00,2390177.40,1,20
2023-02-06,1119.00,1157.00,1119.00,1150.00,1.33,3035.00,3474064.50,1,21
2023-02-05,1154.10,1176.00,1134.90,1134.90,-3.49,1373.00,1578069.90,-1,22
2023-02-02,1223.00,1223.00,1176.00,1176.00,-2.00,823.00,972072.60,-1,23
2023-02-01,1201.00,1217.00,1193.00,1200.00,-1.40,1429.00,1720810.50,-1,24
2023-01-31,1240.00,1240.00,1216.00,1217.00,-2.25,1562.00,1910254.60,-1,25
2023-01-30,1255.70,1272.00,1235.00,1245.00,-2.51,3764.00,4686664.00,-1,26
2023-01-29,1280.00,1300.00,1277.00,1277.00,-1.94,1002.00,1289732.10,-1,27
2023-01-26,1300.00,1313.70,1287.30,1302.20,-0.37,1677.00,2186295.70,-1,28
2023-01-25,1294.00,1319.00,1271.00,1307.00,0.93,2569.00,3343204.50,1,29
2023-01-24,1256.00,1294.90,1256.00,1294.90,1.15,983.00,1254017.20,1,30
2023-01-23,1249.30,1306.10,1249.30,1280.20,0.53,2444.00,3160112.80,1,31
2023-01-19,1286.00,1299.40,1260.30,1273.50,-2.78,4323.00,5512213.70,-1,32
2023-01-18,1403.00,1403.00,1275.00,1309.90,-4.87,4017.00,5362128.00,-1,33
2023-01-17,1393.00,1430.00,1376.00,1377.00,0.82,5678.00,7886888.90,1,34
2023-01-12,1825.10,1866.00,1775.50,1775.50,-1.91,6373.00,11580650.10,-1,35
2023-01-10,1889.00,1907.00,1760.00,1810.00,-3.21,7830.00,14474980.50,-1,36
2023-01-09,1820.00,1881.00,1820.00,1870.00,2.58,8127.00,15080931.00,1,37
2023-01-08,1710.00,1837.00,1710.00,1823.00,8.45,16542.00,29783049.60,1,38
2023-01-05,1673.00,1681.00,1630.00,1681.00,2.44,8011.00,13254777.90,1,39
2023-01-04,1640.00,1646.00,1586.00,1641.00,1.99,4217.00,6845547.00,1,40
2023-01-03,1595.00,1620.00,1585.00,1609.00,2.16,7218.00,11589476.50,1,41
2023-01-02,1548.00,1610.00,1539.00,1575.00,1.74,5594.00,8792408.30,1,42
2023-01-01,1555.00,1585.00,1538.00,1548.00,-0.46,4999.00,7778749.00,-1,43
2022-12-29,1523.90,1575.00,1523.90,1555.10,0.01,5000.00,7803750.30,1,44
2022-12-28,1565.20,1586.10,1535.00,1555.00,-2.14,6943.00,10830081.40,-1,45
2022-12-27,1664.60,1664.60,1580.00,1589.00,-2.63,11667.00,18721069.90,-1,46
2022-12-26,1560.60,1683.00,1560.60,1632.00,6.67,15739.00,25268628.70,1,47
2022-12-22,1690.80,1790.00,1492.00,1530.00,-7.70,20110.00,30730877.20,-1,48
2022-12-21,1537.10,1657.70,1537.10,1657.70,10.00,8290.00,13739375.00,1,49
2022-12-20,1397.40,1507.00,1397.40,1507.00,10.00,3035.00,4470334.50,1,50
2022-07-06,1360.60,1407.60,1294.00,1370.00,2.70,9107.00,12587105.40,1,51
2022-07-05,1220.00,1334.10,1200.00,1334.00,9.61,9683.00,12341769.00,1,52
2022-07-04,1293.00,1295.00,1216.30,1217.00,-4.02,13173.00,16620630.30,-1,53
2022-07-03,1247.40,1345.30,1244.00,1268.00,3.68,17224.00,22100018.50,1,54
2022-07-01,1134.00,1223.00,1134.00,1223.00,9.99,1209.00,1451190.00,1,55
2022-06-30,1031.00,1111.90,1031.00,1111.90,9.99,6242.00,6922104.80,1,56
2022-06-29,936.90,1010.90,902.00,1010.90,10.00,9460.00,9186525.40,1,57
2022-06-28,902.60,927.90,886.00,919.00,-0.10,4770.00,4343348.10,-1,58
2022-06-27,928.00,946.70,890.00,919.90,1.09,6726.00,6203156.80,1,59
2022-06-26,902.70,921.00,886.90,910.00,2.82,7057.00,6393800.50,1,60
2022-06-24,979.90,1056.70,869.10,885.00,-7.88,15418.00,14316341.60,-1,61
2022-06-23,890.80,960.70,890.80,960.70,10.00,2415.00,2316050.50,1,62
2022-06-22,809.80,873.40,809.80,873.40,10.00,630.00,548679.00,1,63
2022-06-21,736.30,794.00,736.30,794.00,9.99,140.00,108592.00,1,64
2022-06-20,669.40,721.90,669.40,721.90,10.00,100.00,70900.00,1,65
2022-06-19,596.70,656.30,596.70,656.30,9.99,130.00,83311.30,1,66
2022-06-17,553.30,596.70,553.30,596.70,9.99,60.00,34735.00,1,67
2022-06-16,503.00,542.50,503.00,542.50,10.00,70.00,36964.90,1,68
2022-06-15,457.30,493.20,457.30,493.20,9.99,150.00,70226.00,1,69
2022-06-14,422.70,448.00,422.70,448.40,8.18,650.00,771569.00,1,70
2022-06-13,391.50,414.50,391.50,414.50,4.02,70.00,28168.10,1,71
2022-06-10,398.50,398.50,398.50,398.50,1.98,30.00,11818.00,1,72
2019-12-19,465.00,465.00,465.00,465.00,-1.90,30.00,13950.00,-1,73
2019-12-18,486.00,486.00,467.00,474.00,-1.04,1610.00,758680.00,-1,74
2019-12-17,440.00,480.00,440.00,479.00,6.92,4071.00,1920300.00,1,75
2019-12-16,465.00,465.00,440.00,448.00,-4.07,3850.00,1755020.00,-1,76
2019-12-15,466.00,467.00,451.00,467.00,-1.27,1230.00,563160.00,-1,77
2019-12-12,496.00,497.00,472.00,473.00,-3.07,3090.00,1489430.00,-1,78
2019-12-11,461.00,497.00,461.00,488.00,3.83,7560.00,3665800.00,1,79
2019-12-10,478.00,496.00,460.00,470.00,-3.49,3988.00,1870656.00,-1,80
2019-12-09,450.00,487.00,450.00,487.00,8.71,6245.00,2905900.00,1,81
2019-12-08,440.00,448.00,434.00,448.00,0.00,1420.00,628230.00,0,82
2019-12-05,453.00,453.00,435.00,448.00,-0.22,1682.00,746505.00,-1,83
2019-12-04,429.00,459.00,429.00,449.00,4.66,3590.00,1578630.00,1,84
2019-12-03,430.00,437.00,425.00,429.00,-0.46,1140.00,492380.00,-1,85
2019-12-02,430.00,434.00,425.00,431.00,0.23,1030.00,442230.00,1,86
2019-12-01,425.00,430.00,421.00,430.00,1.18,660.00,281930.00,1,87
