published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-26,214.60,215.00,209.60,210.93,-0.02,206445.00,43725218.50,-1,1
2025-06-25,215.0,215.0,208.6,210.97,-0.14,96883.0,20393814.8,-1,1
2025-06-24,213.0,217.0,210.7,211.26,0.66,180434.0,38490550.2,1,1
2025-06-23,210.5,213.8,208.4,209.88,-0.59,160563.0,33731197.6,-1,1
2025-06-22,222.4,222.4,210.3,211.13,-3.18,307980.0,66193409.2,-1,1
2025-06-19,213.2,222.0,211.0,218.06,3.23,1069499.0,233603749.5,1,1
2025-06-18,210.0,213.5,210.0,211.23,0.72,123710.0,26197602.5,1,1
2025-06-17,213.0,214.0,208.7,209.72,-1.06,93693.0,19692333.0,-1,1
2025-06-16,215.0,218.0,211.4,211.96,-0.74,437254.0,94354186.4,-1,1
2025-06-15,209.0,215.0,208.0,213.55,2.57,343832.0,72662197.9,1,1
2025-06-12,213.0,213.0,208.0,208.2,-0.72,238877.0,50299508.1,-1,1
2025-06-11,210.0,211.0,206.0,209.7,0.22,147936.0,30850932.1,1,1
2025-06-10,209.0,211.3,208.1,209.24,0.87,221707.0,46565555.4,1,1
2025-06-09,206.5,208.5,204.5,207.43,1.16,108637.0,22483916.4,1,1
2025-06-08,209.0,209.0,204.9,205.05,-0.29,106941.0,21990275.4,-1,1
2025-06-05,206.9,207.0,204.0,205.65,0.15,99349.0,20421294.1,1,1
2025-06-04,208.0,208.0,204.0,205.34,-0.31,119677.0,24547353.0,-1,1
2025-06-03,210.0,210.0,205.1,205.97,-0.79,74767.0,15414543.7,-1,2
2025-06-02,210.0,212.3,207.0,207.6,-0.3,117366.0,24592565.3,-1,1
2025-05-28,202.5,210.0,202.5,208.23,0.79,134788.0,27993230.3,1,1
2025-05-27,206.2,207.9,204.1,206.6,-0.27,95713.0,19751241.7,-1,2
2025-05-26,211.5,212.9,206.3,207.15,-0.15,129956.0,27219721.5,-1,1
2025-05-25,202.1,209.0,202.1,207.47,0.64,102803.0,21276231.4,1,2
2025-05-22,204.0,211.0,204.0,206.15,-0.86,197824.0,40948536.2,-1,3
2025-05-21,215.8,220.0,207.0,207.94,-1.74,219126.0,46610700.2,-1,4
2025-05-20,207.8,212.8,204.9,211.63,2.35,131647.0,27565248.2,1,5
2025-05-19,201.3,208.0,201.3,206.78,0.7,94361.0,19520806.3,1,6
2025-05-18,209.5,209.5,205.0,205.35,-0.05,97802.0,20162351.7,-1,7
2025-05-15,202.5,208.0,202.5,205.45,-0.55,185187.0,38068347.2,-1,8
2025-05-14,205.7,214.0,205.7,206.59,-1.56,168194.0,35019312.6,-1,9
2025-05-13,209.4,217.5,209.1,209.86,-1.76,188358.0,39878125.3,-1,10
2025-05-11,220.0,223.0,212.8,213.63,-2.54,273578.0,59360280.7,-1,11
2025-05-08,211.7,224.5,211.7,219.19,1.5,659944.0,144754962.6,1,12
2025-05-07,214.0,219.1,211.0,215.95,2.87,597244.0,129417654.8,1,13
2025-05-06,208.0,211.0,208.0,209.92,0.99,162749.0,34145139.7,1,14
2025-05-05,212.0,213.0,207.1,207.86,-1.53,129477.0,27060934.0,-1,15
2025-05-04,206.1,217.0,206.1,211.08,0.41,299558.0,63754382.1,1,16
2025-04-30,206.2,212.8,205.6,210.21,2.02,241252.0,50633989.3,1,17
2025-04-29,207.0,209.0,206.0,206.05,-0.4,111895.0,23168476.1,-1,18
