published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-05,279.1,279.1,270.0,276.92,1.18,1057285.0,290313713.9,1,1
2025-06-04,261.1,275.0,261.1,273.68,3.39,1345426.0,362559072.8,1,1
2025-06-03,262.0,267.0,256.0,264.7,1.55,760440.0,199414658.6,1,2
2025-06-02,260.0,266.5,258.0,260.66,2.23,882142.0,231635301.6,1,1
2025-05-28,240.0,257.5,238.7,254.98,5.89,613097.0,154262002.1,1,1
2025-05-27,240.0,246.0,240.0,240.8,-0.07,146728.0,35555233.3,-1,2
2025-05-26,246.8,250.0,240.0,240.98,-0.41,167735.0,40817625.6,-1,1
2025-05-25,240.3,245.0,239.1,241.97,-0.85,124767.0,30133712.9,-1,2
2025-05-22,250.0,251.0,243.0,244.04,-1.01,184072.0,45265033.3,-1,3
2025-05-21,256.3,271.3,245.3,246.52,-1.9,277670.0,70178283.3,-1,4
2025-05-20,240.0,258.0,236.0,251.29,4.53,231417.0,57400355.9,1,5
2025-05-19,239.0,243.0,239.0,240.41,1.49,161118.0,38804966.5,1,6
2025-05-18,239.3,248.0,236.0,236.88,-2.98,208774.0,49923076.5,-1,7
2025-05-15,247.2,247.2,240.0,244.15,0.72,192900.0,46964520.2,1,8
2025-05-14,253.5,258.0,240.3,242.4,-2.56,286050.0,70676828.6,-1,9
2025-05-13,261.8,261.8,248.0,248.77,-3.1,384143.0,97345645.9,-1,10
2025-05-11,271.2,271.2,256.0,256.73,-3.45,461835.0,121573491.3,-1,11
2025-05-08,265.0,279.0,256.0,265.89,1.25,840668.0,224419115.6,1,12
2025-05-07,248.0,265.0,248.0,262.61,3.8,868746.0,227930129.9,1,13
2025-05-06,237.7,254.7,237.7,252.99,4.38,473910.0,118647069.2,1,14
2025-05-05,252.0,252.0,242.0,242.37,-3.47,304930.0,74481696.0,-1,15
2025-05-04,251.5,257.8,247.3,251.07,1.8,623121.0,158243642.7,1,16
2025-04-30,240.7,250.0,235.0,246.63,3.4,538136.0,132303887.0,1,17
2025-04-29,245.0,245.0,237.5,238.51,-0.96,115792.0,27731036.3,-1,18
2025-04-28,238.4,249.0,238.0,240.81,2.1,457733.0,111471304.5,1,19
2025-04-27,227.0,241.5,227.0,235.85,3.88,246426.0,58251175.1,1,20
2025-04-24,227.1,228.9,224.7,227.04,-0.39,103783.0,23500623.6,-1,21
2025-04-23,232.0,232.0,227.1,227.93,-1.82,80908.0,18522181.1,-1,22
2025-04-22,235.5,239.0,231.0,232.16,-0.88,119770.0,28103205.2,-1,23
2025-04-21,230.0,240.0,230.0,234.21,1.01,158701.0,37483057.4,1,24
2025-04-20,234.0,237.0,230.5,231.87,-2.51,99342.0,23138876.8,-1,25
2025-04-17,240.6,243.0,235.0,237.83,0.78,209119.0,50095517.6,1,26
2025-04-16,233.6,237.0,228.0,235.98,2.12,120415.0,28062102.4,1,27
2025-04-15,229.0,233.0,225.0,231.08,1.97,112657.0,25957083.6,1,28
2025-04-13,225.0,229.0,225.0,226.61,-0.21,42581.0,9646854.7,-1,29
2025-04-10,225.1,229.0,225.1,227.09,0.61,35098.0,7968393.3,1,30
2025-04-09,225.0,229.0,225.0,225.71,-0.27,39443.0,8932270.6,-1,31
2025-04-08,225.0,228.0,221.2,226.32,0.2,82500.0,18420155.5,1,32
2025-04-07,231.8,231.8,225.7,225.87,-0.62,47777.0,10838832.9,-1,33
2025-04-03,230.9,232.0,226.0,227.28,-0.58,116114.0,26588706.4,-1,34
2025-04-02,227.3,231.4,227.0,228.61,-0.24,56707.0,12986567.3,-1,35
2025-04-01,233.1,235.0,226.0,229.17,-1.64,107126.0,24544661.7,-1,36
2025-03-30,226.0,237.6,225.0,232.98,2.79,201971.0,46923969.2,1,37
2025-03-27,225.5,228.0,220.8,226.65,1.6,101054.0,22796846.8,1,38
2025-03-26,216.1,225.0,216.1,223.09,1.87,102058.0,22627969.6,1,39
2025-03-25,225.1,225.1,218.0,218.99,-3.25,209509.0,46133838.6,-1,40
2025-03-24,229.6,229.6,221.3,226.34,0.54,96584.0,21891991.9,1,41
2025-03-23,230.0,230.0,224.6,225.12,-1.95,103711.0,23472935.9,-1,42
2025-03-20,230.0,232.5,228.0,229.59,-0.31,81850.0,18811738.3,-1,43
2025-03-19,232.5,233.0,230.0,230.3,-0.95,78786.0,18190903.3,-1,44
2025-03-18,237.0,237.0,231.1,232.5,-0.81,92092.0,21427705.9,-1,45
2025-03-17,231.3,237.0,231.3,234.4,-0.68,80368.0,18844739.1,-1,46
2025-03-16,236.4,239.0,232.0,236.0,-0.17,95082.0,22216132.8,-1,47
2025-03-12,232.0,237.0,229.5,236.4,1.9,121072.0,28322652.8,1,48
2025-03-11,238.0,238.0,230.8,232.0,-1.49,191397.0,44568717.4,-1,49
2025-03-10,240.0,243.5,235.5,235.5,-1.79,152823.0,36425467.0,-1,50
