published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-08,800.00,810.00,795.00,795.80,-1.15,4951.00,3947449.50,-1,1
2025-06-05,800.0,821.0,800.0,805.04,0.0,1744.0,1407372.2,0,1
2025-06-04,801.1,816.0,800.0,805.02,-1.08,1762.0,1419370.7,-1,1
2025-06-03,828.0,830.5,805.0,813.81,-0.06,2891.0,2348898.3,-1,2
2025-06-02,826.0,842.0,806.1,814.3,-0.65,3609.0,2954726.5,-1,1
2025-05-28,833.0,833.0,805.1,819.64,0.21,5173.0,4221793.2,1,1
2025-05-27,825.5,855.0,810.0,817.94,-2.89,9205.0,7587229.1,-1,2
2025-05-26,886.0,886.0,840.0,842.32,-3.11,8284.0,7097937.0,-1,1
2025-05-25,812.7,880.0,812.7,869.4,4.84,18875.0,16236026.2,1,2
2025-05-22,820.0,835.0,802.0,829.24,2.12,8772.0,7231754.1,1,3
2025-05-21,828.0,843.0,804.1,812.0,-0.05,2681.0,2177949.4,-1,4
2025-05-20,787.0,816.0,787.0,812.41,1.48,1592.0,1276589.9,1,5
2025-05-19,801.1,809.0,793.9,800.57,-0.33,4249.0,3411055.9,-1,6
2025-05-18,803.1,810.0,790.0,803.2,2.0,2324.0,1862974.8,1,7
2025-05-15,800.0,806.9,784.0,787.42,-0.47,5738.0,4540808.4,-1,8
2025-05-14,790.0,800.0,790.0,791.16,-1.11,3073.0,2431508.7,-1,9
2025-05-13,800.0,815.0,796.0,800.06,-0.77,3938.0,3159711.8,-1,10
2025-05-11,818.51,818.51,805.0,806.25,-1.5,3717.0,3011432.1,-1,11
2025-05-08,811.3,843.0,811.3,818.51,-1.13,1728.0,1414970.4,-1,12
2025-05-07,805.0,830.0,792.0,827.83,2.93,4034.0,3262737.3,1,13
2025-05-06,835.0,835.0,790.0,804.3,-2.0,3095.0,2475640.3,-1,14
2025-05-05,804.9,829.0,790.0,820.7,-0.07,5335.0,4279909.8,-1,15
2025-05-04,800.0,862.9,771.0,821.29,4.17,4019.0,3220104.8,1,16
2025-04-30,780.0,803.0,777.0,788.38,-0.4,3730.0,2927026.6,-1,17
2025-04-29,786.0,801.0,786.0,791.52,-0.49,2232.0,1768120.0,-1,18
2025-04-28,806.95,819.6,793.0,795.43,-1.43,7554.0,6022332.6,-1,19
