published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-17,501.00,501.00,483.70,485.11,-1.36,31293.00,15234974.10,-1,1
2025-08-14,491.9,493.0,487.2,491.78,0.16,22428.0,11000652.7,1,1
2025-08-13,494.9,496.0,486.0,490.98,0.64,44103.0,21695819.6,1,1
2025-08-12,496.0,496.0,486.5,487.88,-0.77,20920.0,10220166.5,-1,1
2025-08-11,500.0,509.0,490.0,491.68,-1.65,31558.0,15653428.9,-1,1
2025-08-07,497.2,502.0,496.3,499.91,0.34,13889.0,6948940.6,1,1
2025-08-06,501.1,504.8,498.0,498.2,-0.29,16310.0,8152117.1,-1,1
2025-08-05,511.9,511.9,498.0,499.67,-1.1,27694.0,13877757.7,-1,1
2025-08-04,514.5,514.5,500.0,505.23,-0.01,26482.0,13344752.6,-1,1
2025-08-03,517.0,520.0,500.3,505.3,-2.18,34694.0,17622751.6,-1,1
2025-07-31,531.0,531.0,516.0,516.58,-1.2,30999.0,16117144.0,-1,1
2025-07-30,516.1,540.0,516.1,522.87,-0.71,42257.0,22141109.9,-1,1
2025-07-29,531.5,537.0,525.0,526.63,-0.1,80840.0,42888025.2,-1,1
2025-07-28,530.0,538.9,520.1,527.14,-1.19,63316.0,33290289.4,-1,1
2025-07-27,545.0,549.0,532.0,533.48,-0.94,84624.0,45634109.0,-1,1
2025-07-24,548.0,548.0,533.1,538.53,0.05,104627.0,56278095.6,1,1
2025-07-23,549.8,550.0,533.0,538.26,-0.65,85321.0,46097199.7,-1,1
2025-07-22,519.9,545.0,519.9,541.77,4.2,110093.0,58797010.0,1,1
2025-07-21,518.5,523.0,515.0,519.91,0.31,67185.0,34881992.2,1,1
2025-07-20,519.8,530.0,513.7,518.3,0.95,193517.0,101360310.9,1,1
2025-07-17,505.0,516.0,500.0,513.4,3.02,107474.0,55075084.1,1,1
2025-07-16,493.5,510.8,493.5,498.36,1.31,165956.0,82702317.6,1,1
