published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-10-06,312.00,312.00,312.00,312.00,0.00,530000.00,145750000.00,0,1
2024-05-16,312.00,312.00,312.00,312.00,1.30,75426.00,23532912.00,1,2
2024-03-07,308.00,308.00,308.00,308.00,0.00,25000.00,7700000.00,0,3
2024-03-06,308.00,308.00,308.00,308.00,0.00,50000.00,15400000.00,0,4
2024-03-05,308.00,308.00,308.00,308.00,0.00,50000.00,15400000.00,0,5
2023-12-19,365.00,365.00,365.00,365.00,-4.45,214699.00,78365135.00,-1,6
2023-08-10,382.00,382.00,382.00,382.00,0.00,20000.00,7640000.00,0,7
2023-03-14,340.10,340.10,340.10,340.10,0.00,12267.00,4172006.70,0,8
2023-03-05,340.10,340.10,340.10,340.10,-1.99,114500.00,38941450.00,-1,9
2022-12-01,274.00,274.00,274.00,274.00,0.00,12500.00,3425000.00,0,10
2022-07-03,317.00,317.00,317.00,317.00,0.00,94095.00,29828115.00,0,11
2022-01-19,679.00,679.00,679.00,679.00,0.00,140800.00,70537984.00,0,12
2021-11-30,679.00,679.00,679.00,679.00,0.00,3648.00,2476992.00,0,13
2021-09-20,657.00,657.00,657.00,657.00,-1.94,10000.00,6570000.00,-1,14
2021-09-14,683.10,683.10,670.00,670.00,-3.87,20000.00,13401310.00,-1,15
2021-07-28,697.00,697.00,697.00,697.00,0.00,50000.00,34850000.00,0,16
2021-07-27,697.00,697.00,697.00,697.00,0.00,216000.00,139182660.00,0,17
2021-01-18,380.00,380.00,380.00,380.00,0.00,2285.00,868300.00,0,18
2020-12-28,380.00,380.00,380.00,380.00,0.00,5988.00,2275440.00,0,19
2020-12-03,380.00,380.00,380.00,380.00,0.00,200000.00,76000000.00,0,20
2020-11-18,110.00,110.00,110.00,110.00,0.00,178410.00,19625100.00,0,21
2020-10-11,384.00,384.00,384.00,384.00,-1.79,16755.00,6433920.00,-1,22
2020-09-06,391.00,391.00,391.00,391.00,0.00,55576.00,21730200.00,0,23
2020-08-31,391.00,391.00,391.00,391.00,0.00,150000.00,58650000.00,0,24
2020-06-29,260.00,260.00,260.00,260.00,0.00,25000.00,6500000.00,0,25
2020-02-05,260.00,260.00,260.00,260.00,0.00,50000.00,13000040.00,0,26
2020-01-16,260.00,260.00,260.00,260.00,0.00,37440.00,9734400.00,0,27
2019-12-19,260.00,260.00,260.00,260.00,-0.95,27500.00,7150000.00,-1,28
2019-10-15,262.50,262.50,262.50,262.50,0.19,140800.00,36960000.00,1,29
2019-05-22,262.00,262.00,262.00,262.00,0.00,35138.00,9206156.00,0,30
2019-05-16,262.00,262.00,262.00,262.00,-25.14,140800.00,36889600.00,-1,31
2019-02-03,350.00,350.00,350.00,350.00,0.00,6751.00,2362850.00,0,32
2018-12-10,350.00,350.00,350.00,350.00,0.00,55673.00,19485550.00,0,33
