published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-05,5701.0,5865.0,5600.0,5762.68,1.08,1139.0,6489690.8,1,1
2025-08-04,5700.0,5786.0,5675.1,5701.0,-0.9,451.0,2568169.5,-1,1
2025-08-03,5700.4,5889.0,5700.1,5752.73,-0.97,530.0,3060103.4,-1,1
2025-07-31,5812.02,5865.0,5684.1,5808.88,-0.05,252.0,1451560.7,-1,1
2025-07-30,5677.1,5899.0,5677.1,5812.02,0.35,425.0,2436494.6,1,1
2025-07-29,5605.1,5800.0,5605.1,5791.76,1.84,791.0,4498519.1,1,1
2025-07-28,5764.37,5764.37,5600.0,5607.45,-2.72,1763.0,9885860.7,-1,1
2025-07-27,5700.0,5813.0,5672.0,5764.37,-0.36,624.0,3560074.5,-1,1
2025-07-24,5611.1,5929.0,5532.0,5785.0,2.68,1978.0,11076526.2,1,1
2025-07-23,5830.0,5830.0,5550.0,5633.84,-1.46,3395.0,18863474.6,-1,1
2025-07-22,5489.0,5760.0,5489.0,5717.05,2.08,2296.0,12878543.8,1,1
2025-07-21,5431.2,5649.0,5220.0,5600.29,1.08,8555.0,45627076.8,1,1
2025-07-20,5468.4,5580.0,5468.4,5540.3,-0.71,803.0,4406261.1,-1,1
2025-07-17,5521.0,5595.0,5505.2,5580.0,0.9,775.0,4273421.9,1,1
2025-07-16,5525.0,5626.0,5520.1,5530.06,-1.2,2890.0,15977991.2,-1,1
2025-07-15,5485.0,5638.9,5485.0,5596.96,0.03,996.0,5479835.4,1,1
2025-07-14,5534.0,5635.0,5427.0,5595.27,1.11,302.0,1663773.0,1,1
2025-07-13,5700.0,5780.0,5516.0,5534.0,-2.51,465.0,2580794.1,-1,1
2025-07-10,5591.7,5695.0,5479.1,5676.54,-0.51,549.0,3066675.2,-1,1
2025-07-09,5451.0,5840.0,5451.0,5705.77,2.59,1513.0,8391026.8,1,1
2025-07-08,5450.0,5572.0,5450.0,5561.72,0.04,179.0,983601.1,1,1
2025-07-07,5635.0,5635.0,5485.3,5559.46,-0.67,612.0,3376039.3,-1,1
2025-07-06,5668.9,5669.0,5470.0,5596.95,0.33,1290.0,7159170.0,1,1
2025-07-03,5465.0,5598.8,5465.0,5578.34,0.04,109.0,604501.4,1,1
2025-07-02,5437.0,5609.0,5310.0,5576.09,0.52,1996.0,10826452.0,1,1
2025-07-01,5465.8,5593.8,5465.8,5547.0,-0.54,97.0,534103.5,-1,1
2025-06-30,5500.0,5590.0,5485.0,5577.25,0.15,88.0,486227.0,1,1
2025-06-29,5465.0,5649.0,5420.3,5568.98,0.06,232.0,1266951.9,1,1
2025-06-26,5500.0,5589.0,5415.1,5565.42,1.19,1112.0,6072375.0,1,1
2025-06-25,5339.1,5562.9,5339.1,5500.0,0.95,672.0,3642110.5,1,1
2025-06-24,5311.1,5565.0,5311.1,5447.98,0.61,703.0,3814405.4,1,1
2025-06-23,5301.0,5415.2,5300.0,5415.2,0.7,1374.0,7313215.0,1,1
2025-06-22,5401.2,5487.0,5377.3,5377.3,-1.86,221.0,1193589.8,-1,1
2025-06-19,5538.4,5538.4,5400.1,5479.24,-1.07,300.0,1637052.0,-1,1
2025-06-18,5445.0,5550.0,5346.1,5538.4,-0.31,936.0,5119091.9,-1,1
2025-06-17,5391.1,5599.0,5391.1,5555.5,1.0,271.0,1499396.2,1,1
2025-06-16,5510.0,5599.0,5404.0,5500.45,-0.17,505.0,2756127.0,-1,1
2025-06-15,5506.0,5550.0,5450.0,5510.0,-1.92,168.0,926045.0,-1,1
2025-06-12,5462.3,5680.0,5462.3,5617.98,0.81,1644.0,9027873.7,1,1
2025-06-11,5575.17,5580.0,5474.1,5573.11,-0.04,156.0,861146.7,-1,1
