published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-10-16,376.00,370.00,370.00,370.00,0.00,248.00,91760.00,0,1
2016-10-06,462.00,475.00,460.00,475.00,0.00,20171.00,9435171.00,0,2
2016-10-05,462.00,462.00,455.00,462.00,0.00,7200.00,3311541.00,0,3
2016-10-04,450.00,462.00,451.00,462.00,0.00,7874.00,3600461.00,0,4
2016-10-03,451.00,459.00,442.00,450.00,0.00,5472.00,2458911.00,0,5
2016-10-02,456.00,459.00,439.00,451.00,0.00,4296.00,1939142.00,0,6
2016-09-29,430.00,460.00,430.00,456.00,0.00,18962.00,8433901.00,0,7
2016-09-28,442.00,445.00,430.00,430.00,0.00,4270.00,1871192.00,0,8
2016-09-27,435.00,442.00,427.00,442.00,0.00,4070.00,1767867.00,0,9
2016-09-26,413.00,435.00,413.00,435.00,0.00,7077.00,3027380.00,0,10
2016-09-25,446.00,445.00,413.00,413.00,0.00,4557.00,1934683.00,0,11
2016-09-22,439.00,446.00,438.00,446.00,0.00,2140.00,944045.00,0,12
2016-09-21,450.00,450.00,430.00,439.00,0.00,2409.00,1058825.00,0,13
2016-09-20,453.00,469.00,442.00,450.00,0.00,3017.00,1352003.00,0,14
2016-09-18,460.00,460.00,443.00,453.00,0.00,247.00,110899.00,0,15
2016-09-14,458.00,476.00,460.00,460.00,0.00,2923.00,1356634.00,0,16
2016-09-12,457.00,465.00,452.00,458.00,0.00,2170.00,988486.00,0,17
2016-09-11,465.00,474.00,451.00,457.00,0.00,1076.00,490492.00,0,18
2016-09-08,462.00,469.00,459.00,465.00,0.00,4623.00,2135796.00,0,19
2016-09-07,460.00,469.00,455.00,462.00,0.00,3955.00,1822412.00,0,20
2016-09-06,460.00,469.00,446.00,460.00,0.00,19317.00,8906199.00,0,21
2016-09-05,456.00,460.00,446.00,460.00,0.00,7777.00,3533909.00,0,22
2016-09-04,472.00,480.00,448.00,456.00,0.00,9371.00,4294306.00,0,23
2016-09-03,472.00,480.00,448.00,456.00,0.00,9371.00,4294306.00,0,24
2016-09-01,435.00,477.00,436.00,472.00,0.00,34743.00,15889410.00,0,25
2016-08-31,435.00,435.00,430.00,435.00,0.00,2837.00,1227057.00,0,26
2016-08-30,435.00,443.00,430.00,435.00,0.00,6776.00,2955822.00,0,27
2016-08-29,428.00,435.00,419.00,435.00,0.00,2346.00,996258.00,0,28
2016-08-28,432.00,430.00,414.00,428.00,0.00,354.00,149942.00,0,29
2016-08-24,418.00,432.00,418.00,432.00,0.00,152.00,64776.00,0,30
2016-08-23,414.00,426.00,402.00,418.00,0.00,2349.00,968181.00,0,31
2016-08-22,418.00,420.00,402.00,414.00,0.00,2911.00,1204023.00,0,32
2016-08-21,430.00,438.00,417.00,418.00,0.00,3198.00,1358264.00,0,33
2016-08-17,439.00,445.00,422.00,430.00,0.00,1956.00,859819.00,0,34
2016-08-16,423.00,440.00,415.00,439.00,0.00,7127.00,3063887.00,0,35
2016-08-15,430.00,433.00,417.00,423.00,0.00,1344.00,564916.00,0,36
2016-08-14,451.00,443.00,422.00,430.00,0.00,5799.00,2505357.00,0,37
2016-08-11,440.00,478.00,438.00,451.00,0.00,6843.00,3068035.00,0,38
2016-08-10,428.00,444.00,430.00,440.00,0.00,7161.00,3128333.00,0,39
