published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2013-10-07,94.00,93.00,91.00,91.00,0.00,365.00,33562.00,0,1
2013-10-06,86.00,94.00,87.00,94.00,0.00,5816.00,536267.00,0,2
2013-10-03,79.00,86.00,80.00,86.00,0.00,800.00,66359.00,0,3
2013-10-02,78.00,80.00,77.00,79.00,0.00,8849.00,689896.00,0,4
2013-10-01,77.00,78.00,76.00,78.00,0.00,110.00,8437.00,0,5
2013-09-30,78.00,77.00,76.00,77.00,0.00,835.00,64240.00,0,6
2013-09-29,77.00,79.00,76.00,78.00,0.00,990.00,76837.00,0,7
2013-09-26,78.00,78.00,77.00,77.00,0.00,414.00,31911.00,0,8
2013-09-25,77.00,78.00,76.00,78.00,0.00,691.00,53271.00,0,9
2013-09-24,77.00,78.00,77.00,77.00,0.00,55.00,4257.00,0,10
2013-09-23,79.00,80.00,77.00,77.00,0.00,276.00,21764.00,0,11
2013-09-22,82.00,81.00,78.00,79.00,0.00,2151.00,170151.00,0,12
2013-09-19,77.00,82.00,77.00,82.00,0.00,2930.00,234225.00,0,13
2013-09-17,77.00,77.00,75.00,77.00,0.00,4630.00,352822.00,0,14
2013-09-16,78.00,77.00,77.00,77.00,0.00,32.00,2464.00,0,15
2013-09-15,79.00,81.00,78.00,78.00,0.00,1683.00,134166.00,0,16
2013-09-12,84.00,83.00,76.00,79.00,0.00,851.00,66117.00,0,17
2013-09-11,93.00,92.00,84.00,84.00,0.00,441.00,38599.00,0,18
2013-09-10,95.00,94.00,93.00,93.00,0.00,22.00,2057.00,0,19
2013-09-08,97.00,96.00,95.00,95.00,0.00,184.00,17653.00,0,20
2013-09-03,98.00,97.00,97.00,97.00,0.00,139.00,13483.00,0,21
2013-08-26,98.00,98.00,97.00,98.00,0.00,100.00,9780.00,0,22
2013-08-25,98.00,98.00,98.00,98.00,0.00,35.00,3430.00,0,23
2013-08-20,100.00,102.00,98.00,98.00,0.00,2209.00,220060.00,0,24
2013-08-19,92.00,101.00,92.00,100.00,0.00,3401.00,333392.00,0,25
2013-08-18,89.00,93.00,90.00,92.00,0.00,2342.00,214825.00,0,26
2013-08-15,91.00,92.00,89.00,89.00,0.00,2546.00,229657.00,0,27
2013-08-14,91.00,92.00,89.00,91.00,0.00,1756.00,157633.00,0,28
2013-08-13,92.00,92.00,90.00,91.00,0.00,1546.00,139950.00,0,29
2013-08-12,90.00,92.00,90.00,92.00,0.00,4757.00,432268.00,0,30
2013-08-11,86.00,91.00,87.00,90.00,0.00,5556.00,498451.00,0,31
2013-08-08,81.00,88.00,80.00,86.00,0.00,4098.00,343551.00,0,32
2013-08-07,80.00,82.00,80.00,81.00,0.00,624.00,50466.00,0,33
2013-08-06,83.00,82.00,80.00,80.00,0.00,273.00,22131.00,0,34
2013-08-05,78.00,83.00,78.00,83.00,0.00,1913.00,152333.00,0,35
2013-08-04,79.00,79.00,77.00,78.00,0.00,741.00,57493.00,0,36
2013-08-01,82.00,81.00,79.00,79.00,0.00,300.00,24070.00,0,37
2013-07-31,83.00,83.00,81.00,82.00,0.00,128.00,10500.00,0,38
2013-07-30,84.00,83.00,81.00,83.00,0.00,961.00,78840.00,0,39
2013-07-29,85.00,84.00,84.00,84.00,0.00,132.00,11088.00,0,40
2013-07-28,87.00,87.00,85.00,85.00,0.00,878.00,75312.00,0,41
2013-07-25,86.00,88.00,85.00,87.00,0.00,2721.00,234953.00,0,42
2013-07-24,87.00,86.00,86.00,86.00,0.00,46.00,3956.00,0,43
2013-07-23,86.00,87.00,84.00,87.00,0.00,748.00,63395.00,0,44
2013-07-22,88.00,87.00,86.00,86.00,0.00,136.00,11740.00,0,45
2013-07-21,87.00,88.00,88.00,88.00,0.00,100.00,8800.00,0,46
2013-07-18,85.00,87.00,85.00,87.00,0.00,1386.00,119689.00,0,47
2013-07-17,82.00,85.00,83.00,85.00,0.00,1069.00,90366.00,0,48
2013-07-16,88.00,87.00,82.00,82.00,0.00,1681.00,140326.00,0,49
2013-07-15,88.00,88.00,87.00,88.00,0.00,805.00,70210.00,0,50
2013-07-14,90.00,89.00,88.00,88.00,0.00,79.00,7020.00,0,51
2013-07-11,90.00,92.00,90.00,90.00,0.00,1445.00,131275.00,0,52
2013-07-10,85.00,90.00,84.00,90.00,0.00,1593.00,141585.00,0,53
2013-07-09,78.00,85.00,79.00,85.00,0.00,1431.00,120665.00,0,54
2013-07-08,78.00,79.00,78.00,78.00,0.00,714.00,55970.00,0,55
2013-07-07,77.00,79.00,78.00,78.00,0.00,289.00,22647.00,0,56
2013-07-04,76.00,77.00,76.00,77.00,0.00,1945.00,149380.00,0,57
2013-07-03,77.00,78.00,76.00,76.00,0.00,631.00,48596.00,0,58
2013-07-02,77.00,79.00,77.00,77.00,0.00,1155.00,91054.00,0,59
2013-07-01,75.00,78.00,76.00,77.00,0.00,2122.00,163110.00,0,60
2013-06-30,75.00,75.00,73.00,75.00,0.00,912.00,67943.00,0,61
2013-06-27,73.00,75.00,73.00,75.00,0.00,543.00,40138.00,0,62
2013-06-26,72.00,74.00,73.00,73.00,0.00,783.00,57385.00,0,63
2013-06-25,72.00,73.00,71.00,72.00,0.00,908.00,65445.00,0,64
2013-06-24,73.00,73.00,71.00,72.00,0.00,3107.00,223214.00,0,65
2013-06-23,72.00,73.00,71.00,73.00,0.00,6550.00,473255.00,0,66
2013-06-20,77.00,76.00,72.00,72.00,0.00,3754.00,274878.00,0,67
2013-06-19,76.00,77.00,76.00,77.00,0.00,319.00,24379.00,0,68
2013-06-18,77.00,78.00,76.00,76.00,0.00,1342.00,102834.00,0,69
2013-06-17,80.00,79.00,77.00,77.00,0.00,88.00,6866.00,0,70
2013-06-13,80.00,80.00,80.00,80.00,0.00,263.00,21040.00,0,71
2013-06-12,81.00,81.00,78.00,80.00,0.00,481.00,38300.00,0,72
2013-06-11,78.00,81.00,79.00,81.00,0.00,1341.00,107586.00,0,73
2013-06-10,80.00,79.00,77.00,78.00,0.00,357.00,28113.00,0,74
2013-06-09,83.00,83.00,80.00,80.00,0.00,2348.00,192305.00,0,75
2013-06-06,78.00,84.00,79.00,83.00,0.00,8366.00,666646.00,0,76
2013-06-05,75.00,78.00,75.00,78.00,0.00,910.00,69968.00,0,77
2013-06-04,77.00,76.00,75.00,75.00,0.00,1721.00,129086.00,0,78
2013-06-03,75.00,77.00,74.00,77.00,0.00,462.00,35052.00,0,79
2013-06-02,79.00,78.00,74.00,75.00,0.00,185.00,13961.00,0,80
2013-05-30,80.00,80.00,78.00,79.00,0.00,1995.00,158290.00,0,81
2013-05-28,80.00,81.00,78.00,80.00,0.00,1042.00,83434.00,0,82
2013-05-27,73.00,80.00,72.00,80.00,0.00,2343.00,177053.00,0,83
2013-05-26,74.00,74.00,72.00,73.00,0.00,960.00,70007.00,0,84
2013-05-23,76.00,77.00,74.00,74.00,0.00,1689.00,126576.00,0,85
2013-05-22,70.00,76.00,70.00,76.00,0.00,3275.00,230914.00,0,86
2013-05-21,74.00,73.00,69.00,70.00,0.00,1204.00,84198.00,0,87
2013-05-20,73.00,74.00,71.00,74.00,0.00,1295.00,93751.00,0,88
2013-05-19,69.00,73.00,70.00,73.00,0.00,2492.00,180155.00,0,89
2013-05-16,68.00,69.00,68.00,69.00,0.00,506.00,34664.00,0,90
2013-05-15,68.00,70.00,67.00,68.00,0.00,504.00,34436.00,0,91
2013-05-14,64.00,69.00,64.00,68.00,0.00,1391.00,91994.00,0,92
