published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-05-09,145.00,147.00,147.00,147.00,0.00,388.00,57036.00,0,1
2012-04-30,139.00,145.00,141.00,145.00,0.00,281.00,40183.00,0,2
2012-04-29,137.00,139.00,139.00,139.00,0.00,8856.00,1230984.00,0,3
2012-04-26,135.00,137.00,137.00,137.00,0.00,11258.00,1542346.00,0,4
2012-04-25,133.00,135.00,135.00,135.00,0.00,6446.00,870210.00,0,5
2012-04-22,131.00,135.00,133.00,133.00,0.00,17735.00,2360267.00,0,6
2012-04-19,129.00,131.00,129.00,131.00,0.00,19738.00,2566398.00,0,7
2012-04-18,125.00,129.00,127.00,129.00,0.00,13706.00,1749800.00,0,8
2012-03-27,138.00,136.00,125.00,125.00,0.00,20390.00,2555438.00,0,9
2012-03-26,0.00,152.00,138.00,138.00,0.00,20196.00,2795608.00,0,10
