published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-06-27,188.00,188.00,188.00,188.00,2.73,3000.00,564000.00,1,1
2023-03-23,183.00,183.00,183.00,183.00,0.00,63437.00,11608971.00,0,2
2022-06-01,270.00,270.00,270.00,270.00,0.00,33954.00,9167580.00,0,3
2022-04-19,270.00,270.00,270.00,270.00,-1.82,14709.00,3971430.00,-1,4
2022-02-13,275.00,275.00,275.00,275.00,0.00,25000.00,6875000.00,0,5
2021-10-28,267.00,267.00,267.00,267.00,5.12,7500.00,2002500.00,1,6
2021-08-19,254.00,254.00,254.00,254.00,-1.93,25000.00,6350000.00,-1,7
2021-08-05,259.00,259.00,259.00,259.00,-1.89,132301.00,34265959.00,-1,8
2021-08-04,264.00,264.00,264.00,264.00,-1.86,150000.00,39600000.00,-1,9
2021-08-03,269.00,269.00,269.00,269.00,0.00,4100.00,1102900.00,0,10
2021-02-25,101.00,101.00,100.00,100.00,-0.99,35079.00,3513525.00,-1,11
2021-01-26,101.00,101.00,101.00,101.00,1.00,500.00,50500.00,1,12
2021-01-20,100.00,100.00,100.00,100.00,0.00,10802.00,1080200.00,0,13
2020-10-21,100.00,100.00,100.00,100.00,0.00,200.00,20000.00,0,14
2020-07-20,100.00,100.00,100.00,100.00,0.00,16875.00,1687500.00,0,15
2020-07-19,100.00,100.00,100.00,100.00,0.00,36896.00,3689600.00,0,16
2019-12-16,100.00,100.00,100.00,100.00,0.00,136048.00,13604800.00,0,17
2019-11-11,100.00,100.00,100.00,100.00,-2.91,7329.00,732900.00,-1,18
2018-06-12,103.00,103.00,103.00,103.00,-1.90,150631.00,15514993.00,-1,19
2017-11-23,103.00,102.00,102.00,102.00,0.00,11952.00,1219104.00,0,20
