published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-08,737.20,737.20,688.00,692.20,-4.23,980.00,689019.00,-1,1
2025-10-07,733.0,733.0,710.1,722.8,-1.39,1131.0,819076.0,-1,1
2025-09-28,745.0,775.0,731.0,733.0,-3.55,1624.0,1208219.2,-1,1
2025-09-25,741.8,760.0,731.0,760.0,0.41,1290.0,969484.6,1,1
2025-09-24,729.0,789.0,710.0,756.9,5.42,2421.0,1763312.3,1,1
2025-09-23,707.8,718.0,699.0,718.0,3.46,2558.0,1808517.7,1,1
2025-09-21,651.0,710.0,651.0,694.0,5.14,4102.0,2846780.2,1,1
2025-09-18,660.1,660.1,660.1,660.1,-1.71,90.0,59409.0,-1,1
2025-09-08,705.0,705.0,667.6,671.55,-5.28,5124.0,3478608.1,-1,1
2025-09-07,714.0,715.0,709.0,709.0,-1.53,1635.0,1162856.3,-1,1
2025-09-04,745.0,745.0,719.6,720.02,-3.83,2500.0,1811845.8,-1,1
2025-09-03,750.0,754.0,745.1,748.7,-0.31,557.0,416776.0,-1,1
2025-09-02,769.0,770.0,750.0,751.05,-2.33,1856.0,1404643.2,-1,1
2025-09-01,754.0,779.9,752.0,769.0,0.39,1641.0,1247192.8,1,1
2025-08-31,786.3,788.5,764.0,766.0,-0.67,2270.0,1760987.0,-1,1
2025-08-28,784.0,794.8,771.0,771.2,-1.63,3418.0,2650082.9,-1,1
2025-08-27,786.4,786.4,772.0,784.0,1.69,2203.0,1718480.6,1,1
2025-08-26,786.9,800.0,771.0,771.0,-0.07,621.0,480842.0,-1,1
2025-08-25,766.4,781.4,766.3,771.53,-0.41,1865.0,1445693.1,-1,1
2025-08-24,801.4,814.8,770.0,774.69,-1.4,3589.0,2805790.3,-1,1
2025-08-21,783.1,804.0,782.0,785.71,-1.34,2756.0,2173261.1,-1,1
2025-08-20,797.0,812.9,794.1,796.41,-1.72,2237.0,1786927.4,-1,1
