published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-06,401.00,408.00,400.00,400.00,0.00,6377.00,2573069.00,0,1
2016-06-05,413.00,415.00,401.00,401.00,0.00,5503.00,2240263.00,0,2
2016-06-02,419.00,419.00,413.00,413.00,0.00,4825.00,2003737.00,0,3
2016-06-01,411.00,419.00,406.00,419.00,0.00,4028.00,1654684.00,0,4
2016-05-31,412.00,418.00,411.00,411.00,0.00,3000.00,1240000.00,0,5
2016-05-30,411.00,419.00,403.00,412.00,0.00,3047.00,1247309.00,0,6
2016-05-29,418.00,422.00,410.00,411.00,0.00,6437.00,2660505.00,0,7
2016-05-26,420.00,419.00,411.00,418.00,0.00,1806.00,748527.00,0,8
2016-05-25,425.00,420.00,420.00,420.00,0.00,350.00,147000.00,0,9
2016-05-24,418.00,429.00,415.00,425.00,0.00,5551.00,2339156.00,0,10
2016-05-23,419.00,420.00,412.00,418.00,0.00,1657.00,690556.00,0,11
2016-05-22,415.00,422.00,413.00,419.00,0.00,3518.00,1465349.00,0,12
2016-05-19,415.00,418.00,415.00,415.00,0.00,2134.00,887110.00,0,13
2016-05-18,415.00,416.00,407.00,415.00,0.00,2896.00,1190523.00,0,14
2016-05-17,410.00,415.00,406.00,415.00,0.00,883.00,365610.00,0,15
2016-05-16,415.00,420.00,410.00,410.00,0.00,3959.00,1641139.00,0,16
2016-05-15,425.00,418.00,414.00,415.00,0.00,2315.00,962100.00,0,17
2016-05-12,421.00,428.00,419.00,425.00,0.00,5037.00,2134460.00,0,18
2016-05-11,426.00,425.00,415.00,421.00,0.00,2881.00,1211545.00,0,19
2016-05-10,425.00,441.00,424.00,426.00,0.00,11187.00,4796508.00,0,20
2016-05-09,413.00,425.00,413.00,425.00,0.00,5874.00,2467424.00,0,21
2016-05-08,429.00,429.00,413.00,413.00,0.00,966.00,405350.00,0,22
2016-05-05,412.00,429.00,405.00,429.00,0.00,9998.00,4125978.00,0,23
2016-05-04,414.00,418.00,412.00,412.00,0.00,3165.00,1312063.00,0,24
2016-05-03,413.00,422.00,413.00,414.00,0.00,9036.00,3760032.00,0,25
2016-05-02,421.00,414.00,413.00,413.00,0.00,571.00,236094.00,0,26
2016-04-28,429.00,421.00,421.00,421.00,0.00,1444.00,607924.00,0,27
2016-04-27,437.00,432.00,422.00,429.00,0.00,1955.00,840550.00,0,28
2016-04-26,416.00,440.00,422.00,437.00,0.00,6119.00,2653961.00,0,29
2016-04-25,413.00,422.00,415.00,416.00,0.00,6831.00,2852764.00,0,30
2016-04-24,405.00,413.00,405.00,413.00,0.00,2349.00,961845.00,0,31
2016-04-21,401.00,409.00,401.00,405.00,0.00,747.00,302155.00,0,32
2016-04-20,393.00,413.00,398.00,401.00,0.00,3263.00,1319375.00,0,33
2016-04-19,400.00,400.00,392.00,393.00,0.00,3000.00,1182650.00,0,34
2016-04-18,388.00,400.00,394.00,400.00,0.00,1652.00,658164.00,0,35
2016-04-17,395.00,402.00,388.00,388.00,0.00,1525.00,597800.00,0,36
2016-04-14,390.00,400.00,395.00,395.00,0.00,2950.00,1176775.00,0,37
2016-04-12,390.00,390.00,382.00,390.00,0.00,560.00,216996.00,0,38
2016-04-11,392.00,390.00,387.00,390.00,0.00,1017.00,396579.00,0,39
2016-04-10,400.00,395.00,391.00,392.00,0.00,2227.00,873284.00,0,40
2016-04-06,400.00,403.00,400.00,400.00,0.00,1358.00,545087.00,0,41
2016-04-05,400.00,400.00,400.00,400.00,0.00,540.00,216000.00,0,42
2016-04-04,388.00,405.00,393.00,400.00,0.00,8056.00,3224887.00,0,43
2016-04-03,399.00,395.00,388.00,388.00,0.00,826.00,324378.00,0,44
2016-03-31,395.00,400.00,399.00,399.00,0.00,8226.00,3289974.00,0,45
2016-03-30,390.00,404.00,390.00,395.00,0.00,10798.00,4297279.00,0,46
2016-03-29,400.00,396.00,390.00,390.00,0.00,2993.00,1177220.00,0,47
2016-03-28,400.00,405.00,393.00,400.00,0.00,9352.00,3737871.00,0,48
2016-03-27,368.00,404.00,368.00,400.00,0.00,13736.00,5421754.00,0,49
2016-03-24,367.00,375.00,361.00,368.00,0.00,2349.00,867142.00,0,50
2016-03-23,372.00,372.00,363.00,367.00,0.00,1453.00,531634.00,0,51
2016-03-21,369.00,375.00,365.00,372.00,0.00,2267.00,842874.00,0,52
2016-03-20,368.00,370.00,362.00,369.00,0.00,1114.00,407446.00,0,53
2016-03-17,368.00,375.00,366.00,368.00,0.00,4659.00,1726788.00,0,54
2016-03-16,386.00,380.00,368.00,368.00,0.00,1490.00,555550.00,0,55
2016-03-15,390.00,386.00,386.00,386.00,0.00,700.00,270200.00,0,56
2016-03-14,395.00,390.00,390.00,390.00,0.00,110.00,42900.00,0,57
2016-03-13,384.00,395.00,390.00,395.00,0.00,401.00,157091.00,0,58
2016-03-10,370.00,384.00,370.00,384.00,0.00,542.00,201520.00,0,59
2016-03-06,381.00,374.00,365.00,370.00,0.00,2400.00,880818.00,0,60
2016-03-03,385.00,388.00,381.00,381.00,0.00,156.00,60136.00,0,61
2016-03-02,378.00,385.00,385.00,385.00,0.00,300.00,115500.00,0,62
