published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-13,541.00,549.90,523.00,526.17,-0.92,17168.00,9104807.40,-1,1
2025-08-12,530.6,549.3,523.5,531.03,-1.91,18570.0,9944030.0,-1,1
2025-08-11,523.0,550.6,523.0,541.36,3.47,64105.0,34761706.9,1,1
2025-08-07,532.0,532.0,518.0,523.18,0.17,12766.0,6731093.5,1,1
2025-08-06,506.2,530.0,506.2,522.28,1.13,8130.0,4208356.4,1,1
2025-08-05,538.5,538.5,512.1,516.45,-2.19,16733.0,8814024.5,-1,1
2025-08-04,539.9,539.9,519.0,528.0,-1.56,34338.0,18094265.4,-1,1
2025-08-03,540.0,552.9,535.0,536.35,-1.64,32188.0,17379404.0,-1,1
2025-07-31,571.7,571.7,542.1,545.28,-2.72,46032.0,25367005.4,-1,1
2025-07-30,570.0,574.0,557.2,560.52,-0.49,58409.0,33135288.7,-1,1
2025-07-29,574.3,575.0,561.0,563.26,0.04,59234.0,33614338.2,1,1
2025-07-28,540.3,564.9,540.3,555.72,1.6,89008.0,49464241.1,1,1
2025-07-27,569.0,574.0,545.0,546.98,-3.73,69700.0,39020822.8,-1,1
2025-07-24,530.0,573.0,530.0,568.16,5.11,83847.0,47348968.5,1,1
2025-07-23,544.0,554.0,535.0,540.53,-0.2,74019.0,40320363.6,-1,1
2025-07-22,540.0,542.9,530.2,541.64,1.76,49417.0,26518409.9,1,1
2025-07-21,527.1,540.0,526.0,532.28,1.12,41917.0,22356215.9,1,1
2025-07-20,521.0,540.0,520.0,526.39,1.43,38093.0,20217759.2,1,1
2025-07-17,517.3,523.9,510.1,518.98,2.32,22574.0,11696480.5,1,1
2025-07-16,504.0,510.0,501.0,507.23,0.67,7394.0,3748912.4,1,1
2025-07-15,500.1,510.9,500.1,503.85,0.57,5584.0,2821698.0,1,1
2025-07-14,500.0,510.0,500.0,500.99,-1.2,13535.0,6796708.4,-1,1
2025-07-13,513.4,523.6,503.4,507.1,0.75,15542.0,7939111.0,1,1
2025-07-10,509.0,512.9,501.0,503.34,-0.76,12243.0,6214124.8,-1,1
2025-07-09,505.0,510.0,504.1,507.22,0.53,3448.0,1744544.6,1,1
2025-07-08,497.1,506.5,496.0,504.54,0.89,3680.0,1846356.3,1,1
2025-07-07,500.0,514.9,498.1,500.07,-1.59,6787.0,3405646.0,-1,1
2025-07-06,512.2,514.0,505.0,508.14,-0.81,10707.0,5460035.2,-1,1
2025-07-03,512.0,519.0,508.1,512.31,0.15,14785.0,7592925.5,1,1
2025-07-02,495.0,516.0,495.0,511.55,1.52,10499.0,5359351.2,1,1
2025-07-01,498.1,508.0,498.1,503.87,0.15,9086.0,4563989.6,1,1
2025-06-30,506.0,511.0,500.3,503.13,-0.36,9510.0,4815366.0,-1,1
2025-06-29,500.1,505.0,497.0,504.95,0.07,6841.0,3425440.8,1,1
2025-06-26,496.0,514.0,495.0,504.59,1.65,14478.0,7327242.3,1,1
2025-06-25,486.0,497.0,486.0,496.42,0.4,9076.0,4469775.1,1,1
2025-06-24,489.0,500.0,489.0,494.43,0.93,6159.0,3046270.5,1,1
2025-06-23,490.0,499.8,485.5,489.86,-1.37,5505.0,2696903.5,-1,1
2025-06-22,493.3,504.0,493.3,496.64,-0.94,3606.0,1798421.4,-1,1
2025-06-19,515.6,515.6,490.0,501.36,-0.88,15534.0,7773183.1,-1,1
2025-06-18,522.9,522.9,503.0,505.82,-1.91,7173.0,3642171.4,-1,1
2025-06-17,500.3,519.9,500.2,515.67,1.26,9609.0,4911196.0,1,1
2025-06-16,500.2,524.0,500.2,509.27,0.44,7269.0,3722353.1,1,1
2025-06-15,506.0,512.5,500.0,507.02,0.15,5805.0,2927143.5,1,1
2025-06-12,524.2,524.2,500.1,506.27,-1.51,11401.0,5812445.2,-1,1
2025-06-11,525.0,538.0,512.5,514.01,-0.73,4745.0,2445073.1,-1,1
2025-06-10,527.5,527.5,513.0,517.8,-0.47,6538.0,3380998.4,-1,1
2025-06-09,526.0,527.9,508.0,520.23,0.44,5993.0,3115739.2,1,1
2025-06-08,527.9,527.9,505.0,517.95,-0.3,10237.0,5265954.6,-1,1
2025-06-05,525.0,535.0,510.1,519.51,0.77,4734.0,2452405.0,1,1
2025-06-04,522.0,527.0,506.0,515.56,-0.55,6602.0,3396983.7,-1,1
2025-06-03,535.8,535.8,509.5,518.4,-1.54,9222.0,4775280.0,-1,2
2025-06-02,544.0,554.0,522.0,526.49,-1.54,7566.0,4043985.6,-1,1
2025-05-28,539.9,540.0,524.0,534.73,0.81,23075.0,12287337.0,1,1
2025-05-27,522.0,538.5,507.8,530.45,2.46,37088.0,19538146.6,1,2
2025-05-26,509.96,524.0,504.0,517.69,1.52,17498.0,9005785.6,1,1
2025-05-25,514.0,525.0,500.0,509.96,-0.09,8849.0,4503082.4,-1,2
2025-05-22,515.5,522.0,500.0,510.44,-0.43,14913.0,7584326.8,-1,3
2025-05-21,513.4,523.2,503.0,512.62,1.83,15913.0,8087604.8,1,4
2025-05-20,504.0,506.9,490.0,503.41,1.09,8456.0,4244010.1,1,5
2025-05-19,504.4,514.4,495.0,498.0,0.7,2830.0,1411701.6,1,6
2025-05-18,502.9,513.0,480.0,494.55,0.22,5646.0,2783495.2,1,7
2025-05-15,496.0,507.0,487.0,493.45,-0.73,9628.0,4762481.8,-1,8
2025-05-14,496.5,513.5,496.5,497.1,-1.27,6831.0,3411471.0,-1,9
2025-05-13,500.0,513.9,500.0,503.5,-0.12,5572.0,2814125.8,-1,10
2025-05-11,523.9,523.9,503.5,504.12,-1.87,11721.0,5939370.0,-1,11
2025-05-08,519.0,525.0,511.0,513.74,-1.24,9888.0,5085795.3,-1,12
2025-05-07,498.6,525.0,498.6,520.21,2.47,14059.0,7297651.7,1,13
2025-05-06,511.9,515.0,502.0,507.65,1.14,10963.0,5574392.0,1,14
2025-05-05,495.0,510.0,495.0,501.94,-0.56,7647.0,3837242.4,-1,15
2025-05-04,496.3,511.9,496.3,504.79,0.39,7710.0,3887607.5,1,16
2025-04-30,515.0,515.0,500.2,502.81,-0.69,5210.0,2621787.5,-1,17
2025-04-29,517.0,517.0,504.0,506.3,-1.3,8731.0,4434720.6,-1,18
2025-04-28,511.0,528.0,511.0,512.95,-1.14,4229.0,2175940.0,-1,19
2025-04-27,533.0,533.0,517.0,518.86,-1.2,12595.0,6555795.3,-1,20
2025-04-24,541.5,541.5,521.6,525.14,-1.15,20685.0,10890355.7,-1,21
2025-04-23,521.5,535.5,520.0,531.25,-0.11,33495.0,17667186.1,-1,22
2025-04-22,507.4,538.9,507.4,531.81,2.73,34747.0,18250425.2,1,23
2025-04-21,514.9,523.0,513.0,517.7,0.72,19407.0,10047943.0,1,24
2025-04-20,518.0,518.0,508.3,513.98,0.99,13477.0,6906950.3,1,25
2025-04-17,510.0,522.0,498.6,508.96,1.3,23883.0,12091408.4,1,26
2025-04-16,512.0,513.0,499.1,502.44,-0.76,11266.0,5671576.7,-1,27
2025-04-15,497.63,515.0,495.0,506.31,1.74,7374.0,3736004.2,1,28
2025-04-13,491.0,504.8,491.0,497.63,-0.48,3630.0,1805050.0,-1,29
2025-04-10,493.1,502.0,493.1,500.05,0.34,11870.0,5931631.1,1,30
2025-04-09,506.3,506.3,496.7,498.38,0.4,6391.0,3201453.7,1,31
2025-04-08,495.5,503.0,493.8,496.38,-0.8,4296.0,2130930.5,-1,32
2025-04-07,492.0,510.0,490.0,500.37,-0.23,7931.0,3965306.8,-1,33
2025-04-03,503.1,518.5,500.5,501.54,-1.72,16853.0,8518674.0,-1,34
2025-04-02,504.3,517.1,504.3,510.33,-0.37,9127.0,4663871.9,-1,35
2025-04-01,516.0,517.0,509.1,512.21,-0.88,9724.0,4983028.2,-1,36
2025-03-30,502.0,522.0,502.0,516.74,2.98,21447.0,11055593.6,1,37
2025-03-27,503.5,505.0,493.1,501.78,-0.26,15018.0,7517363.7,-1,38
2025-03-26,483.0,518.0,480.0,503.11,4.35,7122.0,3507859.7,1,39
2025-03-25,490.4,499.0,481.1,482.14,-3.16,14859.0,7213575.9,-1,40
2025-03-24,487.5,505.0,480.2,497.88,0.22,10592.0,5259758.5,1,41
2025-03-23,515.0,516.5,495.0,496.8,-3.52,14530.0,7386279.8,-1,42
2025-03-20,534.0,534.0,513.0,514.95,-1.75,12350.0,6391204.0,-1,43
2025-03-19,528.0,534.0,522.0,524.1,-0.83,12152.0,6406290.3,-1,44
2025-03-18,516.1,536.5,516.1,528.5,0.48,9993.0,5268354.9,1,45
2025-03-17,523.2,534.9,523.2,526.0,-0.28,10825.0,5712181.8,-1,46
2025-03-16,529.0,533.0,527.3,527.5,-1.64,7751.0,4096287.5,-1,47
2025-03-12,530.0,536.3,525.1,536.3,1.0,15377.0,8169795.6,1,48
2025-03-11,536.0,548.0,530.0,531.0,-1.98,16644.0,8894219.9,-1,49
2025-03-10,555.0,564.0,541.0,541.7,-2.13,21488.0,11847496.8,-1,50
2024-12-12,511.1,517.0,507.1,507.1,-0.57,12614.0,6445533.6,-1,1
2024-12-11,518.0,518.0,503.0,510.0,0.39,19013.0,9662533.3,1,1
2024-12-10,504.0,510.0,503.0,508.0,1.2,10903.0,5518106.2,1,1
2024-12-09,513.0,516.0,500.0,502.0,-0.2,10469.0,5288198.6,-1,2
2024-12-08,510.0,520.0,503.0,503.0,-2.35,13975.0,7081728.0,-1,3
2024-12-05,516.0,520.5,515.0,515.1,-0.56,17113.0,8854758.5,-1,4
2024-12-04,522.1,532.5,518.0,518.0,-1.33,21219.0,11154527.3,-1,5
