published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,16999.00,17000.00,16800.00,16800.00,0.63,40.00,676240.00,1,1
2024-12-08,16367.00,16694.00,16050.00,16694.00,1.98,50.00,815321.00,1,2
2024-12-05,16700.00,16700.00,16370.00,16370.00,-1.39,32.00,527801.00,-1,3
2024-12-04,16600.00,16600.00,16600.00,16600.00,0.00,68.00,1128800.00,0,4
2024-12-03,16350.00,16600.00,16350.00,16600.00,1.97,110.00,1808500.00,1,5
2024-12-02,16200.00,16280.00,16200.00,16280.00,0.49,58.00,940400.00,1,6
2024-12-01,16200.00,16200.00,16200.00,16200.00,0.00,10.00,162000.00,0,7
2024-11-28,16300.00,16300.00,16200.00,16200.00,-0.61,81.00,1318300.00,-1,8
2024-11-27,16210.00,16600.00,16209.20,16300.00,-1.45,252.00,4129334.00,-1,9
2024-11-26,16550.00,16550.00,16540.00,16540.00,-0.06,43.00,711550.00,-1,10
2024-11-25,16550.00,16550.00,16550.00,16550.00,-0.90,10.00,165500.00,-1,11
2024-11-24,16400.00,16700.00,16400.00,16700.00,1.83,20.00,331000.00,1,12
2024-11-21,16700.00,16700.00,16366.00,16400.00,-1.57,110.00,1810300.00,-1,13
2024-11-19,16800.00,16800.00,16662.00,16662.00,-1.99,21.00,351282.00,-1,14
2024-11-14,17340.00,17686.00,17000.00,17000.00,0.00,50.00,866920.00,0,15
2024-11-13,17100.00,17100.00,17000.00,17000.00,-1.16,29.00,494900.00,-1,16
2024-11-12,17002.00,17200.00,17001.00,17200.00,0.00,30.00,512030.00,0,17
2024-11-11,17200.00,17200.00,17200.00,17200.00,-0.58,21.00,361200.00,-1,18
2024-11-10,17093.00,17300.00,17093.00,17300.00,3.23,20.00,343930.00,1,19
2024-11-06,17100.00,17100.00,16758.00,16758.00,-1.42,20.00,338580.00,-1,20
2024-10-30,17600.00,17600.00,17000.00,17000.00,-1.52,51.00,876110.00,-1,21
2024-10-24,17263.00,17263.00,17263.00,17263.00,-2.00,10.00,172630.00,-1,22
2024-10-22,17297.00,17615.00,16951.10,17615.00,-0.20,51.00,887886.00,-1,23
2024-10-21,17750.00,17750.00,17650.00,17650.00,-0.73,20.00,354000.00,-1,24
2024-10-17,17780.00,17780.00,17780.00,17780.00,1.94,10.00,177800.00,1,25
2024-10-16,17442.00,17442.00,17442.00,17442.00,2.00,10.00,174420.00,1,26
2024-10-08,17100.00,17100.00,17100.00,17100.00,-1.98,20.00,342000.00,-1,27
2024-10-07,17445.00,17700.00,17445.00,17445.00,-1.98,50.00,877350.00,-1,28
2024-10-06,17510.00,17798.00,17510.00,17798.00,1.64,70.00,1231290.00,1,29
2024-10-02,17510.00,17510.00,17510.00,17510.00,0.46,10.00,175100.00,1,30
2024-10-01,17090.00,17430.00,17090.00,17430.00,4.00,50.00,867499.00,1,31
2024-09-30,16760.00,16760.00,16760.00,16760.00,-1.99,10.00,167600.00,-1,32
2024-09-29,17269.00,18155.00,17100.00,17100.00,1.00,140.00,2476928.00,1,33
2024-09-26,16438.00,17100.00,16424.80,16931.00,5.06,80.00,1337778.00,1,34
2024-09-25,16116.00,16116.00,16116.00,16116.00,2.00,10.00,161160.00,1,35
2024-09-24,16025.00,16025.00,15800.10,15800.10,-1.40,30.00,477251.00,-1,36
2024-09-23,16349.00,16349.00,16025.00,16025.00,-3.93,40.00,650684.00,-1,37
2024-09-22,16300.10,17199.00,16300.10,16680.00,2.33,60.00,1006172.00,1,38
