published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-14,10913.00,10914.00,10710.10,10710.10,0.09,40.00,434371.00,1,1
2025-10-13,11000.0,11300.0,10666.1,10700.0,-1.65,1238.0,13625985.0,-1,1
2025-10-12,11001.1,11100.0,10810.0,10880.0,-2.86,190.0,2080691.0,-1,1
2025-10-09,11130.2,11299.0,10951.0,11200.0,2.64,170.0,1900872.0,1,1
2025-10-08,11111.1,11130.0,10900.0,10912.0,-3.69,200.0,2201841.0,-1,1
2025-10-07,11526.0,11526.0,11195.0,11330.0,0.27,160.0,1816665.0,1,1
2025-09-28,11212.0,11520.0,11212.0,11300.0,0.78,222.0,2526487.0,1,1
2025-09-25,10979.0,11420.0,10979.0,11212.0,0.11,80.0,897415.0,1,1
2025-09-24,11200.0,11600.0,11115.0,11200.0,0.0,515.0,5786670.0,0,1
2025-09-23,11220.0,11220.0,11111.0,11200.0,1.81,188.0,2105187.2,1,1
2025-09-21,10997.6,11220.0,10900.0,11000.66,-1.97,523.0,5769884.0,-1,1
2025-09-18,11222.0,11222.0,11222.0,11222.0,-2.0,17.0,190774.0,-1,1
2025-09-08,11550.0,11550.0,11450.0,11451.0,-0.86,93.0,1070860.0,-1,1
2025-09-07,11500.0,11550.0,11500.0,11550.0,0.04,51.0,586815.0,1,1
2025-09-04,11700.0,11700.0,11500.0,11545.0,-1.24,263.0,3033742.0,-1,1
2025-09-03,11600.0,11750.0,11600.0,11689.5,0.24,122.0,1425591.0,1,1
2025-09-02,11800.0,11950.0,11660.0,11661.33,-2.01,350.0,4111193.0,-1,1
2025-09-01,11900.1,11900.1,11850.0,11900.0,0.0,100.0,1188701.0,0,1
2025-08-31,12151.0,12151.0,11850.0,11900.0,-0.42,95.0,1136180.0,-1,1
2025-08-28,12000.0,12099.0,11880.0,11950.0,-0.34,130.0,1552782.5,-1,1
2025-08-27,11850.0,12000.0,11850.0,11990.86,-0.06,401.0,4785482.0,-1,1
2025-08-26,11900.0,12000.0,11900.0,11998.33,0.83,160.0,1912100.0,1,1
2025-08-25,12000.0,12000.0,11850.0,11900.0,-1.65,443.0,5273376.0,-1,1
2025-08-24,12100.0,12100.0,12000.0,12100.0,-0.1,167.0,2008301.0,-1,1
2025-08-21,12201.0,12250.0,12012.0,12111.68,-0.63,257.0,3113425.0,-1,1
2025-08-20,12348.0,12348.0,12170.1,12188.8,-0.5,130.0,1591973.0,-1,1
2025-08-19,12233.0,12328.0,12233.0,12250.0,2.08,170.0,2085490.0,1,1
2025-08-18,12200.0,12399.0,12000.0,12000.0,-1.34,355.0,4286780.0,-1,1
2025-08-17,12300.0,12494.0,12000.0,12162.52,-3.04,1180.0,14286534.3,-1,1
2025-08-14,12563.75,12649.0,12410.0,12543.29,-0.16,209.0,2618601.0,-1,1
2025-08-13,12500.0,12590.0,12500.0,12563.75,-0.29,105.0,1318100.0,-1,1
2025-08-12,12500.0,12600.0,12405.0,12600.0,0.42,140.0,1752080.0,1,1
2025-08-11,12779.0,12780.0,12540.0,12546.7,0.13,211.0,2659418.0,1,1
2025-08-07,12740.0,12740.0,12510.0,12530.1,-0.95,60.0,756401.0,-1,1
2025-08-06,12560.0,12680.0,12560.0,12650.0,0.5,80.0,1010080.0,1,1
2025-08-05,12690.0,12780.0,12561.0,12587.37,-0.89,185.0,2333840.0,-1,1
2025-08-04,12700.0,12740.0,12500.0,12700.25,-0.08,323.0,4071290.0,-1,1
2025-08-03,12750.0,12784.0,12680.1,12710.05,-0.31,180.0,2289081.0,-1,1
2025-07-31,12832.0,12861.0,12701.0,12750.0,-1.09,272.0,3472930.0,-1,1
2025-07-30,12900.0,13085.0,12840.0,12890.5,-0.07,383.0,4962941.0,-1,1
2025-07-29,13096.0,13159.0,12899.0,12899.5,-0.76,437.0,5704249.0,-1,1
2025-07-28,12940.0,13050.0,12615.0,12724.44,-1.74,665.0,8461753.0,-1,1
2025-07-27,13100.0,13205.0,12900.0,12950.0,-0.03,479.0,6235400.0,-1,1
2025-07-24,13100.0,13100.0,12950.0,12953.4,-1.31,225.0,2924929.0,-1,1
2025-07-23,13200.0,13200.0,12889.0,13125.0,-0.07,220.0,2871460.0,-1,1
2025-07-22,13050.0,13198.9,12800.0,13133.58,2.61,720.0,9407597.0,1,1
2025-07-21,12855.5,12949.0,12700.0,12800.0,-0.43,193.0,2469000.4,-1,1
2025-07-20,13100.0,13100.0,12800.0,12855.5,-0.12,639.0,8293587.0,-1,1
2025-07-17,12900.0,12900.0,12735.0,12871.57,0.56,291.0,3734583.0,1,1
2025-07-16,12790.0,12880.0,12400.9,12800.0,1.19,219.0,2766032.6,1,1
2025-07-15,12599.9,12650.0,12595.0,12650.0,1.16,100.0,1260818.0,1,1
2025-07-14,12749.0,12790.0,12505.0,12505.0,-0.6,220.0,2786699.0,-1,1
2025-07-13,12829.0,12830.0,12580.0,12580.0,-0.06,250.0,3165034.5,-1,1
2025-07-10,12629.7,12629.7,12506.0,12587.5,1.51,211.0,2654946.0,1,1
2025-07-09,12337.0,12400.0,12337.0,12400.0,0.56,40.0,495370.0,1,1
2025-07-08,12320.0,12331.1,12320.0,12331.1,-0.56,20.0,246511.0,-1,1
2025-07-07,12600.0,12630.0,12400.0,12401.0,-1.44,292.0,3651504.0,-1,1
2025-07-06,12470.0,12622.9,12470.0,12582.5,1.16,385.0,4825024.6,1,1
2025-07-03,12400.0,12439.9,12260.0,12438.22,0.31,240.0,2964640.0,1,1
2025-07-02,12260.3,12400.0,12260.3,12400.0,1.14,185.0,2280721.0,1,1
2025-07-01,12289.8,12469.6,12050.0,12260.3,-0.24,180.0,2207663.0,-1,1
2025-06-30,12449.0,12454.0,12050.0,12289.8,0.65,743.0,9071218.0,1,1
2025-06-29,12210.0,12440.0,12202.5,12210.3,-0.68,110.0,1352558.0,-1,1
2025-06-26,12301.2,12400.0,12290.0,12294.24,-0.59,434.0,5340646.0,-1,1
2025-06-25,12549.0,12700.0,12328.4,12366.66,0.49,361.0,4481979.6,1,1
2025-06-24,12310.0,12495.0,12300.0,12306.75,-0.08,152.0,1872671.0,-1,1
2025-06-23,12325.0,12325.0,12315.1,12316.8,-0.07,71.0,874502.0,-1,1
2025-06-22,12350.0,12350.0,12260.0,12325.0,-1.28,190.0,2336431.0,-1,1
2025-06-19,12460.0,12501.0,12460.0,12485.0,0.06,60.0,748300.0,1,1
2025-06-18,12500.5,12500.5,12450.0,12478.0,-1.72,90.0,1122808.0,-1,1
2025-06-17,12518.0,12699.0,12518.0,12696.84,1.44,194.0,2451901.0,1,1
2025-06-16,12700.0,12700.0,12452.2,12517.1,-0.6,113.0,1430319.0,-1,1
2025-06-15,12401.1,12619.9,12400.0,12593.0,0.41,155.0,1936955.0,1,1
2025-06-12,12699.0,12750.0,12390.0,12542.0,0.74,299.0,3747950.0,1,1
2025-06-11,12458.9,12458.9,12450.0,12450.0,-0.07,26.0,322889.0,-1,1
2025-06-10,12658.0,12691.0,12438.2,12458.9,0.39,110.0,1385319.0,1,1
2025-06-09,12694.0,12694.0,12410.0,12410.0,-0.88,175.0,2187850.0,-1,1
2025-06-08,12590.0,12590.0,12501.0,12520.0,-1.01,60.0,751350.0,-1,1
2025-06-05,12301.0,12648.0,12301.0,12648.0,1.25,140.0,1747700.0,1,1
2025-06-04,12580.0,12668.0,12490.0,12491.5,-0.47,255.0,3193465.0,-1,1
2025-06-03,12770.0,12770.0,12550.0,12550.42,-0.67,90.0,1131732.0,-1,2
2025-06-02,12760.0,12780.0,12500.0,12635.5,0.28,280.0,3526380.0,1,1
2025-05-28,12500.0,12600.0,12500.0,12600.0,-0.17,60.0,753050.0,-1,1
2025-05-27,12600.0,12645.0,12600.0,12622.0,-0.2,60.0,756890.0,-1,2
2025-05-26,12425.0,12679.8,12425.0,12647.9,0.7,266.0,3337600.0,1,1
2025-05-25,12700.0,12700.0,12560.0,12560.0,0.07,60.0,756850.0,1,2
2025-05-22,12500.0,12700.0,12500.0,12550.98,-0.52,151.0,1896076.0,-1,3
2025-05-21,12830.0,12834.6,12611.0,12616.0,0.26,150.0,1902561.0,1,4
2025-05-20,12500.0,12649.0,12500.0,12583.0,1.07,60.0,753980.0,1,5
2025-05-19,12467.06,12699.7,12450.0,12450.0,-0.14,116.0,1452019.1,-1,6
2025-05-18,12810.0,12810.0,12305.0,12467.06,-0.74,318.0,3951937.0,-1,7
2025-05-15,12650.0,12650.0,12560.0,12560.0,-1.1,56.0,704500.0,-1,8
2025-05-14,12751.6,12751.6,12650.0,12700.0,1.58,40.0,508532.0,1,9
2025-05-13,12693.0,12900.0,12502.0,12502.0,-1.5,157.0,1985993.0,-1,10
2025-05-11,12800.0,12829.0,12610.0,12693.0,0.89,250.0,3174140.0,1,11
2025-05-08,13000.0,13000.0,12510.0,12580.71,-1.33,491.0,6201915.0,-1,12
2025-05-07,12713.5,12751.0,12713.5,12750.16,0.29,70.0,892145.0,1,13
2025-05-06,12850.0,12850.0,12713.0,12713.5,0.9,90.0,1146540.0,1,14
2025-05-05,12603.0,12821.6,12570.2,12600.0,-1.77,220.0,2786634.0,-1,15
2025-05-04,12680.0,12880.0,12680.0,12826.66,0.77,90.0,1154080.0,1,16
2025-04-30,12737.0,12827.0,12700.0,12729.2,-0.06,205.0,2608910.0,-1,17
2025-04-29,12913.0,12913.0,12652.0,12737.11,-2.77,396.0,5069993.0,-1,18
2025-04-28,12920.0,13100.0,12920.0,13100.0,1.79,30.0,391200.0,1,19
2025-04-27,12900.0,13000.0,12870.0,12870.0,-0.16,57.0,735870.0,-1,20
2025-04-24,13000.0,13000.0,12890.0,12890.05,-0.54,202.0,2611241.0,-1,21
2025-04-23,12970.0,13099.0,12950.0,12960.0,0.0,163.0,2119319.0,0,22
2025-04-22,13000.0,13250.0,12857.7,12960.0,-0.35,204.0,2654836.0,-1,23
2025-04-21,13021.1,13021.1,13001.0,13005.5,-0.28,275.0,3578044.5,-1,24
2025-04-20,13299.0,13299.0,13041.5,13041.5,-0.79,74.0,970346.0,-1,25
2025-04-17,13113.0,13150.0,13100.0,13145.4,0.25,120.0,1575700.0,1,26
2025-04-16,13012.0,13114.0,13011.0,13113.0,-1.0,75.0,981465.0,-1,27
2025-04-15,13349.0,13349.0,13000.0,13246.0,0.95,110.0,1443922.0,1,28
2025-04-13,13214.0,13214.0,13110.0,13121.0,-0.7,30.0,394450.0,-1,29
2025-04-10,13425.0,13425.0,13200.0,13213.33,0.1,120.0,1593920.0,1,30
2025-04-09,13350.0,13550.0,13200.0,13200.0,0.49,330.0,4401719.0,1,31
2025-04-08,13200.0,13200.0,12900.0,13135.0,0.42,80.0,1046450.0,1,32
2025-04-07,13250.0,13250.0,12985.0,13080.0,-0.19,210.0,2736350.0,-1,33
2025-04-03,13260.0,13260.0,13105.0,13105.5,0.01,85.0,1120770.0,1,34
2025-04-02,13216.0,13340.0,13101.0,13104.0,-0.84,125.0,1651209.0,-1,35
2025-04-01,13188.0,13290.0,13100.0,13215.5,0.21,80.0,1054710.0,1,36
2025-03-30,13199.0,13400.0,13150.0,13187.5,0.82,280.0,3711155.0,1,37
