published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-06-28,235.00,247.00,227.00,228.00,0.00,25342.00,5934091.00,0,1
2012-06-27,226.00,235.00,225.00,235.00,0.00,1620.00,373960.00,0,2
2012-06-26,240.00,236.00,226.00,226.00,0.00,2477.00,564337.00,0,3
2012-06-25,224.00,240.00,225.00,240.00,0.00,3320.00,770430.00,0,4
2012-06-21,224.00,228.00,224.00,224.00,0.00,1734.00,391085.00,0,5
2012-06-20,220.00,232.00,222.00,224.00,0.00,685.00,156070.00,0,6
2012-06-19,220.00,222.00,218.00,220.00,0.00,632.00,138949.00,0,7
2012-06-18,220.00,226.00,216.00,220.00,0.00,8245.00,1806495.00,0,8
2012-06-17,229.00,227.00,220.00,220.00,0.00,2469.00,549225.00,0,9
2012-06-14,227.00,229.00,223.00,229.00,0.00,1790.00,406965.00,0,10
2012-06-13,230.00,231.00,223.00,227.00,0.00,2610.00,593240.00,0,11
2012-06-12,226.00,233.00,225.00,230.00,0.00,3170.00,728360.00,0,12
2012-06-11,221.00,232.00,221.00,226.00,0.00,7410.00,1667795.00,0,13
2012-06-10,237.00,241.00,221.00,221.00,0.00,3146.00,734906.00,0,14
2012-06-07,225.00,245.00,221.00,237.00,0.00,19324.00,4601156.00,0,15
2012-06-06,231.00,230.00,224.00,225.00,0.00,3260.00,738690.00,0,16
2012-06-05,242.00,239.00,226.00,231.00,0.00,4997.00,1156569.00,0,17
2012-06-04,251.00,256.00,235.00,242.00,0.00,5634.00,1353163.00,0,18
2012-06-03,229.00,251.00,233.00,251.00,0.00,9094.00,2277580.00,0,19
2012-05-31,223.00,234.00,211.00,229.00,0.00,11726.00,2632514.00,0,20
2012-05-30,243.00,239.00,223.00,223.00,0.00,65.00,14975.00,0,21
2012-05-29,270.00,265.00,243.00,243.00,0.00,265.00,65275.00,0,22
2012-05-27,258.00,283.00,253.00,270.00,0.00,8644.00,2338026.00,0,23
2012-05-24,240.00,260.00,225.00,258.00,0.00,9287.00,2317861.00,0,24
2012-05-23,255.00,250.00,230.00,240.00,0.00,5980.00,1408129.00,0,25
2012-05-22,274.00,270.00,255.00,255.00,0.00,9408.00,2440143.00,0,26
2012-05-21,265.00,274.00,260.00,274.00,0.00,11687.00,3131925.00,0,27
2012-05-20,286.00,281.00,259.00,265.00,0.00,11449.00,3038679.00,0,28
2012-05-17,276.00,301.00,270.00,286.00,0.00,24989.00,6998699.00,0,29
2012-05-16,251.00,276.00,256.00,276.00,0.00,100.00,26950.00,0,30
2012-05-15,229.00,251.00,233.00,251.00,0.00,2515.00,611865.00,0,31
2012-05-14,254.00,249.00,229.00,229.00,0.00,6950.00,1594890.00,0,32
2012-05-13,275.00,270.00,248.00,254.00,0.00,6572.00,1658620.00,0,33
2012-05-10,277.00,286.00,257.00,275.00,0.00,14531.00,3990751.00,0,34
2012-05-09,294.00,294.00,275.00,277.00,0.00,19078.00,5374631.00,0,35
2012-05-08,263.00,294.00,268.00,294.00,0.00,20983.00,6056423.00,0,36
2012-05-03,241.00,263.00,253.00,263.00,0.00,1720.00,446360.00,0,37
2012-05-02,267.00,262.00,241.00,241.00,0.00,11967.00,2891869.00,0,38
2012-04-30,283.00,278.00,258.00,267.00,0.00,19966.00,5272587.00,0,39
2012-04-29,275.00,290.00,255.00,283.00,0.00,13575.00,3758578.00,0,40
2012-04-26,250.00,275.00,240.00,275.00,0.00,44060.00,11335809.00,0,41
2012-04-25,234.00,255.00,238.00,250.00,0.00,2400.00,594850.00,0,42
2012-04-24,230.00,234.00,234.00,234.00,0.00,20.00,4680.00,0,43
2012-04-22,211.00,232.00,215.00,230.00,0.00,14233.00,3195499.00,0,44
2012-04-19,207.00,220.00,203.00,211.00,0.00,10533.00,2208667.00,0,45
2012-04-18,190.00,209.00,180.00,207.00,0.00,8829.00,1717189.00,0,46
2012-04-17,201.00,221.00,189.00,190.00,0.00,12037.00,2518290.00,0,47
2012-04-15,183.00,201.00,186.00,201.00,0.00,5893.00,1157719.00,0,48
2012-04-12,168.00,183.00,170.00,183.00,0.00,9804.00,1736371.00,0,49
2012-04-11,166.00,175.00,164.00,168.00,0.00,7637.00,1281274.00,0,50
2012-04-10,162.00,167.00,162.00,166.00,0.00,1873.00,306357.00,0,51
2012-04-09,162.00,164.00,159.00,162.00,0.00,1764.00,285481.00,0,52
2012-04-08,161.00,163.00,160.00,162.00,0.00,1230.00,197220.00,0,53
2012-04-05,160.00,161.00,157.00,161.00,0.00,1084.00,171790.00,0,54
2012-04-04,165.00,168.00,159.00,160.00,0.00,1011.00,163877.00,0,55
2012-04-03,162.00,165.00,156.00,165.00,0.00,1993.00,321530.00,0,56
2012-04-02,157.00,162.00,155.00,162.00,0.00,3309.00,527181.00,0,57
2012-04-01,154.00,158.00,151.00,157.00,0.00,5465.00,833645.00,0,58
2012-03-29,155.00,154.00,153.00,154.00,0.00,1670.00,256240.00,0,59
2012-03-28,155.00,158.00,155.00,155.00,0.00,555.00,86975.00,0,60
2012-03-27,157.00,157.00,154.00,155.00,0.00,490.00,76110.00,0,61
2012-03-26,154.00,157.00,153.00,157.00,0.00,948.00,145928.00,0,62
2012-03-25,155.00,157.00,153.00,154.00,0.00,1199.00,185631.00,0,63
2012-03-21,156.00,155.00,154.00,155.00,0.00,200.00,30850.00,0,64
2012-03-20,155.00,158.00,155.00,156.00,0.00,1275.00,197975.00,0,65
2012-03-19,154.00,156.00,155.00,155.00,0.00,625.00,97200.00,0,66
2012-03-18,156.00,156.00,153.00,154.00,0.00,1630.00,252190.00,0,67
2012-03-15,160.00,158.00,153.00,156.00,0.00,465.00,72380.00,0,68
2012-03-14,161.00,160.00,159.00,160.00,0.00,160.00,25540.00,0,69
2012-03-13,158.00,161.00,156.00,161.00,0.00,960.00,151980.00,0,70
2012-03-12,160.00,160.00,155.00,158.00,0.00,1290.00,201795.00,0,71
2012-03-11,160.00,162.00,154.00,160.00,0.00,715.00,113115.00,0,72
2012-03-06,161.00,166.00,159.00,160.00,0.00,1652.00,266788.00,0,73
2012-03-05,152.00,162.00,155.00,161.00,0.00,47351.00,7351240.00,0,74
2012-03-04,158.00,155.00,152.00,152.00,0.00,90000.00,13815000.00,0,75
2012-03-01,160.00,159.00,155.00,158.00,0.00,695.00,109370.00,0,76
2012-02-29,158.00,161.00,158.00,160.00,0.00,3460.00,551280.00,0,77
2012-02-28,156.00,158.00,153.00,158.00,0.00,1300.00,203115.00,0,78
2012-02-27,156.00,156.00,154.00,156.00,0.00,620.00,95550.00,0,79
2012-02-26,155.00,156.00,155.00,156.00,0.00,774.00,120334.00,0,80
2012-02-23,150.00,155.00,151.00,155.00,0.00,3670.00,557350.00,0,81
2012-02-21,154.00,155.00,150.00,150.00,0.00,1951.00,298911.00,0,82
2012-02-16,153.00,154.00,151.00,154.00,0.00,1032.00,157331.00,0,83
2012-02-15,153.00,153.00,151.00,153.00,0.00,825.00,125405.00,0,84
2012-02-14,154.00,154.00,152.00,153.00,0.00,3710.00,566610.00,0,85
2012-02-13,155.00,156.00,154.00,154.00,0.00,1817.00,281112.00,0,86
2012-02-12,155.00,155.00,155.00,155.00,0.00,140.00,21700.00,0,87
2012-02-09,157.00,160.00,153.00,155.00,0.00,2872.00,446910.00,0,88
2012-02-08,156.00,160.00,152.00,157.00,0.00,723.00,113325.00,0,89
