published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-01-08,211.00,213.00,207.00,207.30,0.05,76723.00,16052311.00,1,1
2023-01-05,212.00,215.50,207.00,207.20,-0.43,55481.00,11638527.50,-1,2
2023-01-04,209.00,212.00,205.00,208.10,1.46,21828.00,4530679.50,1,3
2023-01-03,207.00,214.00,205.10,205.10,-0.92,31356.00,6501815.20,-1,4
2023-01-02,208.00,212.00,207.00,207.00,-0.91,30558.00,6371721.30,-1,5
2023-01-01,211.60,213.00,208.60,208.90,-0.57,32432.00,6846459.50,-1,6
2022-12-29,210.00,212.00,205.00,210.10,1.01,23346.00,4892256.30,1,7
2022-12-28,211.00,214.00,205.90,208.00,-1.14,11860.00,2483281.00,-1,8
2022-12-27,208.00,216.00,208.00,210.40,2.63,23245.00,4952310.80,1,9
2022-12-26,200.90,207.00,197.10,205.00,4.06,25638.00,5182172.20,1,10
2022-12-22,198.00,200.00,196.20,197.00,-1.01,9710.00,1913764.60,-1,11
2022-12-21,200.00,202.00,198.00,199.00,0.00,6022.00,1201670.30,0,12
2022-12-20,197.60,205.00,195.20,199.00,0.71,12000.00,2402075.90,1,13
2022-12-19,198.00,204.00,196.00,197.60,-0.75,10764.00,2130409.20,-1,14
2022-12-18,203.00,203.00,199.00,199.10,-1.92,19480.00,3911643.40,-1,15
2022-12-15,202.00,207.00,202.00,203.00,-1.22,18575.00,3775751.10,-1,16
2022-12-14,204.00,207.90,202.00,205.50,-0.24,12243.00,2509919.80,-1,17
2022-12-13,208.00,213.00,205.10,206.00,-0.96,14328.00,2966104.00,-1,18
2022-12-12,206.00,212.00,204.00,208.00,-0.81,17181.00,3573818.40,-1,19
2022-12-11,216.60,216.60,209.40,209.70,-3.27,25076.00,5328361.50,-1,20
2022-12-07,218.00,224.00,214.20,216.80,-4.54,47106.00,10285900.20,-1,21
2022-06-15,227.00,231.00,226.00,227.10,-1.26,227130.00,51695661.00,-1,22
2022-06-14,231.50,233.00,228.60,230.00,-2.54,29876.00,6886417.00,-1,23
2022-06-13,240.20,240.20,229.00,236.00,0.21,201818.00,46914713.30,1,24
2022-06-10,228.50,235.90,225.00,235.50,1.07,35945.00,8329188.90,1,25
2022-06-09,230.00,233.00,228.00,233.00,2.19,30899.00,7099325.90,1,26
2022-06-08,215.20,229.00,215.00,228.00,5.80,120056.00,26079330.20,1,27
2022-06-07,218.10,223.00,215.00,215.50,-2.93,39909.00,8662959.90,-1,28
2022-06-06,226.10,227.00,219.30,222.00,-2.16,24444.00,5464668.60,-1,29
2022-06-03,227.00,228.00,221.00,226.90,-0.04,23285.00,5203695.50,-1,30
2022-06-02,231.00,231.00,225.50,227.00,-0.44,8471.00,1922470.00,-1,31
2022-06-01,228.50,232.00,225.40,228.00,-0.87,17781.00,4040427.80,-1,32
2022-05-31,230.00,232.00,228.00,230.00,-1.33,15009.00,3434601.40,-1,33
2022-05-30,233.40,236.00,232.00,233.10,-2.06,15122.00,3535891.40,-1,34
2022-05-27,239.90,244.60,231.30,238.00,0.85,22343.00,5290130.20,1,35
2022-05-26,238.00,238.00,232.00,236.00,0.85,8012.00,1879782.30,1,36
2022-05-25,235.00,235.00,232.20,234.00,0.43,6950.00,1624268.70,1,37
2022-05-24,229.00,237.60,229.00,233.00,0.00,15443.00,3607047.20,0,38
2022-05-23,232.50,236.00,227.90,233.00,-0.85,44397.00,10202427.20,-1,39
