published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-12-22,289.00,293.00,285.00,285.00,0.00,772.00,223361.00,0,1
2014-12-21,300.00,294.00,289.00,289.00,0.00,1049.00,305710.00,0,2
2014-12-18,297.00,301.00,295.00,300.00,0.00,552.00,164576.00,0,3
2014-12-17,295.00,300.00,297.00,297.00,0.00,317.00,94986.00,0,4
2014-12-16,292.00,295.00,290.00,295.00,0.00,346.00,101695.00,0,5
2014-12-15,303.00,315.00,292.00,292.00,0.00,468.00,144997.00,0,6
2014-12-14,290.00,303.00,295.00,303.00,0.00,5996.00,1799000.00,0,7
2014-12-11,287.00,292.00,287.00,290.00,0.00,825.00,239580.00,0,8
2014-12-10,287.00,291.00,286.00,287.00,0.00,257.00,74466.00,0,9
2014-12-09,287.00,290.00,285.00,287.00,0.00,1830.00,525374.00,0,10
2014-12-08,289.00,291.00,287.00,287.00,0.00,940.00,273242.00,0,11
2014-12-07,290.00,290.00,279.00,289.00,0.00,289.00,82255.00,0,12
2014-12-04,294.00,290.00,285.00,290.00,0.00,599.00,173010.00,0,13
2014-12-03,280.00,299.00,285.00,294.00,0.00,1399.00,406427.00,0,14
2014-12-02,290.00,295.00,280.00,280.00,0.00,2908.00,839560.00,0,15
2014-12-01,291.00,290.00,287.00,290.00,0.00,241.00,69755.00,0,16
2014-11-30,283.00,291.00,281.00,291.00,0.00,198.00,56403.00,0,17
2014-11-25,281.00,283.00,277.00,283.00,0.00,650.00,181962.00,0,18
2014-11-24,291.00,287.00,281.00,281.00,0.00,134.00,38061.00,0,19
2014-11-23,298.00,300.00,289.00,291.00,0.00,1516.00,440114.00,0,20
2014-11-20,300.00,303.00,298.00,298.00,0.00,2216.00,665528.00,0,21
2014-11-19,290.00,306.00,290.00,300.00,0.00,6612.00,1976082.00,0,22
2014-11-18,290.00,290.00,275.00,290.00,0.00,3964.00,1116860.00,0,23
2014-11-17,300.00,303.00,290.00,290.00,0.00,6489.00,1917370.00,0,24
2014-11-16,303.00,301.00,299.00,300.00,0.00,6087.00,1825835.00,0,25
2014-11-13,305.00,304.00,298.00,303.00,0.00,5486.00,1662400.00,0,26
2014-11-12,286.00,305.00,291.00,305.00,0.00,8336.00,2507909.00,0,27
2014-11-11,288.00,292.00,283.00,286.00,0.00,524.00,151966.00,0,28
2014-11-10,303.00,297.00,287.00,288.00,0.00,1213.00,352869.00,0,29
2014-11-09,299.00,304.00,290.00,303.00,0.00,4563.00,1366052.00,0,30
2014-11-06,304.00,310.00,299.00,299.00,0.00,4841.00,1466710.00,0,31
2014-11-05,289.00,304.00,290.00,304.00,0.00,4084.00,1225402.00,0,32
2014-11-04,295.00,290.00,284.00,289.00,0.00,2658.00,761497.00,0,33
2014-11-03,288.00,295.00,289.00,295.00,0.00,11380.00,3304458.00,0,34
2014-11-02,281.00,295.00,285.00,288.00,0.00,5216.00,1510734.00,0,35
2014-10-30,282.00,281.00,277.00,281.00,0.00,267.00,74691.00,0,36
2014-10-28,273.00,282.00,275.00,282.00,0.00,1053.00,291842.00,0,37
2014-10-27,278.00,273.00,268.00,273.00,0.00,68.00,18379.00,0,38
2014-10-26,283.00,283.00,278.00,278.00,0.00,141.00,39723.00,0,39
2014-10-22,275.00,285.00,270.00,283.00,0.00,1815.00,509712.00,0,40
2014-10-21,285.00,280.00,270.00,275.00,0.00,893.00,246680.00,0,41
2014-10-16,280.00,295.00,285.00,285.00,0.00,301.00,86870.00,0,42
2014-10-15,269.00,280.00,270.00,280.00,0.00,875.00,241276.00,0,43
2014-10-14,270.00,271.00,266.00,269.00,0.00,2267.00,611081.00,0,44
2014-10-13,276.00,271.00,261.00,270.00,0.00,729.00,193592.00,0,45
2014-10-12,281.00,276.00,276.00,276.00,0.00,100.00,27600.00,0,46
2014-10-09,285.00,281.00,276.00,281.00,0.00,560.00,157090.00,0,47
2014-10-08,289.00,285.00,284.00,285.00,0.00,330.00,93757.00,0,48
2014-09-30,292.00,300.00,289.00,289.00,0.00,899.00,264535.00,0,49
2014-09-29,275.00,295.00,270.00,292.00,0.00,1202.00,344225.00,0,50
2014-09-28,284.00,280.00,271.00,275.00,0.00,304.00,83104.00,0,51
2014-09-24,270.00,284.00,268.00,284.00,0.00,1652.00,454207.00,0,52
2014-09-23,269.00,275.00,264.00,270.00,0.00,1022.00,276103.00,0,53
2014-09-22,268.00,269.00,264.00,269.00,0.00,681.00,181001.00,0,54
