published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-01-07,257.00,269.00,269.00,269.00,0.00,540.00,145260.00,0,1
2016-01-06,234.00,257.00,238.00,257.00,0.00,2250.00,566820.00,0,2
2015-11-18,264.00,264.00,259.00,264.00,0.00,27927.00,7239953.00,0,3
2015-11-16,260.00,264.00,256.00,264.00,0.00,125649.00,32535080.00,0,4
2015-11-15,255.00,270.00,260.00,260.00,0.00,2600.00,683300.00,0,5
2015-11-10,256.00,255.00,255.00,255.00,0.00,364.00,92820.00,0,6
2015-11-09,254.00,259.00,254.00,256.00,0.00,2939.00,751142.00,0,7
2015-11-08,255.00,255.00,253.00,254.00,0.00,4000.00,1016000.00,0,8
2015-11-05,250.00,255.00,252.00,255.00,0.00,1049.00,265830.00,0,9
2015-11-04,257.00,252.00,250.00,250.00,0.00,6635.00,1659254.00,0,10
2015-11-03,267.00,262.00,257.00,257.00,0.00,1638.00,425164.00,0,11
2015-10-27,277.00,272.00,267.00,267.00,0.00,93.00,25046.00,0,12
2015-10-19,272.00,277.00,277.00,277.00,0.00,500.00,138500.00,0,13
2015-10-18,277.00,273.00,272.00,272.00,0.00,244.00,66407.00,0,14
2015-10-15,272.00,280.00,272.00,277.00,0.00,18049.00,4980262.00,0,15
2015-10-14,273.00,272.00,268.00,272.00,0.00,835.00,224900.00,0,16
2015-10-11,275.00,280.00,270.00,273.00,0.00,10103.00,2771998.00,0,17
2015-10-08,260.00,280.00,260.00,275.00,0.00,4897.00,1316093.00,0,18
2015-10-07,259.00,260.00,256.00,260.00,0.00,1397.00,361980.00,0,19
2015-10-06,264.00,261.00,259.00,259.00,0.00,4000.00,1037000.00,0,20
2015-10-05,260.00,264.00,263.00,264.00,0.00,1293.00,341059.00,0,21
2015-10-04,265.00,260.00,260.00,260.00,0.00,576.00,149760.00,0,22
2015-10-01,274.00,270.00,264.00,265.00,0.00,1408.00,374202.00,0,23
2015-09-30,279.00,280.00,274.00,274.00,0.00,1000.00,277300.00,0,24
2015-09-28,280.00,279.00,279.00,279.00,0.00,210.00,58590.00,0,25
2015-09-24,279.00,280.00,274.00,280.00,0.00,4725.00,1314356.00,0,26
2015-09-23,280.00,290.00,279.00,279.00,0.00,10843.00,3088455.00,0,27
2015-09-22,280.00,280.00,275.00,280.00,0.00,812.00,226360.00,0,28
2015-09-17,280.00,280.00,275.00,280.00,0.00,2258.00,621215.00,0,29
2015-09-16,286.00,296.00,280.00,280.00,0.00,17694.00,5049510.00,0,30
2015-09-15,260.00,286.00,265.00,286.00,0.00,25516.00,7119202.00,0,31
2015-09-14,265.00,270.00,260.00,260.00,0.00,4147.00,1092974.00,0,32
2015-09-09,263.00,270.00,265.00,265.00,0.00,2081.00,554660.00,0,33
2015-09-08,270.00,275.00,263.00,263.00,0.00,1302.00,351940.00,0,34
2015-09-06,265.00,270.00,270.00,270.00,0.00,327.00,88290.00,0,35
2015-09-03,270.00,265.00,265.00,265.00,0.00,715.00,189475.00,0,36
2015-09-02,288.00,283.00,270.00,270.00,0.00,2551.00,704423.00,0,37
2015-08-27,286.00,288.00,288.00,288.00,0.00,200.00,57600.00,0,38
2015-08-26,281.00,290.00,286.00,286.00,0.00,1450.00,418700.00,0,39
2015-08-24,276.00,285.00,279.00,281.00,0.00,26664.00,7476920.00,0,40
2015-08-23,280.00,280.00,272.00,276.00,0.00,2504.00,688200.00,0,41
2015-08-20,279.00,285.00,275.00,280.00,0.00,2860.00,798198.00,0,42
2015-08-19,271.00,279.00,271.00,279.00,0.00,6044.00,1657428.00,0,43
2015-08-18,254.00,274.00,259.00,271.00,0.00,1200.00,323460.00,0,44
2015-08-17,231.00,254.00,235.00,254.00,0.00,1393.00,349281.00,0,45
2015-08-16,225.00,235.00,225.00,231.00,0.00,25453.00,5947024.00,0,46
2015-08-13,217.00,225.00,216.00,225.00,0.00,13422.00,2965464.00,0,47
2015-08-12,222.00,222.00,215.00,217.00,0.00,9453.00,2068453.00,0,48
2015-08-11,229.00,229.00,222.00,222.00,0.00,1263.00,283868.00,0,49
2015-08-10,228.00,229.00,229.00,229.00,0.00,200.00,45800.00,0,50
2015-08-09,232.00,240.00,228.00,228.00,0.00,712.00,165936.00,0,51
2015-08-06,226.00,232.00,224.00,232.00,0.00,14460.00,3277979.00,0,52
2015-08-05,232.00,232.00,226.00,226.00,0.00,2906.00,668239.00,0,53
2015-08-04,234.00,235.00,230.00,232.00,0.00,5507.00,1278538.00,0,54
2015-08-03,229.00,234.00,226.00,234.00,0.00,2540.00,584686.00,0,55
2015-08-02,226.00,229.00,225.00,229.00,0.00,771.00,174693.00,0,56
2015-07-30,222.00,230.00,222.00,226.00,0.00,6387.00,1433903.00,0,57
2015-07-29,226.00,226.00,220.00,222.00,0.00,2658.00,589954.00,0,58
2015-07-28,236.00,232.00,221.00,226.00,0.00,1319.00,297198.00,0,59
2015-07-27,239.00,251.00,230.00,236.00,0.00,9665.00,2338449.00,0,60
2015-07-26,231.00,239.00,233.00,239.00,0.00,198018.00,46260792.00,0,61
2015-07-23,219.00,232.00,220.00,231.00,0.00,7107.00,1591551.00,0,62
2015-07-22,205.00,219.00,208.00,219.00,0.00,5629.00,1199132.00,0,63
2015-07-16,205.00,206.00,205.00,205.00,0.00,1050.00,215545.00,0,64
2015-07-15,201.00,205.00,200.00,205.00,0.00,824.00,165035.00,0,65
2015-07-14,202.00,201.00,198.00,201.00,0.00,550.00,108960.00,0,66
2015-07-13,200.00,203.00,199.00,202.00,0.00,565.00,112834.00,0,67
2015-07-12,200.00,200.00,198.00,200.00,0.00,199.00,39574.00,0,68
2015-07-09,201.00,200.00,200.00,200.00,0.00,441.00,88200.00,0,69
2015-07-08,201.00,205.00,200.00,201.00,0.00,3171.00,636049.00,0,70
2015-07-07,200.00,204.00,197.00,201.00,0.00,1055.00,208802.00,0,71
2015-07-06,197.00,200.00,200.00,200.00,0.00,768.00,153600.00,0,72
2015-07-05,199.00,197.00,196.00,197.00,0.00,461.00,90717.00,0,73
2015-07-02,200.00,200.00,199.00,199.00,0.00,227.00,45200.00,0,74
2015-07-01,200.00,200.00,200.00,200.00,0.00,77.00,15400.00,0,75
2015-06-30,203.00,200.00,200.00,200.00,0.00,365.00,73000.00,0,76
2015-06-29,198.00,205.00,201.00,203.00,0.00,556.00,113330.00,0,77
2015-06-28,198.00,198.00,195.00,198.00,0.00,527.00,102825.00,0,78
2015-06-25,197.00,200.00,195.00,198.00,0.00,1977.00,392250.00,0,79
2015-06-23,198.00,198.00,195.00,197.00,0.00,462.00,90335.00,0,80
2015-06-22,200.00,198.00,195.00,198.00,0.00,1987.00,390426.00,0,81
2015-06-18,198.00,200.00,198.00,200.00,0.00,1544.00,308401.00,0,82
2015-06-17,198.00,199.00,195.00,198.00,0.00,5913.00,1162947.00,0,83
2015-06-16,201.00,200.00,197.00,198.00,0.00,1622.00,322000.00,0,84
2015-06-15,209.00,209.00,201.00,201.00,0.00,2213.00,452095.00,0,85
2015-06-14,213.00,209.00,209.00,209.00,0.00,100.00,20900.00,0,86
2015-06-09,201.00,215.00,205.00,213.00,0.00,1218.00,259710.00,0,87
2015-06-08,200.00,206.00,201.00,201.00,0.00,2538.00,512555.00,0,88
2015-06-07,209.00,206.00,198.00,200.00,0.00,3579.00,726418.00,0,89
2015-06-04,206.00,209.00,209.00,209.00,0.00,100.00,20900.00,0,90
2015-06-03,205.00,213.00,206.00,206.00,0.00,1141.00,240141.00,0,91
2015-06-02,189.00,207.00,192.00,205.00,0.00,2346.00,474592.00,0,92
2015-06-01,172.00,189.00,175.00,189.00,0.00,550.00,100130.00,0,93
2015-05-31,166.00,172.00,169.00,172.00,0.00,117.00,20064.00,0,94
2015-05-28,163.00,166.00,166.00,166.00,0.00,378.00,62748.00,0,95
2015-05-27,171.00,168.00,162.00,163.00,0.00,1499.00,247057.00,0,96
2015-05-26,189.00,186.00,171.00,171.00,0.00,270.00,48150.00,0,97
2015-05-25,209.00,205.00,189.00,189.00,0.00,453.00,87793.00,0,98
2015-04-23,205.00,209.00,209.00,209.00,0.00,49.00,10241.00,0,99
2015-04-22,202.00,205.00,205.00,205.00,0.00,305.00,62525.00,0,100
2015-04-20,205.00,204.00,200.00,202.00,0.00,8998.00,1809154.00,0,101
2015-04-19,206.00,206.00,205.00,205.00,0.00,700.00,144000.00,0,102
2015-04-16,210.00,206.00,206.00,206.00,0.00,882.00,181692.00,0,103
2015-04-15,208.00,210.00,208.00,210.00,0.00,3143.00,658030.00,0,104
2015-04-13,211.00,208.00,208.00,208.00,0.00,672.00,139776.00,0,105
2015-04-09,208.00,211.00,208.00,211.00,0.00,2129.00,444238.00,0,106
2015-04-07,210.00,208.00,208.00,208.00,0.00,500.00,104000.00,0,107
2015-04-02,214.00,212.00,210.00,210.00,0.00,923.00,194390.00,0,108
2015-04-01,217.00,214.00,214.00,214.00,0.00,300.00,64200.00,0,109
2015-03-31,209.00,217.00,212.00,217.00,0.00,492.00,104536.00,0,110
2015-03-30,213.00,209.00,209.00,209.00,0.00,1688.00,352792.00,0,111
2015-03-29,213.00,217.00,213.00,213.00,0.00,81.00,17433.00,0,112
2015-03-26,205.00,213.00,205.00,213.00,0.00,155.00,32215.00,0,113
2015-03-25,210.00,206.00,205.00,205.00,0.00,626.00,128456.00,0,114
2015-03-23,220.00,220.00,210.00,210.00,0.00,3786.00,800710.00,0,115
2015-03-18,213.00,221.00,217.00,220.00,0.00,570.00,125390.00,0,116
2015-03-17,219.00,215.00,211.00,213.00,0.00,1859.00,394583.00,0,117
2015-03-16,225.00,223.00,217.00,219.00,0.00,8102.00,1791601.00,0,118
2015-03-15,229.00,225.00,225.00,225.00,0.00,550.00,123750.00,0,119
2015-03-12,229.00,229.00,229.00,229.00,0.00,368.00,84272.00,0,120
2015-03-11,225.00,229.00,228.00,229.00,0.00,2075.00,474600.00,0,121
2015-03-10,232.00,230.00,224.00,225.00,0.00,3264.00,739936.00,0,122
