published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-16,9.12,9.12,8.94,9.11,-0.11,32056.00,292223.16,-1,1
2025-10-15,9.11,9.2,9.11,9.12,0.11,264862.0,2427677.54,1,1
2025-10-14,9.26,9.26,9.1,9.11,0.33,196150.0,1801965.0,1,1
2025-10-13,9.0,9.08,9.0,9.08,1.79,31800.0,288423.0,1,1
2025-10-12,9.1,9.15,8.92,8.92,-1.98,22900.0,208086.0,-1,1
2025-10-09,9.09,9.1,9.09,9.1,-0.55,300.0,2729.0,-1,1
2025-10-08,9.33,9.4,9.15,9.15,-1.93,5970.0,55016.5,-1,1
2025-10-07,9.15,9.33,9.15,9.33,0.0,2485.0,22991.05,0,1
2025-09-28,9.31,9.33,9.15,9.33,0.86,500.0,4641.0,1,1
2025-09-25,9.05,9.25,9.05,9.25,0.54,21079.0,192713.84,1,1
2025-09-24,9.2,9.2,9.02,9.2,0.0,45725.0,413181.05,0,1
2025-09-23,9.23,9.23,9.05,9.2,1.66,21044.0,193573.0,1,1
2025-09-21,9.01,9.15,9.01,9.05,-0.33,58700.0,532842.0,-1,1
2025-09-18,9.08,9.08,9.08,9.08,-0.11,400.0,3632.0,-1,1
2025-09-08,9.1,9.1,9.09,9.09,-1.2,2400.0,21821.0,-1,1
2025-09-07,9.14,9.2,9.1,9.2,0.66,5900.0,53724.0,1,1
2025-09-04,9.0,9.16,9.0,9.14,0.99,36400.0,332903.0,1,1
2025-09-03,9.0,9.18,9.0,9.05,-0.33,38700.0,351613.0,-1,1
2025-09-02,9.06,9.08,9.05,9.08,-1.52,64330.0,582692.4,-1,1
2025-09-01,9.18,9.25,9.0,9.22,2.44,70260.0,645826.1,1,1
2025-08-31,9.07,9.07,9.0,9.0,1.12,38631.0,348681.31,1,1
2025-08-28,10.35,10.35,9.97,10.17,0.2,677300.0,6876186.0,1,1
2025-08-27,10.16,10.16,10.12,10.15,-0.29,101559.0,1030805.85,-1,1
2025-08-26,10.07,10.29,10.07,10.18,0.3,90971.0,930454.14,1,1
2025-08-25,10.1,10.15,10.03,10.15,0.59,537550.0,5424855.5,1,1
2025-08-24,10.08,10.28,10.0,10.09,-0.1,282510.0,2842767.0,-1,1
2025-08-21,9.92,10.15,9.92,10.1,-0.2,149000.0,1506582.0,-1,1
2025-08-20,10.25,10.25,10.1,10.12,0.4,333750.0,3379699.0,1,1
2025-08-19,10.15,10.18,10.07,10.08,-0.79,268360.0,2708392.0,-1,1
2025-08-18,10.3,10.5,10.09,10.16,0.59,270850.0,2753492.9,1,1
2025-08-17,10.08,10.2,10.05,10.1,-0.59,86350.0,875551.3,-1,1
2025-08-14,10.06,10.3,10.06,10.16,0.59,66700.0,674886.0,1,1
2025-08-13,9.96,10.3,9.96,10.1,-0.59,49650.0,507028.0,-1,1
2025-08-12,10.44,10.44,10.07,10.16,-0.78,14950.0,151528.0,-1,1
2025-08-11,10.2,10.31,10.1,10.24,-0.58,26230.0,268482.4,-1,1
2025-08-07,10.11,10.3,10.11,10.3,1.88,5540.0,56891.0,1,1
2025-08-06,10.1,10.11,10.1,10.11,-0.59,1001.0,10113.61,-1,1
2025-08-05,10.16,10.17,10.16,10.17,-1.74,200.0,2033.0,-1,1
2025-08-04,10.56,10.56,10.35,10.35,-1.99,516800.0,5349655.0,-1,1
2025-08-03,10.15,10.58,10.15,10.56,2.33,5655.0,58478.65,1,1
2025-07-31,10.5,10.71,10.3,10.32,0.19,6100.0,64320.0,1,1
2025-07-30,10.5,10.55,10.3,10.3,-1.34,320000.0,3329255.0,-1,1
2025-07-29,10.25,10.45,10.21,10.44,1.46,179180.0,1858272.2,1,1
2025-07-28,10.3,10.3,10.25,10.29,-1.06,1200.0,12355.0,-1,1
2025-07-27,10.24,10.4,10.22,10.4,-0.38,109285.0,1136288.4,-1,1
2025-07-24,10.28,10.45,10.28,10.44,1.56,78750.0,822796.49,1,1
2025-07-23,10.29,10.29,10.15,10.28,-2.0,178900.0,1836660.0,-1,1
2025-07-22,9.9,10.49,9.9,10.49,4.07,16800.0,171657.0,1,1
2025-07-21,10.01,10.2,10.01,10.08,-0.1,500500.0,5105012.0,-1,1
2025-07-20,10.28,10.3,10.01,10.09,-0.1,3107200.0,31407767.0,-1,1
2025-07-17,9.9,10.45,9.9,10.1,0.2,274510.0,2818435.7,1,1
2025-07-16,10.0,10.11,9.99,10.08,-0.2,513900.0,5146033.63,-1,1
2025-07-15,9.94,10.12,9.94,10.1,-0.39,28359.0,284994.19,-1,1
2025-07-14,9.98,10.15,9.98,10.14,-0.39,11500.0,116439.0,-1,1
2025-07-13,9.89,10.19,9.87,10.18,1.19,113000.0,1141640.0,1,1
2025-07-10,9.53,10.14,9.53,10.06,3.71,26800.0,268743.0,1,1
2025-07-09,9.6,9.8,9.6,9.7,0.62,3650.0,35179.0,1,1
2025-07-08,9.63,9.71,9.53,9.64,0.1,6300.0,61050.0,1,1
2025-07-07,9.95,10.24,9.5,9.63,-4.18,127900.0,1248486.0,-1,1
2025-07-06,10.0,10.25,10.0,10.05,-1.18,2710.0,27282.5,-1,1
2025-07-03,9.7,10.17,9.7,10.17,3.14,1200.0,11935.0,1,1
2025-07-02,10.0,10.0,9.85,9.86,-2.38,4200.0,41421.0,-1,1
2025-07-01,10.1,10.11,10.1,10.1,0.5,1500.0,15164.0,1,1
2025-06-30,9.87,10.05,9.86,10.05,0.4,4600.0,45377.0,1,1
2025-06-29,9.8,10.01,9.8,10.01,0.7,19300.0,192948.0,1,1
2025-06-24,9.6,9.94,9.6,9.94,1.95,2100.0,20539.0,1,1
2025-06-23,9.75,9.75,9.75,9.75,-0.51,33075.0,322481.25,-1,1
2025-06-22,9.8,9.8,9.8,9.8,-0.1,7180.0,70364.0,-1,1
2025-06-19,9.81,9.81,9.62,9.81,0.0,10800.0,104648.0,0,1
2025-06-18,9.45,9.82,9.3,9.81,5.83,7850.0,75299.0,1,1
2025-06-17,9.18,9.38,9.18,9.27,-0.86,15770.0,146241.8,-1,1
2025-06-16,9.18,9.35,9.18,9.35,0.0,600.0,5593.0,0,1
2025-06-15,9.31,9.35,9.31,9.35,-1.58,300.0,2797.0,-1,1
2025-06-11,9.5,9.5,9.5,9.5,0.0,500.0,4750.0,0,1
2025-06-10,9.5,9.65,9.5,9.5,0.85,500.0,4765.0,1,1
2025-06-09,9.52,9.52,9.24,9.42,-1.05,8500.0,79460.0,-1,1
2025-06-08,9.71,9.71,9.52,9.52,-2.66,26750.0,257827.0,-1,1
2025-06-05,9.84,9.84,9.75,9.78,-2.59,18300.0,179373.0,-1,1
2025-06-04,9.68,10.04,9.68,10.04,1.93,23350.0,229896.5,1,1
2025-06-03,9.77,10.25,9.77,9.85,-1.1,9550.0,95101.5,-1,2
2025-06-02,9.78,9.96,9.58,9.96,0.0,1500.0,14645.0,0,1
