published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-14,1045.00,1059.00,1040.00,1045.74,-0.20,20458.00,21469285.70,-1,1
2025-08-13,1045.0,1060.0,1039.1,1047.84,0.32,16577.0,17398134.6,1,1
2025-08-12,1051.0,1062.0,1040.0,1044.5,-1.9,37511.0,39454861.3,-1,1
2025-08-11,1077.36,1096.5,1060.5,1064.72,-1.17,51948.0,55690538.9,-1,1
2025-08-07,1079.9,1080.0,1063.0,1077.36,1.21,58697.0,62967768.2,1,1
2025-08-06,1050.1,1073.0,1050.0,1064.48,0.72,37580.0,39989812.4,1,1
2025-08-05,1079.0,1079.0,1050.0,1056.9,-0.12,41467.0,44041083.5,-1,1
2025-08-04,1056.0,1075.0,1030.1,1058.17,1.61,79419.0,83560891.5,1,1
2025-08-03,1080.0,1090.0,1038.0,1041.39,-3.96,96624.0,101845985.1,-1,1
2025-07-31,1101.1,1110.0,1068.0,1084.32,0.44,104855.0,113779472.6,1,1
2025-07-30,1110.0,1112.0,1075.0,1079.58,-3.85,108626.0,118642094.8,-1,1
2025-07-29,1128.0,1132.0,1112.0,1122.78,1.13,99123.0,111233184.5,1,1
2025-07-28,1104.0,1120.0,1080.0,1110.18,-0.76,129499.0,142625022.6,-1,1
2025-07-27,1140.0,1144.8,1110.0,1118.7,-0.51,163707.0,184735444.9,-1,1
2025-07-24,1140.0,1143.0,1110.0,1124.44,0.14,87168.0,97829243.7,1,1
2025-07-23,1130.0,1133.8,1106.2,1122.85,0.01,126003.0,141269799.5,1,1
2025-07-22,1077.4,1137.3,1077.4,1122.73,4.21,184343.0,206839215.9,1,1
2025-07-21,1065.0,1080.0,1045.2,1077.4,1.11,101041.0,107850926.2,1,1
2025-07-20,1071.1,1082.0,1048.0,1065.6,1.47,164392.0,175646518.0,1,1
2025-07-17,1040.0,1053.0,1040.0,1050.15,1.37,103908.0,108711577.8,1,1
2025-07-16,1037.0,1041.0,1025.2,1035.98,1.48,119230.0,123182100.9,1,1
2025-07-15,1001.0,1025.0,998.0,1020.85,1.74,109061.0,110577502.2,1,1
2025-07-14,1019.0,1019.0,997.0,1003.44,-0.87,126042.0,126257038.3,-1,1
