published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-02-22,130.00,130.00,130.00,130.00,0.00,6277.00,816010.00,0,1
2023-02-15,130.00,130.00,130.00,130.00,0.00,68040.00,8845200.00,0,2
2023-02-05,130.00,130.00,130.00,130.00,0.00,25108.00,3264040.00,0,3
2023-01-02,130.00,130.00,130.00,130.00,7.44,58680.00,7628400.00,1,4
2022-07-08,121.00,121.00,121.00,121.00,0.00,5023.00,607783.00,0,5
2022-05-09,121.00,121.00,121.00,121.00,0.00,3105.00,375705.00,0,6
2022-04-06,121.00,121.00,121.00,121.00,-1.63,62767.00,7594807.00,-1,7
2022-01-03,161.00,161.00,161.00,161.00,0.00,31920.00,5139120.00,0,8
2021-11-23,161.00,161.00,161.00,161.00,0.00,16544.00,2663584.00,0,9
2021-09-29,161.00,161.00,161.00,161.00,0.00,11956.00,1924916.00,0,10
2021-08-18,161.00,161.00,161.00,161.00,-0.62,8369.00,1347409.00,-1,11
2021-03-22,101.00,101.00,101.00,101.00,-0.98,21520.00,2173520.00,-1,12
2021-02-02,102.00,102.00,102.00,102.00,0.00,43000.00,4386000.00,0,13
2021-01-21,102.00,102.00,102.00,102.00,0.00,275255.00,28076010.00,0,14
2020-12-08,102.00,102.00,102.00,102.00,2.00,31000.00,3162000.00,1,15
2020-10-29,100.00,100.00,100.00,100.00,0.00,22141.00,2214100.00,0,16
2020-09-15,100.00,100.00,100.00,100.00,0.00,4694.00,469400.00,0,17
2020-08-27,100.00,100.00,100.00,100.00,0.00,60000.00,6000000.00,0,18
2020-03-05,100.00,100.00,100.00,100.00,-0.25,55354.00,5535400.00,-1,19
2020-01-16,100.25,100.25,100.25,100.25,0.00,4195.00,420549.00,0,20
2020-01-15,100.25,100.25,100.25,100.25,0.25,7203.00,722100.00,1,21
2020-01-09,100.00,100.00,100.00,100.00,0.00,2018661.00,201866096.00,0,22
2019-12-05,100.00,100.00,100.00,100.00,0.00,935.00,93500.00,0,23
2019-12-03,100.00,100.00,100.00,100.00,0.00,46497.00,4649700.00,0,24
2019-11-27,100.00,100.00,100.00,100.00,0.00,40000.00,4000000.00,0,25
2019-11-25,100.00,100.00,100.00,100.00,0.00,24382.00,2438200.00,0,26
2019-11-20,100.00,100.00,100.00,100.00,0.00,3100.00,310000.00,0,27
2019-11-18,100.00,100.00,100.00,100.00,0.00,34098.00,3409800.00,0,28
