published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-20,1127.00,1127.00,1127.00,1127.00,-2.00,25.00,28175.00,-1,1
2025-08-19,1149.0,1150.0,1149.0,1150.0,0.0,40.0,45990.0,0,1
2025-08-18,1150.0,1150.0,1150.0,1150.0,0.0,50.0,57500.0,0,1
2025-08-17,1150.0,1150.0,1150.0,1150.0,1.32,50.0,57500.0,1,1
2025-08-11,1135.0,1135.0,1135.0,1135.0,0.0,65.0,73775.0,0,1
2025-08-07,1135.0,1135.0,1135.0,1135.0,-1.94,25.0,28375.0,-1,1
2025-08-04,1170.0,1170.0,1150.0,1157.5,-2.65,100.0,115750.0,-1,1
2025-07-27,1189.0,1189.0,1189.0,1189.0,1.19,15.0,17835.0,1,1
2025-07-24,1175.0,1175.0,1175.0,1175.0,-1.64,300.0,352500.0,-1,1
2025-07-20,1194.6,1194.6,1194.6,1194.6,-1.99,25.0,29865.0,-1,1
2025-07-03,1195.0,1195.0,1195.0,1218.9,0.25,25.0,29994.5,1,1
2025-06-30,1209.5,1215.8,1209.5,1215.8,2.0,80.0,97141.0,1,1
2025-06-29,1185.0,1192.0,1185.0,1192.0,0.59,75.0,89225.0,1,1
2025-06-23,1192.0,1192.0,1150.0,1185.0,-0.34,150.0,177000.0,-1,1
2025-06-16,1166.0,1189.0,1166.0,1189.0,0.32,35.0,41040.0,1,1
2025-06-12,1185.2,1185.2,1185.2,1185.2,2.0,25.0,29630.0,1,1
2025-06-11,1162.0,1162.0,1162.0,1162.0,-1.94,25.0,29050.0,-1,1
2025-06-09,1192.0,1192.0,1185.0,1185.0,1.11,80.0,95185.0,1,1
2025-06-02,1172.0,1172.0,1172.0,1172.0,-1.92,25.0,29300.0,-1,1
2025-05-26,1158.0,1195.0,1158.0,1195.0,3.2,250.0,298589.0,1,1
2025-05-25,1170.0,1170.0,1158.0,1158.0,-0.93,55.0,63990.0,-1,2
2025-05-21,1168.2,1168.9,1146.0,1168.9,0.06,75.0,87077.5,1,3
2025-05-20,1168.2,1168.2,1168.2,1168.2,-2.0,25.0,29205.0,-1,4
2025-05-19,1192.0,1192.0,1192.0,1192.0,0.34,205.0,244360.0,1,5
2025-05-15,1188.0,1188.0,1188.0,1188.0,1.97,150.0,178200.0,1,6
2025-05-14,1165.0,1165.0,1165.0,1165.0,-1.69,25.0,29125.0,-1,7
2025-05-08,1185.0,1185.0,1185.0,1185.0,0.25,100.0,118500.0,1,8
2025-05-06,1182.0,1182.0,1182.0,1182.0,0.6,25.0,29550.0,1,9
2025-05-04,1175.0,1175.0,1175.0,1175.0,0.17,30.0,35250.0,1,10
2025-04-30,1173.0,1173.0,1173.0,1173.0,-1.59,25.0,29325.0,-1,11
2025-04-28,1136.1,1192.0,1136.1,1192.0,4.92,310.0,369475.0,1,12
2025-04-23,1136.1,1136.1,1136.1,1136.1,-1.81,25.0,28402.5,-1,13
2025-04-20,1138.2,1192.0,1138.2,1157.0,1.75,480.0,568746.0,1,14
2025-04-17,1150.0,1150.0,1133.1,1137.1,-3.06,475.0,541942.5,-1,15
2025-04-16,1149.0,1173.0,1133.0,1173.0,1.99,205.0,237750.0,1,16
2025-04-15,1165.0,1165.0,1150.1,1150.1,0.62,140.0,162504.0,1,17
2025-04-13,1143.0,1143.0,1143.0,1143.0,0.09,25.0,28575.0,1,18
2025-04-10,1133.0,1142.0,1133.0,1142.0,-0.65,50.0,56875.0,-1,19
2025-04-09,1130.0,1149.5,1130.0,1149.5,2.0,50.0,56987.5,1,20
2025-04-07,1127.0,1127.0,1127.0,1127.0,-0.91,30.0,33810.0,-1,21
2025-04-01,1115.0,1115.0,1115.0,1137.3,2.0,1.0,1137.3,1,22
2025-03-30,1121.0,1121.0,1115.0,1115.0,-1.5,100.0,111800.0,-1,23
2025-03-26,1120.0,1132.0,1120.0,1132.0,1.07,26.0,29422.0,1,24
2025-03-25,1121.4,1121.4,1121.4,1120.0,-0.12,2.0,2240.0,-1,25
2025-03-24,1121.4,1121.4,1121.4,1121.4,-0.09,25.0,28035.0,-1,26
2025-03-23,1121.1,1121.1,1121.1,1122.4,0.21,12.0,13455.8,1,27
2025-03-19,1121.5,1121.5,1120.0,1120.0,-0.53,25.0,28022.5,-1,28
2025-03-18,1126.0,1126.0,1126.0,1126.0,-0.01,25.0,28150.0,-1,29
2025-03-17,1126.1,1126.1,1126.1,1126.1,0.1,26.0,29277.6,1,30
2025-03-16,1125.0,1125.0,1125.0,1125.0,-1.96,50.0,56250.0,-1,31
2025-03-11,1125.0,1147.5,1121.2,1147.5,2.41,60.0,67593.3,1,32
2025-03-10,1122.5,1122.5,1120.5,1120.5,-1.71,30.0,33645.0,-1,33
2025-03-06,1140.0,1140.0,1140.0,1140.0,0.0,2525.0,2878500.0,0,34
2025-03-05,1140.0,1140.0,1140.0,1140.0,-1.98,25.0,28500.0,-1,35
2025-02-23,1160.0,1163.0,1160.0,1163.0,0.16,53.0,61560.9,1,36
2025-02-16,1161.1,1161.1,1161.1,1161.1,-1.85,25.0,29027.5,-1,37
2025-02-10,1183.0,1183.0,1183.0,1183.0,4.58,250.0,295714.6,1,38
2025-02-09,1131.2,1131.2,1131.2,1131.2,0.02,10.0,11312.0,1,39
2025-02-06,1150.0,1152.0,1131.0,1131.0,0.0,125.0,142375.0,0,40
2025-02-05,1131.0,1131.0,1131.0,1131.0,-1.25,25.0,28275.0,-1,41
2025-02-02,1145.3,1145.3,1145.3,1145.3,-7.75,105.0,120516.8,-1,42
2025-01-27,1193.0,1241.5,1193.0,1241.5,6.11,1381.0,1710469.5,1,43
2025-01-26,1170.0,1170.0,1170.0,1170.0,0.0,50.0,58500.0,0,44
2025-01-23,1103.0,1186.0,1103.0,1170.0,-1.68,1901.0,2147767.1,-1,45
2025-01-22,1140.3,1190.0,1140.3,1190.0,6.44,10000.0,11899197.0,1,46
2025-01-21,1118.0,1118.0,1118.0,1118.0,0.0,50.0,55900.0,0,47
2025-01-20,1117.0,1118.0,1117.0,1118.0,-1.24,50.0,55875.0,-1,48
2025-01-19,1155.0,1155.0,1132.0,1132.0,-3.32,465.0,533725.0,-1,49
2025-01-16,1170.9,1219.0,1170.9,1219.0,1.41,1291.0,1568472.7,1,50
2024-12-11,1152.6,1220.0,1130.0,1130.0,0.0,1100.0,1333708.0,0,1
2024-12-10,1130.0,1130.0,1130.0,1130.0,0.27,30.0,33997.5,1,1
2024-12-09,1127.0,1127.0,1127.0,1127.0,0.17,50.0,56350.0,1,2
2024-12-08,1122.3,1125.1,1122.2,1125.1,0.28,1025.0,1153156.5,1,3
2024-12-05,1140.0,1140.0,1118.0,1122.0,-3.48,100.0,112273.0,-1,4
2024-12-02,1162.5,1162.5,1162.5,1162.5,0.0,25.0,29062.5,0,5
2024-11-27,1118.0,1186.3,1118.0,1162.5,6.06,335.0,395422.5,1,6
2024-11-25,1096.1,1096.1,1096.1,1096.1,1.99,27.0,29594.7,1,7
2024-11-24,1141.7,1141.7,1074.7,1074.7,-7.75,210.0,227018.0,-1,8
2024-11-20,1141.0,1165.0,1141.0,1165.0,0.43,75.0,86775.0,1,9
2024-11-17,1166.0,1166.0,1160.0,1160.0,-4.41,50.0,58089.3,-1,10
2024-11-14,1190.0,1213.5,1190.0,1213.5,1.97,210.0,252955.0,1,11
2024-11-06,1190.0,1190.0,1190.0,1190.0,0.42,50.0,59500.0,1,12
2024-11-05,1172.0,1185.0,1172.0,1185.0,1.98,80.0,94285.0,1,13
2024-10-30,1160.0,1162.0,1160.0,1162.0,1.09,30.0,34830.0,1,14
2024-10-29,1149.5,1149.5,1149.5,1149.5,2.0,15.0,17242.5,1,15
2024-10-28,1130.0,1130.0,1127.0,1127.0,-1.57,50.0,56425.0,-1,16
2024-10-27,1143.0,1145.0,1143.0,1145.0,2.13,70.0,80076.0,1,17
2024-10-24,1121.1,1121.1,1121.1,1121.1,-0.18,50.0,56055.0,-1,18
2024-10-23,1123.1,1123.1,1123.1,1123.1,0.55,25.0,28077.5,1,19
2024-10-22,1117.0,1117.0,1117.0,1117.0,-0.27,25.0,27925.0,-1,20
2024-10-21,1120.0,1120.0,1120.0,1120.0,0.27,55.0,61600.0,1,21
2024-10-20,1117.0,1117.0,1117.0,1117.0,0.0,25.0,27925.0,0,22
2024-10-17,1103.0,1117.0,1103.0,1117.0,1.45,275.0,306025.0,1,23
2024-10-08,1101.0,1101.0,1101.0,1101.0,-0.37,25.0,27525.0,-1,24
2024-10-06,1100.0,1105.1,1100.0,1105.1,-0.55,40.0,44127.5,-1,25
2024-10-01,1111.2,1111.2,1111.2,1111.2,-0.34,25.0,27780.0,-1,26
2024-09-29,1110.0,1115.0,1110.0,1115.0,0.0,50.0,55625.0,0,27
2024-09-26,1115.0,1115.0,1115.0,1115.0,-1.34,150.0,167250.0,-1,28
2024-09-25,1129.0,1130.1,1129.0,1130.1,1.99,75.0,84727.5,1,29
2024-09-24,1108.0,1108.0,1108.0,1108.0,0.0,50.0,55400.0,0,30
2024-09-23,1109.0,1109.0,1108.0,1108.0,0.0,200.0,221700.0,0,31
2024-09-22,1108.0,1108.0,1108.0,1108.0,0.0,25.0,27700.0,0,32
2024-09-18,1108.0,1108.0,1108.0,1108.0,0.0,25.0,27700.0,0,33
2024-09-15,1108.0,1108.0,1108.0,1108.0,0.09,75.0,83100.0,1,34
2024-09-11,1107.0,1107.0,1107.0,1107.0,-1.16,31.0,34317.0,-1,35
2024-09-10,1120.0,1120.0,1120.0,1120.0,0.9,75.0,84000.0,1,36
2024-09-09,1107.0,1110.0,1107.0,1110.0,0.0,100.0,110775.0,0,37
2024-09-02,1101.0,1110.0,1101.0,1110.0,0.82,211.0,232536.0,1,38
2024-09-01,1101.0,1101.0,1101.0,1101.0,0.09,25.0,27525.0,1,39
2024-08-29,1100.0,1100.0,1100.0,1100.0,0.0,25.0,27500.0,0,40
2024-08-28,1100.0,1100.0,1100.0,1100.0,0.0,25.0,27500.0,0,41
2024-08-25,1100.0,1100.0,1100.0,1100.0,0.0,100.0,110000.0,0,42
2024-08-22,1100.0,1100.0,1100.0,1100.0,0.0,145.0,159500.0,0,43
2024-08-21,1100.0,1100.0,1100.0,1100.0,0.0,65.0,71500.0,0,44
2024-08-18,1100.0,1100.0,1100.0,1100.0,0.46,25.0,27500.0,1,45
2024-08-15,1095.0,1095.0,1095.0,1095.0,0.0,45.0,49275.0,0,46
2024-08-14,1095.0,1095.0,1095.0,1095.0,0.46,99.0,108405.0,1,47
2024-08-13,1090.0,1090.0,1090.0,1090.0,0.0,50.0,54500.0,0,48
2024-08-12,1090.0,1090.0,1090.0,1090.0,0.0,55.0,59950.0,0,49
2024-08-11,1090.0,1090.0,1090.0,1090.0,0.0,260.0,283400.0,0,50
2024-08-08,1090.0,1090.0,1090.0,1090.0,-0.64,25.0,27250.0,-1,51
2024-08-07,1097.0,1097.0,1097.0,1097.0,0.09,1731.0,1898907.0,1,52
2024-08-06,1095.0,1096.0,1095.0,1096.0,0.0,85.0,93085.0,0,53
2024-08-05,1100.0,1100.0,1096.0,1096.0,-0.36,236.0,258822.0,-1,54
2024-08-01,1090.0,1100.0,1090.0,1100.0,0.46,126.0,137615.0,1,55
2024-07-31,1109.4,1109.4,1095.0,1095.0,0.37,22.0,24288.5,1,56
2024-07-30,1091.0,1091.0,1091.0,1091.0,-0.82,25.0,27275.0,-1,57
2024-07-29,1100.0,1100.0,1100.0,1100.0,-0.15,290.0,319000.0,-1,58
2024-07-28,1100.0,1101.6,1100.0,1101.6,3.89,793.0,872552.0,1,59
2024-07-25,1080.0,1080.0,1080.0,1080.0,0.48,25.0,27000.0,1,60
2024-07-24,1074.8,1074.8,1074.8,1074.8,-2.0,25.0,26870.0,-1,61
2024-07-23,1075.2,1096.7,1075.2,1096.7,-0.04,60.0,65587.0,-1,62
2024-07-18,1097.1,1097.1,1097.1,1097.1,-1.99,90.0,98739.0,-1,63
2024-07-17,1097.6,1142.2,1097.6,1119.4,-0.04,560.0,627216.0,-1,64
2024-07-15,1119.9,1119.9,1119.9,1119.9,1.35,10.0,11199.0,1,65
2024-07-11,1127.0,1127.0,1105.0,1105.0,-3.91,110.0,123750.0,-1,66
2024-07-08,1150.0,1150.0,1150.0,1150.0,0.92,10.0,11500.0,1,67
2024-07-01,1125.0,1139.5,1125.0,1139.5,2.0,502.0,571094.0,1,68
2024-06-27,1079.0,1140.0,1079.0,1117.2,4.7,677.0,754960.6,1,69
2024-06-25,1067.0,1067.0,1067.0,1067.0,0.37,75.0,80025.0,1,70
2024-06-24,1063.1,1063.1,1063.1,1063.1,-0.18,250.0,265775.0,-1,71
2024-06-23,1065.0,1065.0,1065.0,1065.0,0.95,25.0,26625.0,1,72
2024-06-20,1055.0,1055.0,1055.0,1055.0,-0.48,100.0,105500.0,-1,73
2024-06-16,1065.0,1065.0,1060.1,1060.1,0.01,25.0,26551.5,1,74
2024-06-11,1055.0,1060.0,1055.0,1060.0,-1.4,110.0,116350.0,-1,75
2024-06-10,1085.0,1085.0,1075.0,1075.0,0.47,201.0,217089.9,1,76
2024-06-09,1070.0,1070.0,1070.0,1070.0,-0.93,25.0,26750.0,-1,77
2024-06-06,1080.0,1080.0,1080.0,1080.0,0.47,25.0,27000.0,1,78
2024-06-04,1075.0,1075.0,1075.0,1075.0,0.47,25.0,26875.0,1,79
2024-06-03,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0,80
2024-06-02,1070.0,1070.0,1070.0,1070.0,0.0,100.0,107000.0,0,81
2024-05-30,1070.0,1070.0,1070.0,1070.0,1.99,25.0,26750.0,1,82
2024-05-29,1049.1,1049.1,1049.1,1049.1,-1.49,25.0,26227.5,-1,83
2024-05-27,1065.0,1065.0,1065.0,1065.0,0.56,25.0,26625.0,1,84
2024-05-26,1079.0,1079.0,1079.0,1079.0,0.0,8.0,8472.8,0,85
2024-05-21,1079.0,1079.0,1079.0,1079.0,2.57,10.0,10790.0,1,86
2024-05-20,1052.0,1052.0,1052.0,1052.0,-0.28,38.0,40024.8,-1,87
2024-05-19,1055.0,1055.0,1055.0,1055.0,0.28,50.0,52750.0,1,88
2024-05-16,1060.0,1060.0,1052.1,1052.1,-0.84,50.0,52802.5,-1,89
2024-05-15,1056.0,1061.0,1056.0,1061.0,0.86,60.0,63610.0,1,90
2024-05-14,1052.0,1052.0,1052.0,1052.0,1.54,25.0,26300.0,1,91
2024-05-08,1036.0,1036.0,1036.0,1036.0,-1.33,25.0,25900.0,-1,92
2024-05-05,1058.4,1058.4,1050.0,1050.0,-2.78,75.0,79170.0,-1,93
2024-05-02,1080.0,1080.0,1080.0,1080.0,-1.37,25.0,27000.0,-1,94
2024-04-30,1079.0,1095.0,1079.0,1095.0,1.86,65.0,71005.0,1,95
2024-04-29,1075.0,1075.0,1075.0,1075.0,1.51,50.0,53750.0,1,96
2024-04-28,1045.0,1059.0,1045.0,1059.0,1.66,50.0,52600.0,1,97
2024-04-25,1040.0,1042.0,1040.0,1041.7,-0.74,105.0,109272.0,-1,98
2024-04-22,1031.1,1049.5,1031.1,1049.5,1.99,60.0,62495.0,1,99
2024-04-16,1029.0,1029.0,1029.0,1029.0,-0.68,50.0,51450.0,-1,100
2024-04-15,1036.0,1036.0,1036.0,1036.0,-1.99,25.0,25900.0,-1,101
2024-04-09,1056.9,1057.0,1056.9,1057.0,1.63,65.0,68702.5,1,102
2024-04-07,1040.0,1040.0,1040.0,1040.0,1.99,10.0,10400.0,1,103
2024-04-04,1019.7,1019.7,1019.7,1019.7,-2.0,25.0,25492.5,-1,104
2024-04-03,1037.0,1040.5,1037.0,1040.5,2.0,100.0,103900.0,1,105
2024-04-02,1020.1,1020.1,1020.1,1020.1,0.6,25.0,25502.5,1,106
2024-03-31,1016.0,1017.0,1000.0,1014.0,-0.2,20080.0,20082905.0,-1,107
2024-03-27,1016.1,1016.1,1016.0,1016.0,0.1,70.0,71125.0,1,108
2024-03-26,1015.0,1015.0,1015.0,1015.0,0.49,25.0,25375.0,1,109
2024-03-25,1010.1,1010.1,1010.1,1010.1,-0.14,25.0,25252.5,-1,110
2024-03-21,1010.0,1011.5,1010.0,1011.5,0.05,125.0,126287.5,1,111
2024-03-20,1011.0,1011.0,1011.0,1011.0,-0.64,25.0,25275.0,-1,112
2024-03-19,1012.5,1017.5,1012.5,1017.5,0.64,75.0,76175.0,1,113
2024-03-18,1010.0,1011.0,1010.0,1011.0,-0.59,105.0,106082.0,-1,114
2024-03-17,1017.0,1017.0,1017.0,1017.0,0.1,55.0,55935.0,1,115
2024-03-14,1016.0,1016.0,1016.0,1016.0,2.0,25.0,25400.0,1,116
2024-03-13,996.1,996.1,996.1,996.1,-1.38,30.0,29883.0,-1,117
2024-03-12,1002.6,1010.0,1002.6,1010.0,0.69,50.0,50315.0,1,118
2024-03-10,1001.5,1003.1,1001.5,1003.1,-0.19,50.0,50115.0,-1,119
2024-03-07,1005.0,1005.0,1005.0,1005.0,0.28,25.0,25125.0,1,120
2024-03-06,1005.0,1005.0,1002.2,1002.2,-0.28,125.0,125345.0,-1,121
2024-03-05,1005.0,1005.0,1005.0,1005.0,-1.66,25.0,25125.0,-1,122
