published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-01-09,191.20,199.50,191.10,199.50,3.31,100347.00,19596640.50,1,1
2023-01-08,192.00,196.00,191.00,193.10,0.89,93532.00,18073006.20,1,2
2023-01-05,192.70,195.00,191.10,191.40,-0.57,79277.00,15269108.30,-1,3
2023-01-04,191.00,194.00,189.70,192.50,1.32,57375.00,10986712.40,1,4
2023-01-03,192.00,193.00,189.00,190.00,-0.05,62724.00,11971161.60,-1,5
2023-01-02,191.00,194.00,188.30,190.10,-0.16,52720.00,10060785.40,-1,6
2023-01-01,193.00,195.90,189.20,190.40,0.21,58072.00,11171402.40,1,7
2022-12-29,188.00,191.00,185.20,190.00,2.10,39605.00,7487385.40,1,8
2022-12-28,189.70,189.70,185.00,186.10,-0.48,18317.00,3425903.00,-1,9
2022-12-27,183.10,190.10,181.00,187.00,3.60,32390.00,6021149.80,1,10
2022-12-26,180.00,182.00,175.00,180.50,1.12,67290.00,12031434.10,1,11
2022-12-22,179.50,179.70,176.60,178.50,0.73,16036.00,2855450.30,1,12
2022-12-21,180.00,180.00,176.40,177.20,-1.01,9120.00,1623920.10,-1,13
2022-12-20,176.10,180.00,176.10,179.00,-0.28,21079.00,3765441.70,-1,14
2022-12-19,177.00,180.00,176.00,179.50,1.64,18712.00,3340198.50,1,15
2022-12-18,188.00,191.00,184.50,185.00,-2.63,161125.00,30445959.30,-1,16
2022-12-15,187.00,191.00,187.00,190.00,0.00,46360.00,8796517.60,0,17
2022-12-14,188.40,190.80,186.00,190.00,-1.04,43171.00,8141213.90,-1,18
2022-12-13,187.00,192.00,185.70,192.00,2.07,69034.00,13021621.40,1,19
2022-12-12,184.10,190.40,184.10,188.10,0.80,36524.00,6866602.40,1,20
2022-12-11,185.00,189.00,184.00,186.60,0.92,53190.00,9976800.10,1,21
2022-12-07,185.00,186.00,184.70,184.90,-0.91,16476.00,3051410.40,-1,22
2022-12-06,187.00,189.00,185.80,186.60,-0.37,17497.00,3274972.20,-1,23
2022-12-05,189.00,189.00,186.40,187.30,-0.37,23407.00,4394061.70,-1,24
2022-12-04,188.10,190.00,187.00,188.00,-0.79,41525.00,7819697.00,-1,25
2022-12-01,190.00,192.00,187.00,189.50,0.26,40268.00,7601149.20,1,26
2022-11-30,192.00,192.00,188.00,189.00,-1.20,20863.00,3937728.90,-1,27
2022-11-29,191.00,192.00,188.00,191.30,0.16,32846.00,6237327.80,1,28
2022-11-28,196.80,207.90,190.50,191.00,-1.04,69420.00,13515929.80,-1,29
2022-07-31,189.00,194.00,188.00,193.00,3.21,102673.00,19625278.00,1,30
2022-07-29,191.00,191.50,186.60,187.00,-0.53,18158.00,3412189.80,-1,31
2022-07-28,189.00,192.00,187.20,188.00,-1.00,50498.00,9575256.00,-1,32
2022-07-27,189.00,190.00,185.50,189.90,0.48,31001.00,5816350.40,1,33
2022-07-26,194.00,194.70,188.00,189.00,-2.73,47907.00,9105553.80,-1,34
2022-07-25,190.00,196.00,190.00,194.30,3.35,62037.00,12009899.30,1,35
2022-07-24,187.00,188.60,184.00,188.00,1.13,37338.00,6956221.70,1,36
2022-07-22,187.00,187.00,184.00,185.90,-0.54,21727.00,4007159.90,-1,37
2022-07-21,188.00,190.00,184.40,186.90,-0.32,27043.00,5051045.00,-1,38
2022-07-20,189.90,189.90,186.00,187.50,-0.37,18456.00,3466459.40,-1,39
2022-07-19,188.00,189.70,186.00,188.20,1.07,40654.00,7626041.90,1,40
2022-07-18,187.00,187.80,184.00,186.20,-0.11,17096.00,3181952.80,-1,41
2022-07-17,186.50,186.50,183.20,186.40,1.86,32875.00,6086711.80,1,42
2022-07-15,183.00,184.90,182.00,183.00,-1.03,19441.00,3553569.60,-1,43
2022-07-14,183.90,186.60,181.40,184.90,1.04,40737.00,7451714.90,1,44
2022-07-13,180.00,183.00,178.00,183.00,2.29,37952.00,6854447.00,1,45
2022-07-12,178.80,182.00,178.80,178.90,0.06,67436.00,12115824.80,1,46
2022-07-11,186.00,186.00,178.50,178.80,-3.87,72765.00,13142395.40,-1,47
2022-07-08,190.70,190.70,185.00,186.00,-0.53,35479.00,6615479.30,-1,48
2022-07-07,190.50,191.00,186.20,187.00,-1.48,57440.00,10762540.60,-1,49
2022-07-06,191.00,195.00,186.20,189.80,1.33,71143.00,13474976.60,1,50
2022-07-05,194.80,194.80,187.10,187.30,-1.94,51684.00,9726003.20,-1,51
2022-07-04,196.80,196.80,190.00,191.00,-1.04,75830.00,14593889.80,-1,52
2022-07-03,192.90,193.00,188.00,193.00,1.58,49924.00,9505996.40,1,53
2022-07-01,196.00,196.00,188.40,190.00,-1.96,33555.00,6394697.40,-1,54
2022-06-30,190.00,195.60,188.70,193.80,2.59,59873.00,11481880.00,1,55
2022-06-29,187.00,188.90,185.00,188.90,1.23,27136.00,5080261.70,1,56
2022-06-28,190.00,190.00,185.00,186.60,-0.74,13807.00,2577888.40,-1,57
2022-06-27,192.00,192.80,188.00,188.00,-1.57,43777.00,8293782.00,-1,58
2022-06-26,187.00,192.00,186.50,191.00,2.69,43858.00,8326746.90,1,59
2022-06-24,183.50,189.00,180.20,186.00,1.36,25842.00,4774675.40,1,60
2022-06-23,185.30,190.00,183.00,183.50,-2.91,45272.00,8360992.10,-1,61
2022-06-22,190.80,194.00,189.00,189.00,-2.83,33424.00,6339148.50,-1,62
2022-06-21,188.00,196.00,188.00,194.50,2.64,33565.00,6450961.30,1,63
2022-06-20,192.00,192.00,186.50,189.50,-0.99,47508.00,8947702.70,-1,64
2022-06-19,193.00,193.90,190.10,191.40,-0.83,251267.00,48228049.20,-1,65
2022-06-17,195.00,197.00,193.00,193.00,-0.36,331103.00,64794108.80,-1,66
2022-06-16,190.00,197.90,190.00,193.70,0.89,44030.00,8547004.50,1,67
2022-06-15,195.00,195.00,189.00,192.00,-1.49,43271.00,8231269.60,-1,68
2022-06-14,199.00,199.00,193.10,194.90,-1.17,70888.00,13796343.50,-1,69
2022-06-13,201.00,201.00,196.50,197.20,-0.90,143128.00,28396932.40,-1,70
2022-06-10,199.00,199.90,196.00,199.00,0.00,14022.00,2767226.70,0,71
2022-06-09,202.00,203.90,198.00,199.00,-1.00,36913.00,7392086.40,-1,72
2022-06-08,197.00,204.00,197.00,201.00,2.08,39490.00,7931387.40,1,73
2022-06-07,199.10,202.00,195.20,196.90,-1.55,51402.00,10138283.80,-1,74
2022-06-06,201.00,204.00,199.60,200.00,-1.23,54086.00,10862846.60,-1,75
2022-06-03,204.00,205.00,199.00,202.50,-0.30,57051.00,11473541.00,-1,76
2022-06-02,207.80,208.00,203.00,203.10,-1.84,28537.00,5835478.60,-1,77
2022-06-01,206.00,207.00,203.00,206.90,0.93,16775.00,3431254.70,1,78
2022-05-31,210.00,210.00,204.50,205.00,-2.38,22119.00,4544836.80,-1,79
2022-05-30,208.00,210.00,204.00,210.00,0.00,55115.00,11349204.60,0,80
2022-05-27,214.90,214.90,208.00,210.00,-1.64,35261.00,7416308.80,-1,81
2022-05-26,205.00,214.00,203.10,213.50,3.29,40869.00,8545262.20,1,82
2022-05-25,206.00,208.00,203.00,206.70,1.67,19361.00,3980524.00,1,83
2022-05-24,201.00,208.00,200.00,203.30,0.59,15046.00,3073912.20,1,84
2022-05-23,207.00,207.00,202.00,202.10,-2.37,54675.00,11106158.60,-1,85
2022-05-20,208.10,212.00,205.00,207.00,-0.48,55786.00,11524174.30,-1,86
2022-05-19,210.00,211.00,207.60,208.00,-0.95,122680.00,25599474.10,-1,87
2022-05-18,212.00,212.00,207.60,210.00,0.48,26791.00,5592389.50,1,88
2022-05-17,216.00,216.00,208.00,209.00,-3.24,31224.00,6570276.30,-1,89
