published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-06-23,170.00,170.00,170.00,170.00,0.00,13267.00,2255390.00,0,1
2015-06-22,170.00,170.00,170.00,170.00,0.00,44332.00,7536440.00,0,2
2015-06-21,170.00,170.00,170.00,170.00,0.00,30558.00,5194860.00,0,3
2015-06-16,170.00,170.00,170.00,170.00,0.00,10000.00,1700000.00,0,4
2014-09-29,132.00,132.00,132.00,132.00,0.00,15355.00,2026860.00,0,5
2014-06-17,130.00,132.00,132.00,132.00,0.00,22335.00,2948220.00,0,6
2014-04-27,130.00,130.00,130.00,130.00,0.00,34846.00,4529980.00,0,7
2014-03-26,130.00,130.00,130.00,130.00,0.00,3070.00,399100.00,0,8
2014-03-11,130.00,130.00,130.00,130.00,0.00,30536.00,3969680.00,0,9
2013-10-03,0.00,130.00,130.00,130.00,0.00,60720.00,7893600.00,0,10
