published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-09-01,100.00,100.00,100.00,100.00,0.00,40001.00,4000100.00,0,1
2019-06-10,100.00,100.00,100.00,100.00,-0.99,159334.00,15933400.00,-1,2
2018-12-06,101.00,101.00,101.00,101.00,0.00,1000.00,101000.00,0,3
2018-12-05,101.00,101.00,101.00,101.00,0.00,18000.00,1818000.00,0,4
2018-10-28,101.00,101.00,101.00,101.00,0.00,43000.00,4343000.00,0,5
2018-10-15,101.00,101.00,101.00,101.00,0.00,72800.00,7352800.00,0,6
2018-03-27,100.00,100.00,100.00,100.00,0.00,53700.00,5370000.00,0,7
2018-03-26,100.00,100.00,100.00,100.00,0.00,60000.00,6000000.00,0,8
2017-07-18,100.00,100.00,100.00,100.00,0.00,82500.00,8250000.00,0,9
2017-07-17,105.00,103.00,100.00,100.00,0.00,313110.00,31662750.00,0,10
2017-05-22,105.00,105.00,105.00,105.00,0.00,30000.00,3150000.00,0,11
2017-05-21,105.00,105.00,105.00,105.00,0.00,35000.00,3675000.00,0,12
