published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-12,582.00,589.00,564.20,567.37,-2.37,531596.00,306559334.10,-1,1
2025-06-11,566.0,585.9,545.2,581.12,4.55,839501.0,475234308.7,1,1
2025-06-10,562.0,570.0,550.1,555.85,0.76,494798.0,278485999.6,1,1
2025-06-09,530.0,554.3,522.1,551.66,4.93,573296.0,312158537.0,1,1
2025-06-08,496.5,529.9,487.0,525.75,8.01,506439.0,262219785.9,1,1
2025-06-05,489.9,493.6,479.0,486.77,0.73,41081.0,20010813.7,1,1
2025-06-04,485.0,490.0,481.4,483.25,-1.05,38271.0,18536105.9,-1,1
2025-06-03,490.0,496.9,484.8,488.37,-0.03,57331.0,28040961.5,-1,2
2025-06-02,501.5,501.5,488.0,488.51,-1.34,43138.0,21257531.3,-1,1
2025-05-28,483.0,505.0,483.0,495.14,1.65,68368.0,33898012.5,1,1
2025-05-27,489.9,492.9,485.0,487.12,-0.03,24937.0,12197920.6,-1,2
2025-05-26,498.4,500.0,486.1,487.26,-0.28,39153.0,19189681.2,-1,1
2025-05-25,489.9,493.0,483.0,488.64,0.52,33539.0,16340264.0,1,2
2025-05-22,490.0,494.1,482.0,486.11,-0.79,29675.0,14490949.2,-1,3
2025-05-21,503.0,513.8,487.1,490.0,-0.97,90756.0,45013501.5,-1,4
2025-05-20,489.0,496.0,480.0,494.81,2.63,44746.0,21916331.6,1,5
2025-05-19,488.0,491.9,480.0,482.12,0.6,28533.0,13792202.6,1,6
2025-05-18,485.0,488.8,477.3,479.23,-0.71,50384.0,24223915.0,-1,7
2025-05-15,473.0,488.0,473.0,482.65,0.13,51395.0,24770027.9,1,8
2025-05-14,490.0,495.5,480.6,482.02,-1.69,57583.0,28022429.9,-1,9
2025-05-13,489.0,505.0,489.0,490.31,-1.62,78239.0,38480240.3,-1,10
2025-05-11,515.0,520.0,497.9,498.37,-3.19,122186.0,61660943.1,-1,11
2025-05-08,519.0,522.9,508.0,514.79,-1.39,122810.0,63191768.2,-1,12
2025-05-07,500.0,528.0,495.0,522.04,5.76,340772.0,176904030.8,1,13
2025-05-06,494.0,500.0,487.9,493.61,1.42,78515.0,38851637.4,1,14
2025-05-05,500.0,500.0,485.0,486.7,-1.26,54997.0,26911552.9,-1,15
2025-05-04,493.0,502.0,486.2,492.91,1.41,99801.0,49547610.9,1,16
2025-04-30,485.0,494.0,480.3,486.06,1.58,73955.0,36062854.6,1,17
2025-04-29,472.8,497.0,472.8,478.52,-0.8,65150.0,31351780.7,-1,18
2025-04-28,491.0,497.0,481.0,482.39,-1.5,86774.0,42402908.4,-1,19
2025-04-27,480.1,498.6,476.3,489.72,2.65,101346.0,49336282.2,1,20
2025-04-24,476.0,480.0,469.7,477.07,0.41,54611.0,25834951.6,1,21
2025-04-23,486.0,492.0,474.1,475.11,-2.6,145368.0,69219887.5,-1,22
2025-04-22,499.8,499.8,486.1,487.77,-1.8,49812.0,24462460.0,-1,23
2025-04-21,504.9,504.9,494.0,496.72,0.34,71234.0,35494212.6,1,24
2025-04-20,488.0,512.0,487.0,495.02,1.18,127350.0,63645436.0,1,25
2025-04-17,483.0,498.0,483.0,489.25,1.2,74572.0,36592208.1,1,26
2025-04-16,485.1,485.5,474.5,483.45,-0.14,72379.0,34683107.4,-1,27
2025-04-15,475.0,487.7,471.0,484.11,1.9,42529.0,20525032.6,1,28
2025-04-13,480.0,480.0,473.0,475.08,0.24,24766.0,11776071.6,1,29
2025-04-10,474.0,479.8,470.0,473.93,-0.28,50652.0,23945185.1,-1,30
2025-04-09,482.0,482.0,473.0,475.25,0.41,44671.0,21297405.5,1,31
2025-04-08,478.0,478.1,472.5,473.33,-0.82,35484.0,16824433.0,-1,32
2025-04-07,481.0,483.0,476.9,477.23,-0.88,108920.0,52257925.9,-1,33
2025-04-03,481.5,486.6,480.2,481.48,0.03,27770.0,13448336.3,1,34
2025-04-02,480.3,487.0,480.0,481.34,-0.35,31846.0,15387883.7,-1,35
2025-04-01,490.0,491.0,481.0,483.04,-1.48,39625.0,19183954.5,-1,36
2025-03-30,485.0,498.3,480.0,490.31,0.35,68326.0,33491371.2,1,37
2025-03-27,478.0,498.0,477.3,488.59,2.1,45311.0,21816264.7,1,38
2025-03-26,482.0,483.0,476.5,478.53,0.34,33332.0,15983913.0,1,39
2025-03-25,485.0,485.0,476.0,476.91,-2.62,53572.0,25705588.1,-1,40
2025-03-24,485.3,496.3,478.6,489.75,1.32,46495.0,22591590.7,1,41
2025-03-23,496.0,496.0,482.0,483.35,-1.6,43867.0,21329286.7,-1,42
2025-03-20,499.0,499.0,490.1,491.23,-1.52,31034.0,15319492.2,-1,43
2025-03-19,501.0,503.7,495.0,498.8,-0.7,28874.0,14392380.3,-1,44
2025-03-18,504.2,507.0,495.0,502.3,-0.32,53148.0,26631111.4,-1,45
2025-03-17,506.0,510.0,500.0,503.9,-0.24,25453.0,12824806.4,-1,46
2025-03-16,511.0,512.0,504.0,505.1,-0.96,29650.0,15020292.1,-1,47
2025-03-12,507.1,515.5,507.1,510.0,-0.58,29039.0,14853732.5,-1,48
2025-03-11,517.0,525.6,512.0,513.0,-0.64,43104.0,22376521.6,-1,49
2025-03-10,532.0,534.0,515.1,516.3,-1.66,23864.0,12463393.7,-1,50
2024-12-12,570.0,577.0,555.0,560.0,-1.75,40706.0,22953239.5,-1,1
2024-12-11,561.2,574.4,561.2,570.0,1.69,29983.0,17023819.1,1,1
2024-12-10,556.0,570.0,556.0,560.5,-0.8,17151.0,9689765.1,-1,1
2024-12-09,560.0,573.0,560.0,565.0,-0.04,21212.0,12011787.1,-1,2
2024-12-08,572.0,576.3,561.4,565.2,-1.29,51782.0,29429847.4,-1,3
2024-12-05,578.0,582.0,572.0,572.6,-1.94,36194.0,20824569.9,-1,4
2024-12-04,571.1,586.5,571.1,583.9,0.5,35473.0,20594236.7,1,5
2024-12-03,587.2,587.2,579.0,581.0,-0.26,34878.0,20238247.0,-1,6
2024-12-02,580.1,588.1,579.0,582.5,0.34,43916.0,25598358.3,1,7
2024-12-01,583.0,589.7,576.0,580.5,-2.09,53163.0,30946190.9,-1,8
