published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-24,2870.00,2958.00,2856.00,2939.21,3.02,49303.00,144360473.30,1,1
2025-07-23,2811.0,2880.0,2775.0,2853.14,0.94,46507.0,132299805.8,1,1
2025-07-22,2801.0,2870.0,2801.0,2826.7,0.11,58350.0,166021154.6,1,1
2025-07-21,2790.0,2865.0,2772.0,2823.66,1.48,36826.0,103905513.7,1,1
2025-07-20,2760.0,2869.0,2741.0,2782.53,1.19,106726.0,299377312.9,1,1
2025-07-17,2650.2,2774.0,2650.0,2749.86,4.08,104947.0,285438528.5,1,1
2025-07-16,2700.0,2700.0,2633.1,2641.99,-0.39,80083.0,212264168.3,-1,1
2025-07-15,2650.0,2680.0,2631.3,2652.38,0.49,43949.0,116678073.3,1,1
2025-07-14,2698.0,2698.0,2630.0,2639.38,-0.79,53410.0,141489146.2,-1,1
2025-07-13,2761.1,2761.1,2655.0,2660.28,-1.73,92395.0,248865404.7,-1,1
2025-07-10,2700.0,2765.0,2680.0,2706.98,-0.27,72539.0,198378793.2,-1,1
2025-07-09,2645.0,2730.0,2620.0,2714.37,3.88,99025.0,267028320.8,1,1
2025-07-08,2624.0,2640.0,2590.39,2613.08,0.72,69661.0,182165247.6,1,1
2025-07-07,2651.0,2651.0,2579.1,2594.37,-0.18,45841.0,119169250.7,-1,1
2025-07-06,2620.0,2634.0,2595.0,2599.11,-0.8,27884.0,72821753.4,-1,1
2025-07-03,2729.1,2729.1,2600.1,2620.16,-2.07,47864.0,126318500.9,-1,1
2025-07-02,2622.0,2710.0,2622.0,2675.65,1.23,73335.0,196210656.2,1,1
2025-07-01,2570.0,2651.0,2565.0,2643.26,3.06,59096.0,155119356.6,1,1
2025-06-30,2523.0,2620.0,2511.0,2564.86,0.57,27535.0,70778366.0,1,1
2025-06-29,2600.0,2620.0,2541.5,2550.24,-0.86,32959.0,84404033.6,-1,1
2025-06-26,2620.0,2648.5,2559.0,2572.29,-1.62,39107.0,101625445.6,-1,1
2025-06-25,2600.0,2659.0,2566.0,2614.64,0.27,53087.0,139382180.5,1,1
2025-06-24,2598.0,2627.0,2551.0,2607.69,2.38,48833.0,127022350.5,1,1
2025-06-23,2549.0,2563.0,2490.0,2547.07,1.8,33764.0,85274162.9,1,1
2025-06-22,2525.0,2530.0,2485.0,2502.15,-1.18,36216.0,90821324.2,-1,1
2025-06-19,2550.0,2565.0,2520.0,2531.97,-0.36,35297.0,89391610.3,-1,1
2025-06-18,2598.8,2598.8,2538.1,2541.09,-0.93,39919.0,101985507.2,-1,1
2025-06-17,2590.0,2620.0,2555.0,2564.97,-0.59,24490.0,63027504.7,-1,1
2025-06-16,2575.1,2624.0,2575.0,2580.21,-0.5,44005.0,114174168.3,-1,1
2025-06-15,2679.0,2679.0,2585.0,2593.05,-2.03,61549.0,161142915.8,-1,1
2025-06-12,2640.0,2687.9,2616.6,2646.88,-0.23,74608.0,197179611.5,-1,1
2025-06-11,2730.0,2730.0,2645.0,2653.09,-2.39,87188.0,232683847.3,-1,1
2025-06-10,2780.0,2829.0,2710.0,2717.92,-0.64,94662.0,260976175.8,-1,1
2025-06-09,2526.0,2745.0,2526.0,2735.51,6.4,141407.0,377916030.7,1,1
2025-06-08,2510.0,2580.0,2505.0,2571.05,2.42,69324.0,175987583.9,1,1
2025-06-05,2555.1,2555.1,2488.0,2510.3,-0.61,80637.0,202530505.8,-1,1
2025-06-04,2500.0,2606.0,2485.2,2525.8,0.9,42731.0,107875085.3,1,1
2025-06-03,2475.0,2547.0,2475.0,2503.39,-0.68,41844.0,105444885.9,-1,2
2025-06-02,2559.0,2565.0,2511.0,2520.57,0.46,29280.0,74342407.4,1,1
2025-05-28,2511.0,2530.0,2496.0,2509.08,-0.3,42499.0,106634508.2,-1,1
2025-05-27,2520.0,2560.0,2505.0,2516.56,-0.52,57643.0,145728655.9,-1,2
2025-05-26,2605.8,2650.0,2525.0,2529.84,-0.98,36194.0,92333424.8,-1,1
2025-05-25,2560.0,2607.8,2549.0,2554.76,-1.71,26248.0,67446924.0,-1,2
2025-05-22,2625.0,2647.0,2595.0,2599.27,-0.83,46800.0,122391634.7,-1,3
2025-05-21,2645.0,2697.0,2592.0,2620.99,0.98,35306.0,92424159.5,1,4
2025-05-20,2599.9,2609.0,2525.2,2595.54,1.38,30806.0,79458039.8,1,5
2025-05-19,2521.1,2598.0,2521.1,2560.22,1.29,30490.0,78257115.3,1,6
2025-05-18,2507.0,2575.0,2507.0,2527.52,0.02,35704.0,90665645.3,1,7
2025-05-15,2547.7,2570.0,2518.1,2527.06,-0.81,30896.0,78370780.8,-1,8
2025-05-14,2640.0,2640.0,2534.0,2547.71,-2.32,51736.0,133757347.7,-1,9
2025-05-13,2656.0,2696.0,2602.2,2608.32,0.16,63239.0,165891700.0,1,10
2025-05-11,2610.0,2673.4,2600.0,2604.19,-0.26,51290.0,134627374.2,-1,11
2025-05-08,2600.0,2675.0,2536.0,2610.85,1.14,119248.0,310823755.1,1,12
2025-05-07,2501.0,2590.0,2482.0,2581.4,3.23,57692.0,145820954.2,1,13
2025-05-06,2525.0,2544.0,2490.0,2500.63,-0.95,81516.0,204359403.2,-1,14
2025-05-05,2585.0,2585.0,2520.0,2524.62,-1.47,76674.0,195162632.7,-1,15
2025-05-04,2565.0,2614.5,2520.5,2562.33,1.56,78482.0,202239633.3,1,16
2025-04-30,2540.0,2568.9,2510.0,2522.88,-0.78,65188.0,164906183.8,-1,17
2025-04-29,2580.0,2610.0,2540.0,2542.82,-1.85,48455.0,124033418.6,-1,18
2025-04-28,2650.0,2678.0,2568.0,2590.69,-1.57,59873.0,155372046.4,-1,19
2025-04-27,2617.0,2673.0,2600.0,2632.0,1.22,90966.0,241030131.2,1,20
2025-04-24,2539.0,2638.0,2491.0,2600.39,3.2,82183.0,210331914.4,1,21
2025-04-23,2554.1,2554.2,2490.4,2519.74,-1.35,78658.0,197776313.0,-1,22
2025-04-22,2625.0,2625.0,2545.0,2554.1,-1.9,60157.0,155214067.7,-1,23
2025-04-21,2575.0,2640.1,2575.0,2603.61,-0.39,59320.0,154679405.1,-1,24
2025-04-20,2574.1,2730.0,2574.1,2613.82,-0.48,69169.0,181246034.0,-1,25
2025-04-17,2603.4,2700.0,2603.4,2626.54,-0.52,116521.0,310380681.7,-1,26
2025-04-16,2690.0,2693.0,2587.0,2640.36,-0.27,109977.0,288520286.7,-1,27
2025-04-15,2506.0,2681.0,2506.0,2647.55,3.6,123729.0,327771250.5,1,28
2025-04-13,2460.0,2565.0,2450.0,2555.46,3.84,179831.0,453209530.7,1,29
2025-04-10,2398.0,2493.0,2398.0,2461.05,0.61,118581.0,292246019.3,1,30
2025-04-09,2324.4,2460.0,2324.4,2446.02,3.13,124200.0,302231620.4,1,31
2025-04-08,2375.0,2380.0,2310.0,2371.83,0.64,65658.0,153633356.0,1,32
2025-04-07,2455.0,2455.0,2355.0,2356.75,-3.54,63127.0,150698242.3,-1,33
2025-04-03,2459.0,2500.0,2430.0,2443.22,-0.46,96528.0,237656204.0,-1,34
2025-04-02,2396.0,2460.0,2350.1,2454.57,3.13,150412.0,365552706.8,1,35
2025-04-01,2338.0,2390.0,2306.0,2380.06,2.05,117920.0,277734735.1,1,36
2025-03-30,2300.0,2370.0,2265.0,2332.35,2.56,102921.0,241034664.2,1,37
2025-03-27,2198.0,2289.0,2165.2,2274.18,4.89,91438.0,204948658.9,1,38
2025-03-26,2110.0,2190.0,2110.0,2168.2,2.13,40565.0,87898755.3,1,39
2025-03-25,2195.0,2195.0,2118.0,2122.97,-3.48,64386.0,138127814.7,-1,40
2025-03-24,2131.6,2225.0,2131.6,2199.43,1.12,69744.0,152926617.6,1,41
2025-03-23,2253.79,2253.79,2153.0,2175.07,-3.49,65221.0,143118961.5,-1,42
2025-03-20,2301.0,2301.0,2245.1,2253.79,-2.0,53901.0,121860164.5,-1,43
2025-03-19,2289.8,2315.0,2265.0,2299.9,1.32,57148.0,131051682.3,1,44
2025-03-18,2201.0,2280.0,2201.0,2269.9,1.11,58033.0,130669693.0,1,45
2025-03-17,2182.2,2249.8,2182.2,2244.9,1.07,81419.0,180033198.5,1,46
2025-03-16,2252.0,2329.9,2209.0,2221.2,-3.0,47312.0,105997458.2,-1,47
2025-03-12,2224.0,2307.0,2217.0,2290.0,2.97,79876.0,181290029.8,1,48
2025-03-11,2330.0,2349.0,2211.0,2224.0,-4.55,81978.0,186090382.7,-1,49
2025-03-10,2344.0,2389.0,2311.0,2330.0,-0.6,75612.0,177305268.3,-1,50
2024-12-12,1706.4,1706.4,1630.0,1644.0,-1.73,28083.0,46052610.6,-1,1
2024-12-11,1689.9,1689.9,1635.0,1673.0,0.84,25337.0,41774242.5,1,1
2024-12-10,1650.0,1683.0,1650.0,1659.0,-0.12,12758.0,21246191.9,-1,1
2024-12-09,1709.0,1709.5,1661.0,1661.0,-0.89,31022.0,51997138.7,-1,2
2024-12-08,1710.0,1725.0,1669.0,1676.0,-1.99,37353.0,63114671.1,-1,3
2024-12-05,1698.0,1727.0,1690.0,1710.0,1.48,71500.0,122106370.7,1,4
2024-12-04,1680.0,1725.0,1650.0,1685.0,1.51,38680.0,65736776.1,1,5
2024-12-03,1650.0,1693.0,1635.1,1660.0,-0.06,22819.0,38270550.1,-1,6
2024-12-02,1670.1,1700.0,1661.0,1661.0,-0.54,27833.0,46797172.8,-1,7
2024-12-01,1685.0,1694.9,1657.6,1670.0,-1.27,46714.0,78488726.0,-1,8
2024-11-28,1686.0,1750.0,1686.0,1691.4,-1.43,46512.0,79643283.4,-1,9
2024-11-27,1660.0,1745.0,1660.0,1716.0,1.96,59606.0,102453853.4,1,10
2024-11-26,1679.0,1712.0,1654.0,1683.0,2.19,30302.0,50731782.9,1,11
2024-11-25,1615.0,1685.0,1605.0,1647.0,1.67,31385.0,51680072.0,1,12
2024-11-24,1605.0,1677.0,1605.0,1620.0,-0.31,55316.0,90872450.0,-1,13
2024-11-21,1605.0,1718.0,1605.0,1625.0,0.07,23926.0,39474168.1,1,14
2024-11-20,1648.0,1648.0,1599.0,1623.9,0.36,18725.0,30320612.7,1,15
