published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-14,295.00,305.00,295.00,302.65,0.55,12227.00,3690717.30,1,1
2025-08-13,308.0,308.0,300.0,300.99,-0.46,15550.0,4700280.6,-1,1
2025-08-12,312.0,312.0,301.0,302.37,-2.48,19983.0,6079236.2,-1,1
2025-08-11,320.0,320.0,309.0,310.06,-1.66,11137.0,3475372.8,-1,1
2025-08-07,302.0,319.0,302.0,315.28,4.09,22627.0,7073178.5,1,1
2025-08-06,301.0,308.8,301.0,302.9,-0.78,13002.0,3952549.2,-1,1
2025-08-05,310.0,314.9,305.0,305.29,-1.93,18223.0,5589369.4,-1,1
2025-08-04,317.0,317.0,308.0,311.29,-0.16,17077.0,5316310.2,-1,1
2025-08-03,320.0,322.3,311.0,311.8,-1.38,25484.0,8033310.3,-1,1
2025-07-31,324.8,324.8,313.0,316.16,-0.92,42102.0,13421827.0,-1,1
2025-07-30,333.8,333.9,316.0,319.11,-2.55,48443.0,15663307.6,-1,1
2025-07-29,335.0,335.3,326.6,327.47,-0.41,39004.0,12879330.3,-1,1
2025-07-28,333.0,333.0,324.0,328.82,-0.4,51536.0,16881204.8,-1,1
2025-07-27,335.0,342.0,329.1,330.14,-1.58,81238.0,27213694.7,-1,1
2025-07-24,335.8,340.4,327.0,335.44,1.74,108339.0,36183053.0,1,1
2025-07-23,337.4,337.4,325.1,329.69,-0.34,66064.0,21794131.9,-1,1
2025-07-22,340.0,340.0,330.0,330.83,-0.97,51559.0,17140558.5,-1,1
2025-07-21,332.0,340.0,326.0,334.08,0.73,33066.0,11053852.3,1,1
2025-07-20,327.8,347.9,327.8,331.66,-0.82,105643.0,35383477.8,-1,1
2025-07-17,320.0,348.8,319.5,334.4,4.78,56836.0,18738973.8,1,1
2025-07-16,328.0,329.0,318.2,319.14,-1.06,56828.0,18270265.4,-1,1
2025-07-15,325.0,329.0,318.0,322.56,1.15,32812.0,10625143.6,1,1
2025-07-14,323.0,327.0,314.4,318.89,0.45,38171.0,12222482.9,1,1
2025-07-13,333.3,339.0,316.2,317.46,-2.89,44779.0,14380020.5,-1,1
2025-07-10,336.7,336.7,326.0,326.92,-0.98,26687.0,8822570.6,-1,1
