published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-13,1897.00,1897.00,1847.90,1850.00,-0.54,11530.00,21428417.70,-1,1
2025-10-12,1875.0,1880.0,1850.0,1860.0,-2.11,12373.0,23060974.3,-1,1
2025-10-09,1902.3,1973.0,1871.0,1900.0,1.88,10982.0,20824356.8,1,1
2025-10-08,1887.1,1887.1,1859.0,1865.0,-1.17,11832.0,22062460.9,-1,1
2025-10-07,1896.3,1928.0,1887.0,1887.1,-0.49,6238.0,11806420.1,-1,1
2025-09-28,1905.0,1924.0,1890.0,1896.3,-0.46,5826.0,11057833.8,-1,1
2025-09-25,1896.0,1909.9,1889.0,1905.0,0.42,8381.0,15895617.3,1,1
2025-09-24,1910.5,1919.0,1893.0,1897.0,-1.04,7714.0,14673538.5,-1,1
2025-09-23,1901.0,1924.0,1901.0,1917.0,1.23,8577.0,16445177.0,1,1
2025-09-21,1730.8,1897.0,1730.8,1893.62,7.23,19685.0,36183698.7,1,1
2025-09-18,1858.0,1858.0,1765.0,1766.0,-6.85,4074.0,7331353.0,-1,1
2025-09-08,1906.0,1906.0,1890.0,1895.86,-0.33,12339.0,23435209.7,-1,1
2025-09-07,1905.94,1909.0,1900.5,1902.08,-0.2,8887.0,16924728.2,-1,1
2025-09-04,1912.1,1915.0,1902.5,1905.94,-0.34,9056.0,17271909.8,-1,1
2025-09-03,1914.96,1920.0,1912.0,1912.51,-0.13,4190.0,8017308.5,-1,1
2025-09-02,1914.0,1924.9,1912.2,1914.96,-0.33,10861.0,20803166.0,-1,1
2025-09-01,1957.6,1957.6,1910.1,1921.31,0.11,6352.0,12166122.6,1,1
2025-08-31,1920.2,1943.0,1915.0,1919.26,-0.33,14660.0,28192676.8,-1,1
2025-08-28,1932.0,1940.0,1925.0,1925.61,-0.78,10344.0,19955098.9,-1,1
2025-08-27,1925.0,1945.0,1925.0,1940.81,0.78,9539.0,18451104.7,1,1
2025-08-26,1928.0,1934.9,1924.0,1925.71,0.01,7557.0,14564252.9,1,1
2025-08-25,1929.0,1932.3,1910.0,1925.5,-0.04,8901.0,17127825.7,-1,1
2025-08-24,1960.0,1960.0,1925.2,1926.18,-0.35,6312.0,12197820.7,-1,1
2025-08-21,1935.0,1949.8,1932.0,1932.99,-0.1,5105.0,9882424.9,-1,1
2025-08-20,1938.2,1950.0,1930.0,1934.97,-0.45,5132.0,9945412.4,-1,1
2025-08-19,1935.0,1949.0,1930.0,1943.8,0.46,6602.0,12827595.1,1,1
2025-08-18,1931.1,1939.0,1925.0,1934.89,0.05,5321.0,10279708.9,1,1
2025-08-17,1955.0,1956.0,1931.1,1933.97,-0.59,11591.0,22487840.0,-1,1
2025-08-14,1945.0,1949.0,1936.1,1945.54,0.07,9738.0,18919579.6,1,1
2025-08-13,1943.0,1955.0,1935.1,1944.19,0.19,11203.0,21763257.8,1,1
2025-08-12,1970.0,1975.0,1940.0,1940.53,-0.88,11721.0,22796323.6,-1,1
2025-08-11,1973.0,1989.0,1951.8,1957.72,-0.66,18858.0,37069087.2,-1,1
2025-08-07,1970.0,1975.0,1960.0,1970.79,0.51,13914.0,27391199.6,1,1
2025-08-06,2010.0,2010.0,1960.0,1960.78,-0.6,17572.0,34639337.1,-1,1
2025-08-05,2020.0,2020.0,1970.0,1972.54,-1.31,19431.0,38488068.1,-1,1
2025-08-04,2019.9,2025.0,1980.0,1998.64,-0.18,26213.0,52252857.7,-1,1
2025-08-03,2046.0,2046.0,2000.0,2002.26,-2.15,39035.0,78754807.1,-1,1
2025-07-31,2079.0,2090.0,2040.1,2046.32,-1.57,30253.0,62193161.9,-1,1
2025-07-30,2142.1,2168.0,2060.0,2078.89,-1.01,52945.0,111366982.0,-1,1
2025-07-29,2045.1,2111.0,2045.1,2100.17,2.87,95384.0,199797741.4,1,1
2025-07-28,2068.0,2070.0,2020.0,2041.54,-1.3,36874.0,75160880.6,-1,1
2025-07-27,2089.7,2130.0,2056.0,2068.45,0.96,54435.0,113373804.0,1,1
2025-07-24,2079.0,2079.0,2039.0,2048.82,-0.08,28057.0,57514038.5,-1,1
2025-07-23,2040.0,2081.0,2030.0,2050.55,1.21,36364.0,74632826.2,1,1
2025-07-22,1992.7,2032.0,1992.7,2026.13,1.68,45820.0,92314222.8,1,1
2025-07-21,2019.0,2019.0,1980.0,1992.7,-0.39,24967.0,49749296.9,-1,1
2025-07-20,2019.9,2025.0,1995.0,2000.59,-0.01,29646.0,59533778.3,-1,1
2025-07-17,1975.72,2015.0,1975.72,2000.87,1.27,29942.0,59803357.6,1,1
2025-07-16,1944.0,1990.0,1935.0,1975.72,1.62,16029.0,31459321.5,1,1
2025-07-15,1930.0,1961.0,1920.0,1944.13,1.18,9678.0,18727964.4,1,1
2025-07-14,1934.0,1945.3,1915.0,1921.51,-0.61,10793.0,20789623.2,-1,1
