published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-05-21,22.00,22.00,22.00,22.00,0.00,328568.00,7228496.00,0,1
2018-09-26,22.00,22.00,22.00,22.00,0.00,1570175.00,34543848.00,0,2
2018-09-25,22.00,22.00,22.00,22.00,0.00,564931.00,12428482.00,0,3
2018-09-23,0.00,0.00,0.00,0.00,0.00,398977.00,8777494.00,0,4
2011-06-07,144.00,142.00,140.00,140.00,0.00,1631.00,228420.00,0,5
2011-05-04,146.00,144.00,144.00,144.00,0.00,20.00,2880.00,0,6
2011-04-27,148.00,146.00,146.00,146.00,0.00,517.00,75482.00,0,7
2011-04-20,150.00,148.00,148.00,148.00,0.00,680.00,100640.00,0,8
2011-04-19,156.00,153.00,150.00,150.00,0.00,204289.00,30686216.00,0,9
2011-04-10,150.00,156.00,153.00,156.00,0.00,20.00,3090.00,0,10
2011-04-07,148.00,150.00,150.00,150.00,0.00,10.00,1500.00,0,11
2011-04-06,138.00,148.00,144.00,148.00,0.00,30.00,4380.00,0,12
2011-04-05,126.00,138.00,132.00,138.00,0.00,65.00,8850.00,0,13
2011-03-20,127.00,126.00,126.00,126.00,0.00,500.00,63000.00,0,14
