published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-02-27,10.72,10.93,10.72,10.85,1.21,166384.0,1813472.77,1,1
2025-02-25,10.49,10.9,10.49,10.72,0.47,66770.0,715840.79,1,2
2025-02-24,10.55,10.73,10.55,10.67,-0.47,11300.0,120981.0,-1,3
2025-02-23,10.68,10.75,10.62,10.72,-0.28,24900.0,265763.9,-1,4
2025-02-20,10.66,10.75,10.66,10.75,0.0,19850.0,212282.5,0,5
2025-02-18,10.7,10.78,10.65,10.75,0.47,38450.0,411672.5,1,6
2025-02-17,10.63,10.7,10.63,10.7,0.75,14890.0,159050.4,1,7
2025-02-16,10.51,10.63,10.51,10.62,-0.75,18000.0,191105.0,-1,8
2025-02-13,10.46,10.7,10.46,10.7,0.75,41440.0,438356.11,1,9
2025-02-12,10.62,10.62,10.62,10.62,0.38,5000.0,53100.0,1,10
2025-02-11,10.38,10.58,10.38,10.58,0.0,5870.0,61512.6,0,11
2025-02-10,10.51,10.65,10.51,10.58,-0.47,16200.0,172144.0,-1,12
2025-02-09,10.5,10.7,10.5,10.63,1.05,81750.0,865415.0,1,13
2025-02-06,10.55,10.7,10.51,10.52,-0.28,74670.0,788478.6,-1,14
2025-02-05,10.89,10.89,10.5,10.55,-1.4,35460.0,374970.1,-1,15
2025-02-04,10.6,10.7,10.6,10.7,1.33,43200.0,458801.5,1,16
2025-02-03,10.51,10.65,10.51,10.56,0.96,16600.0,176264.0,1,17
2025-02-02,10.35,10.57,10.35,10.46,-0.48,35050.0,368176.0,-1,18
2025-01-28,10.5,10.65,10.5,10.51,0.57,14360.0,150937.0,1,19
2025-01-27,10.22,10.45,10.22,10.45,0.38,8400.0,87095.0,1,20
2025-01-26,10.49,10.5,10.33,10.41,-2.71,11200.0,117430.0,-1,21
2025-01-23,10.8,10.87,10.62,10.7,-0.28,4124.0,44396.88,-1,22
2025-01-22,10.72,10.82,10.72,10.73,1.13,6200.0,66519.0,1,23
2025-01-21,10.55,10.75,10.55,10.61,-0.93,13100.0,138811.0,-1,24
2025-01-20,10.6,10.71,10.6,10.71,1.23,35850.0,383148.5,1,25
