published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-06,214.00,235.00,217.00,235.00,0.00,17633.00,4050986.00,0,1
2016-06-05,222.00,220.00,211.00,214.00,0.00,1909.00,410706.00,0,2
2016-06-02,229.00,225.00,217.00,222.00,0.00,1327.00,297504.00,0,3
2016-06-01,225.00,229.00,217.00,229.00,0.00,2812.00,623108.00,0,4
2016-05-31,229.00,229.00,225.00,225.00,0.00,4333.00,982415.00,0,5
2016-05-30,229.00,229.00,221.00,229.00,0.00,3782.00,847689.00,0,6
2016-05-29,232.00,229.00,229.00,229.00,0.00,52.00,11908.00,0,7
2016-05-26,231.00,232.00,226.00,232.00,0.00,1795.00,411236.00,0,8
2016-05-25,232.00,232.00,226.00,231.00,0.00,7383.00,1685186.00,0,9
2016-05-24,229.00,233.00,226.00,232.00,0.00,5286.00,1211296.00,0,10
2016-05-23,225.00,229.00,225.00,229.00,0.00,1746.00,397262.00,0,11
2016-05-22,229.00,233.00,225.00,225.00,0.00,343.00,78459.00,0,12
2016-05-19,230.00,230.00,226.00,229.00,0.00,4422.00,1013366.00,0,13
2016-05-18,228.00,230.00,226.00,230.00,0.00,3217.00,736413.00,0,14
2016-05-17,226.00,234.00,226.00,228.00,0.00,6369.00,1468317.00,0,15
2016-05-16,232.00,234.00,225.00,226.00,0.00,4361.00,998330.00,0,16
2016-05-15,232.00,232.00,229.00,232.00,0.00,582.00,134001.00,0,17
2016-05-12,231.00,237.00,228.00,232.00,0.00,2062.00,476957.00,0,18
2016-05-11,240.00,241.00,231.00,231.00,0.00,10802.00,2563124.00,0,19
2016-05-10,233.00,244.00,237.00,240.00,0.00,15541.00,3731025.00,0,20
2016-05-09,225.00,233.00,225.00,233.00,0.00,14327.00,3280224.00,0,21
2016-05-08,221.00,234.00,218.00,225.00,0.00,3388.00,769808.00,0,22
2016-05-05,224.00,224.00,220.00,221.00,0.00,2110.00,468146.00,0,23
2016-05-04,225.00,226.00,222.00,224.00,0.00,782.00,176035.00,0,24
2016-05-03,222.00,230.00,218.00,225.00,0.00,5169.00,1160045.00,0,25
2016-05-02,228.00,227.00,222.00,222.00,0.00,1958.00,436961.00,0,26
2016-04-28,231.00,235.00,228.00,228.00,0.00,8911.00,2074346.00,0,27
2016-04-27,229.00,233.00,226.00,231.00,0.00,5981.00,1379982.00,0,28
2016-04-26,223.00,239.00,221.00,229.00,0.00,11944.00,2766451.00,0,29
2016-04-25,227.00,227.00,222.00,223.00,0.00,5070.00,1139086.00,0,30
2016-04-24,215.00,227.00,219.00,227.00,0.00,4782.00,1066686.00,0,31
2016-04-21,217.00,221.00,211.00,215.00,0.00,18127.00,3872439.00,0,32
2016-04-20,215.00,219.00,210.00,217.00,0.00,7655.00,1631525.00,0,33
2016-04-19,220.00,220.00,215.00,215.00,0.00,1903.00,416013.00,0,34
2016-04-18,217.00,222.00,213.00,220.00,0.00,364.00,80064.00,0,35
2016-04-17,221.00,221.00,217.00,217.00,0.00,523.00,115491.00,0,36
2016-04-14,213.00,221.00,217.00,221.00,0.00,33.00,7213.00,0,37
