published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-30,2321.00,2391.00,2281.00,2311.07,-2.34,5420.00,12617838.10,-1,1
2025-06-29,2310.0,2375.0,2277.8,2366.39,4.49,8331.0,19492599.1,1,1
2025-06-26,2175.0,2300.0,2131.5,2264.77,6.2,6286.0,13879379.3,1,1
2025-06-25,2106.2,2192.1,2096.2,2132.55,-0.77,1771.0,3767871.5,-1,1
2025-06-24,2226.0,2227.0,2143.0,2149.14,-1.67,1812.0,3919430.7,-1,1
2025-06-23,2183.0,2262.0,2049.6,2185.73,2.1,6006.0,12824976.2,1,1
2025-06-22,2209.6,2338.7,2082.0,2140.67,-5.05,10547.0,23252418.1,-1,1
2025-06-19,2399.9,2399.9,2200.0,2254.62,-6.44,10380.0,23629052.0,-1,1
2025-06-18,2624.1,2624.1,2409.9,2409.9,-10.0,8586.0,20781413.5,-1,1
2025-06-17,2527.3,2680.5,2336.0,2677.62,3.83,14228.0,35221575.0,1,1
2025-06-16,2332.2,2617.6,2243.6,2578.86,8.37,11725.0,28785278.1,1,1
2025-06-15,2364.0,2399.9,2330.0,2379.7,2.3,2852.0,6746363.0,1,1
2025-06-12,2400.0,2490.0,2315.0,2326.24,-5.01,6252.0,14740110.3,-1,1
2025-06-11,2353.0,2540.0,2350.0,2448.93,2.06,4143.0,9977622.0,1,1
2025-06-10,2363.0,2479.0,2363.0,2399.45,0.48,1934.0,4655941.3,1,1
2025-06-09,2315.5,2475.0,2315.5,2387.95,1.27,5220.0,12597353.1,1,1
2025-06-08,2408.5,2542.3,2330.0,2358.0,-3.51,6362.0,15056877.9,-1,1
2025-06-05,2446.1,2544.9,2409.1,2443.72,-2.09,4802.0,11983184.3,-1,1
2025-06-04,2596.9,2596.9,2457.0,2495.98,-5.81,11012.0,27512102.6,-1,1
2025-06-03,2635.2,2681.0,2421.0,2649.81,-1.45,11887.0,29963082.6,-1,2
2025-06-02,2528.25,2728.5,2480.1,2688.88,6.35,21473.0,55556452.05,1,1
2025-05-28,2451.8,2549.9,2443.0,2528.25,5.18,11712.0,29280633.0,1,1
2025-05-27,2141.7,2403.8,2141.7,2403.8,10.0,29463.0,68737185.0,1,2
2025-05-26,2162.7,2295.0,2123.0,2185.36,3.07,13678.0,29826383.5,1,1
2025-05-25,2132.9,2190.0,2008.0,2120.37,-2.57,4142.0,8714396.4,-1,2
2025-05-22,2177.8,2300.0,2111.0,2176.4,-2.06,5183.0,11372975.0,-1,3
2025-05-21,2250.9,2427.4,2125.1,2222.16,0.7,3875.0,8714898.3,1,4
2025-05-20,2100.0,2283.0,2058.0,2206.81,4.82,9927.0,21773234.2,1,5
2025-05-19,1900.0,2109.0,1900.0,2105.27,9.79,4625.0,9493051.2,1,6
2025-05-18,2080.0,2095.0,1890.5,1917.6,-8.71,6974.0,13560841.1,-1,7
2025-05-15,2345.2,2345.2,2079.0,2100.46,-8.65,8572.0,18120868.3,-1,8
2025-05-14,2233.9,2465.0,2150.0,2299.31,0.87,12448.0,28634701.7,1,9
2025-05-13,2215.1,2355.0,2215.1,2279.42,2.29,11431.0,26389763.3,1,10
2025-05-11,2130.0,2285.0,2091.0,2228.42,2.69,18760.0,41760481.9,1,11
2025-05-08,2224.9,2269.0,2093.1,2170.13,-0.52,13780.0,29840497.1,-1,12
2025-05-07,2178.5,2244.0,2051.0,2181.37,-1.87,8300.0,17864173.2,-1,13
2025-05-06,2206.0,2316.4,2035.5,2222.87,0.76,18115.0,38812992.8,1,14
2025-05-05,2266.4,2266.4,2085.0,2206.0,-4.61,8113.0,17186126.3,-1,15
2025-05-04,2196.1,2376.1,2110.0,2312.61,3.25,10981.0,25044935.3,1,16
2025-04-30,2329.1,2375.6,2194.0,2239.77,-5.76,4873.0,11272335.4,-1,17
2025-04-29,2228.0,2451.7,2107.0,2376.63,6.63,35271.0,83483471.1,1,18
2025-04-28,2236.0,2372.8,2149.0,2228.87,1.65,9902.0,22241461.6,1,19
2025-04-27,2153.0,2238.9,2112.5,2192.78,1.83,10703.0,23498753.7,1,20
2025-04-24,2203.1,2288.0,2116.1,2153.37,-4.2,10028.0,22084015.4,-1,21
2025-04-23,2422.5,2422.5,2224.8,2247.83,-9.06,56785.0,129032324.5,-1,22
2025-04-22,2800.0,2800.0,2471.9,2471.9,-10.0,14919.0,36900839.3,-1,23
2025-04-21,2449.5,2749.3,2303.0,2746.5,9.88,67669.0,172586154.8,1,24
2025-04-20,2310.0,2557.9,2254.0,2499.45,7.49,47376.0,114739823.2,1,25
2025-04-17,2241.0,2416.8,2198.0,2325.38,5.84,29720.0,68698867.4,1,26
2025-04-16,1957.5,2197.1,1957.5,2197.1,10.0,20889.0,45647322.9,1,27
2025-04-15,1849.0,1997.4,1840.0,1997.4,10.0,23465.0,45666424.1,1,28
2025-04-13,1745.0,1910.0,1744.6,1815.84,2.0,21301.0,38800778.4,1,29
2025-04-10,1767.0,1805.0,1767.0,1780.17,-0.11,5768.0,10349821.9,-1,30
2025-04-09,1752.0,1845.0,1752.0,1782.12,0.47,8053.0,14400879.6,1,31
2025-04-08,1803.0,1803.0,1741.0,1773.75,0.31,13590.0,23884783.3,1,32
2025-04-07,1823.6,1823.6,1753.0,1768.33,-1.1,11068.0,19664630.7,-1,33
2025-04-03,1875.0,1875.0,1780.0,1787.96,-2.93,6345.0,11451071.7,-1,34
2025-04-02,1800.0,1954.1,1770.0,1841.91,2.27,13396.0,24790290.1,1,35
2025-04-01,1822.0,1858.4,1750.0,1801.1,0.82,12132.0,22012240.3,1,36
2025-03-30,1740.0,1820.0,1740.0,1786.41,1.18,9340.0,16739274.9,1,37
