published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-12-27,444.00,436.00,428.00,428.00,0.00,520.00,222720.00,0,1
2016-12-20,445.00,444.00,444.00,444.00,0.00,220.00,97680.00,0,2
2016-11-20,460.00,451.00,445.00,445.00,0.00,30.00,13410.00,0,3
2016-11-15,462.00,460.00,460.00,460.00,0.00,250.00,115000.00,0,4
2016-11-08,470.00,462.00,462.00,462.00,0.00,21.00,9702.00,0,5
2016-11-03,469.00,470.00,470.00,470.00,0.00,14.00,6580.00,0,6
2016-10-25,487.00,478.00,469.00,469.00,0.00,419.00,197944.00,0,7
2016-10-23,478.00,487.00,478.00,487.00,0.00,1477.00,710328.00,0,8
2016-10-20,478.00,478.00,478.00,478.00,0.00,100.00,47800.00,0,9
2016-10-06,435.00,478.00,443.00,478.00,0.00,1097.00,520455.00,0,10
2016-09-29,435.00,435.00,427.00,435.00,0.00,1206.00,518734.00,0,11
2016-09-27,455.00,446.00,435.00,435.00,0.00,414.00,181504.00,0,12
2016-09-26,457.00,455.00,455.00,455.00,0.00,100.00,45500.00,0,13
2016-09-22,463.00,457.00,455.00,457.00,0.00,110.00,50070.00,0,14
2016-09-20,471.00,463.00,463.00,463.00,0.00,11.00,5093.00,0,15
2016-09-18,489.00,480.00,471.00,471.00,0.00,116.00,54780.00,0,16
2016-09-14,488.00,489.00,480.00,489.00,0.00,122.00,59460.00,0,17
2016-09-12,503.00,495.00,486.00,488.00,0.00,508.00,247081.00,0,18
2016-09-11,494.00,503.00,503.00,503.00,0.00,418.00,210254.00,0,19
2016-09-08,508.00,500.00,485.00,494.00,0.00,1533.00,756604.00,0,20
2016-09-07,509.00,518.00,508.00,508.00,0.00,200.00,102600.00,0,21
2016-09-06,480.00,509.00,480.00,509.00,0.00,1431.00,709918.00,0,22
2016-09-05,438.00,480.00,445.00,480.00,0.00,1017.00,468741.00,0,23
2016-09-04,415.00,438.00,415.00,438.00,0.00,1019.00,434800.00,0,24
