published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-04,217.70,226.00,217.70,225.14,1.37,140034.00,31018583.80,1,1
2025-08-03,228.0,228.0,221.3,222.09,-2.59,129394.0,28964442.3,-1,1
2025-07-31,230.0,232.0,227.0,228.0,-1.86,100942.0,23087979.8,-1,1
2025-07-30,240.1,240.1,231.0,232.31,-1.33,178390.0,41958954.5,-1,1
2025-07-29,235.0,239.0,232.0,235.44,1.5,271421.0,64058468.2,1,1
2025-07-28,231.0,234.9,226.0,228.87,-0.78,214508.0,49095536.6,-1,1
2025-07-27,233.5,234.9,229.0,230.68,-0.6,224525.0,52075177.0,-1,1
2025-07-24,239.6,239.6,230.5,232.07,-1.23,207622.0,48254546.8,-1,1
2025-07-23,237.0,238.8,232.5,234.95,-0.57,101518.0,23870195.7,-1,1
2025-07-22,232.0,237.8,232.0,236.3,2.79,233864.0,54975350.2,1,1
2025-07-21,227.0,232.5,225.5,229.89,0.9,357351.0,82081930.4,1,1
2025-07-20,228.2,235.1,227.0,227.85,-1.23,289841.0,66927318.2,-1,1
2025-07-17,230.9,234.0,227.0,230.69,1.06,219237.0,50675845.0,1,1
2025-07-16,227.8,232.0,226.0,228.28,1.92,210447.0,48331966.4,1,1
2025-07-15,222.0,226.9,216.0,223.98,2.02,150677.0,33381300.1,1,1
2025-07-14,229.0,229.0,218.2,219.55,-3.74,199307.0,44230340.4,-1,1
2025-07-13,225.3,234.0,225.3,228.09,3.22,259040.0,59366662.7,1,1
2025-07-10,216.0,224.9,214.6,220.98,2.6,280238.0,61705099.6,1,1
2025-07-09,206.3,218.3,206.3,215.37,2.34,84753.0,18136632.9,1,1
2025-07-08,212.0,212.0,208.4,210.44,-0.58,46665.0,9803985.3,-1,1
2025-07-07,217.4,217.4,211.0,211.66,-0.7,110009.0,23303429.9,-1,1
2025-07-06,209.1,215.5,209.1,213.16,0.38,81753.0,17465976.9,1,1
2025-07-03,215.6,215.6,208.9,212.36,0.46,74509.0,15750857.9,1,1
2025-07-02,208.6,212.0,207.0,211.38,1.33,75338.0,15835208.7,1,1
2025-07-01,209.0,209.7,205.7,208.6,0.61,45238.0,9410285.4,1,1
2025-06-30,212.1,212.1,206.0,207.33,-0.31,75030.0,15549494.7,-1,1
2025-06-29,202.0,208.9,200.1,207.98,2.97,58635.0,12014539.1,1,1
2025-06-26,203.1,204.0,201.9,201.99,-0.77,23650.0,4790614.8,-1,1
2025-06-25,205.4,205.5,201.5,203.55,-0.02,25872.0,5247544.6,-1,1
2025-06-24,202.1,206.9,202.0,203.59,0.99,73958.0,15075404.9,1,1
2025-06-23,202.0,203.8,201.0,201.6,0.62,26050.0,5262193.5,1,1
2025-06-22,202.0,204.0,200.0,200.35,-0.93,74762.0,15005025.7,-1,1
2025-06-19,206.0,206.0,201.4,202.24,-0.44,152571.0,30988085.0,-1,1
2025-06-18,206.0,209.5,203.0,203.14,-1.27,158226.0,32375516.6,-1,1
2025-06-17,206.0,210.1,205.5,205.75,-1.21,41905.0,8637457.8,-1,1
2025-06-16,205.5,211.0,204.2,208.28,1.41,38151.0,7951836.5,1,1
2025-06-15,207.0,209.0,205.2,205.39,-0.73,38688.0,7970150.3,-1,1
2025-06-12,206.0,208.9,205.1,206.91,-0.2,43992.0,9089561.5,-1,1
2025-06-11,208.7,211.5,206.5,207.32,-1.42,72766.0,15170737.9,-1,1
2025-06-10,209.5,211.0,207.4,210.31,0.48,51482.0,10773636.4,1,1
2025-06-09,206.0,210.7,206.0,209.31,0.82,57035.0,11846783.3,1,1
2025-06-08,208.7,210.9,206.0,207.6,-1.04,58500.0,12161730.4,-1,1
