published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-09-29,102.00,102.00,102.00,102.00,0.00,220000.00,22440000.00,0,1
2024-08-29,102.00,102.00,102.00,102.00,0.00,105000.00,10710000.00,0,2
2024-07-04,102.00,102.00,102.00,102.00,0.00,56580.00,5771160.00,0,3
2024-07-03,102.00,102.00,102.00,102.00,-2.86,100000.00,10200000.00,-1,4
2024-04-02,105.00,105.00,105.00,105.00,2.94,50000.00,5250000.00,1,5
2024-03-27,102.00,102.00,102.00,102.00,-4.67,70490.00,7189980.00,-1,6
2024-01-08,107.00,107.00,107.00,107.00,7.00,4490.00,480430.00,1,7
2024-01-02,100.00,100.00,100.00,100.00,0.00,4490.00,449000.00,0,8
2023-12-28,125.00,125.00,125.00,125.00,0.00,6317.00,789625.00,0,9
2023-10-01,108.00,108.00,108.00,108.00,8.00,34337.00,3708396.00,1,10
2023-09-24,100.00,100.00,100.00,100.00,0.00,500000.00,67500000.00,0,11
2023-08-14,104.00,104.00,104.00,104.00,4.00,1509.00,156936.00,1,12
2023-08-10,100.00,100.00,100.00,100.00,0.00,1509.00,150900.00,0,13
2023-06-26,100.00,100.00,100.00,133.00,0.00,18376.00,2444008.00,0,14
2023-05-28,100.00,100.00,100.00,100.00,0.00,14101.00,1833130.00,0,15
2023-05-21,100.00,100.00,100.00,100.00,0.00,134794.00,21567040.00,0,16
2023-03-20,100.00,100.00,100.00,100.00,0.00,585271.00,58527100.00,0,17
2023-03-15,100.00,100.00,100.00,100.00,0.00,5921.00,592100.00,0,18
2022-10-12,153.00,153.00,153.00,153.00,0.00,18172.00,2780316.00,0,19
2022-09-25,153.00,153.00,153.00,153.00,0.00,800.00,122400.00,0,20
2022-09-05,153.00,153.00,153.00,153.00,2.00,5286.00,808758.00,1,21
2022-08-30,150.00,150.00,150.00,150.00,-1.83,18843.00,2826450.00,-1,22
2022-06-29,149.90,152.80,147.00,152.80,3.95,197079.00,29811613.00,1,23
2022-06-17,147.00,147.00,147.00,147.00,-2.00,30000.00,4410000.00,-1,24
2022-06-08,148.70,150.00,148.70,150.00,2.88,208074.00,31176483.60,1,25
2022-06-07,145.80,145.80,145.80,145.80,0.00,26358.00,3842996.40,0,26
2022-04-07,145.80,145.80,145.80,145.80,1.96,30000.00,4374000.00,1,27
2022-02-17,143.00,143.00,143.00,143.00,0.00,15673.00,2241239.00,0,28
2021-12-16,143.00,143.00,143.00,143.00,0.00,7000.00,1001000.00,0,29
2021-10-06,203.90,204.00,203.90,204.00,0.05,30758.00,6271669.50,1,30
2021-10-03,203.90,203.90,203.90,203.90,-1.97,35000.00,7136500.00,-1,31
2021-09-16,208.00,208.00,208.00,208.00,1.96,62500.00,13000000.00,1,32
2021-08-15,204.00,204.00,204.00,204.00,0.00,8851.00,1805604.00,0,33
2021-07-18,204.00,204.00,204.00,204.00,0.00,11753.00,2397612.00,0,34
2021-07-08,168.00,168.00,168.00,168.00,-1.75,67500.00,11340000.00,-1,35
2021-03-25,171.00,171.00,171.00,171.00,0.00,4953.00,846963.00,0,36
2021-03-07,171.00,171.00,171.00,171.00,0.00,3719.00,635949.00,0,37
2021-02-14,171.00,171.00,171.00,171.00,0.59,619.00,105849.00,1,38
2020-10-20,150.00,150.00,150.00,150.00,0.00,115143.00,17271450.00,0,39
2020-08-19,150.00,150.00,150.00,150.00,0.00,9432.00,1414800.00,0,40
2020-06-30,150.00,150.00,150.00,150.00,0.00,29000.00,4350000.00,0,41
2020-03-16,150.00,150.00,150.00,150.00,-1.96,30452.00,4567800.00,-1,42
2020-01-01,153.00,153.00,153.00,153.00,-1.92,7215.00,1103895.00,-1,43
2019-12-29,156.00,156.00,156.00,156.00,-1.89,51500.00,8034000.00,-1,44
2019-11-26,159.00,159.00,159.00,159.00,6.00,240524.00,38243316.00,1,45
2019-09-30,150.00,150.00,150.00,150.00,7.14,50000.00,7500000.00,1,46
2019-09-16,140.00,140.00,140.00,140.00,-11.95,6434.00,900760.00,-1,47
2019-04-22,159.00,159.00,159.00,159.00,0.00,2000.00,318000.00,0,48
2019-04-15,159.00,159.00,159.00,159.00,9.66,39691.00,6310869.00,1,49
2018-09-17,145.00,145.00,145.00,145.00,0.00,12000.00,1740000.00,0,50
2018-08-29,145.00,145.00,145.00,145.00,-1.36,16878.00,2447310.00,-1,51
2018-08-09,147.00,147.00,147.00,147.00,-2.00,10000.00,1470000.00,-1,52
2018-07-16,150.00,150.00,150.00,150.00,0.00,84.00,12600.00,0,53
2018-06-11,150.00,150.00,150.00,150.00,0.00,4495.00,674250.00,0,54
2018-05-28,150.00,150.00,150.00,150.00,0.00,337480.00,50622000.00,0,55
2018-01-21,160.00,157.00,150.00,150.00,0.00,62176.00,9326520.00,0,56
2017-08-24,325.00,325.00,325.00,325.00,0.00,14497.00,4711525.00,0,57
2017-07-24,325.00,325.00,325.00,325.00,0.00,14045.00,4564625.00,0,58
2017-02-01,325.00,325.00,325.00,325.00,0.00,18570.00,6035250.00,0,59
2017-01-19,325.00,325.00,325.00,325.00,0.00,26460.00,8599500.00,0,60
2017-01-10,325.00,325.00,325.00,325.00,0.00,29200.00,9490000.00,0,61
2016-12-04,325.00,325.00,325.00,325.00,0.00,111580.00,36263500.00,0,62
2016-08-30,323.00,325.00,325.00,325.00,0.00,16836.00,5471700.00,0,63
2016-08-16,323.00,323.00,323.00,323.00,0.00,63000.00,20349000.00,0,64
2016-07-20,323.00,323.00,323.00,323.00,0.00,995.00,321385.00,0,65
2016-07-13,335.00,329.00,323.00,323.00,0.00,98208.00,31748184.00,0,66
2016-06-12,315.00,335.00,321.00,335.00,0.00,55000.00,18357000.00,0,67
2016-03-13,315.00,315.00,315.00,315.00,0.00,4978.00,1568070.00,0,68
2016-02-29,320.00,315.00,315.00,315.00,0.00,1038.00,326970.00,0,69
2015-07-28,139.00,150.00,145.00,150.00,0.00,11525.00,1728570.00,0,70
2015-05-26,139.00,139.00,139.00,139.00,0.00,119595.00,16623705.00,0,71
2015-03-04,137.00,139.00,139.00,139.00,0.00,15000.00,2085000.00,0,72
2015-02-02,137.00,137.00,137.00,137.00,0.00,10582.00,1449734.00,0,73
2015-01-26,135.00,137.00,137.00,137.00,0.00,15545.00,2129665.00,0,74
2014-10-16,135.00,135.00,135.00,135.00,0.00,25501.00,3442635.00,0,75
2014-09-30,135.00,135.00,135.00,135.00,0.00,51000.00,6885000.00,0,76
2014-09-28,135.00,135.00,135.00,135.00,0.00,42070.00,5679450.00,0,77
2014-08-21,137.00,135.00,135.00,135.00,0.00,60554.00,8174790.00,0,78
2014-04-17,135.00,137.00,137.00,137.00,0.00,51100.00,7000700.00,0,79
2014-03-11,135.00,135.00,135.00,135.00,0.00,46950.00,6338250.00,0,80
2014-02-25,133.00,135.00,135.00,135.00,0.00,361040.00,48740400.00,0,81
2014-01-05,135.00,133.00,133.00,133.00,0.00,10877.00,158339824.00,0,82
2014-01-01,137.00,135.00,135.00,135.00,0.00,35500.00,4792500.00,0,83
2013-11-11,139.00,137.00,137.00,137.00,0.00,26680.00,3655160.00,0,84
2013-10-23,135.00,139.00,137.00,139.00,0.00,15053.00,2062367.00,0,85
2013-10-10,135.00,135.00,126.00,135.00,0.00,333037.00,44158696.00,0,86
2013-10-08,124.00,0.00,0.00,124.00,0.00,300000.00,39700000.00,0,87
2013-09-19,124.00,124.00,124.00,124.00,0.00,15106.00,1873144.00,0,88
2013-09-05,124.00,124.00,124.00,124.00,0.00,10000.00,1240000.00,0,89
2013-07-22,120.00,124.00,122.00,124.00,0.00,100000.00,12328000.00,0,90
2013-05-15,120.00,120.00,120.00,120.00,0.00,60000.00,7200000.00,0,91
2013-05-07,116.00,120.00,118.00,120.00,0.00,24100.00,2891800.00,0,92
2013-04-30,118.00,116.00,116.00,116.00,0.00,8000.00,928000.00,0,93
2013-04-28,114.00,118.00,116.00,118.00,0.00,200.00,23400.00,0,94
2013-04-23,110.00,114.00,112.00,114.00,0.00,200.00,22600.00,0,95
2013-04-16,106.00,110.00,108.00,110.00,0.00,200.00,21800.00,0,96
2013-04-08,100.00,106.00,102.00,106.00,0.00,300.00,31200.00,0,97
2013-01-30,100.00,100.00,100.00,100.00,0.00,105250.00,10525000.00,0,98
2013-01-17,100.00,100.00,100.00,100.00,0.00,90286.00,9028600.00,0,99
2012-12-04,100.00,100.00,100.00,100.00,0.00,119000.00,11900000.00,0,100
2012-11-06,100.00,100.00,100.00,100.00,0.00,58.00,5800.00,0,101
2012-10-14,100.00,100.00,100.00,100.00,0.00,50.00,5000.00,0,102
2012-10-08,100.00,100.00,100.00,100.00,0.00,116277.00,11627700.00,0,103
2012-09-19,100.00,100.00,100.00,100.00,0.00,66150.00,6615000.00,0,104
2012-09-05,100.00,100.00,100.00,100.00,0.00,29894.00,2989400.00,0,105
2012-08-30,100.00,100.00,100.00,100.00,0.00,7874.00,787400.00,0,106
2012-08-28,100.00,100.00,100.00,100.00,0.00,15000.00,1500000.00,0,107
2012-06-19,100.00,100.00,100.00,100.00,0.00,2625.00,262500.00,0,108
2012-06-18,100.00,100.00,100.00,100.00,0.00,107545.00,10754500.00,0,109
2012-06-17,100.00,100.00,100.00,100.00,0.00,28245.00,2824500.00,0,110
2012-06-14,100.00,100.00,100.00,100.00,0.00,91925.00,9192500.00,0,111
2012-06-13,0.00,110.00,100.00,100.00,0.00,41570.00,4160000.00,0,112
