published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-12-29,103.00,103.00,102.00,102.00,43.66,82538.00,8440216.00,1,1
2019-12-25,71.00,71.00,71.00,71.00,-31.07,99245.00,7046395.00,-1,2
2019-11-03,103.00,103.00,103.00,103.00,-1.90,139600.00,14378800.00,-1,3
2019-10-03,105.00,105.00,105.00,105.00,0.00,26626.00,2795730.00,0,4
2019-09-02,105.00,105.00,105.00,105.00,40.00,1318.00,138390.00,1,5
2019-08-22,75.00,75.00,75.00,75.00,-28.57,131498.00,9862350.00,-1,6
2019-04-09,105.00,105.00,105.00,105.00,0.00,1972.00,207060.00,0,7
2018-09-04,105.00,105.00,105.00,105.00,0.00,9000.00,945000.00,0,8
2018-06-20,105.00,105.00,105.00,105.00,0.00,1267.00,133035.00,0,9
2018-05-07,105.00,105.00,105.00,105.00,0.00,11532.00,1210860.00,0,10
2018-04-24,105.00,105.00,105.00,105.00,0.00,17000.00,1785000.00,0,11
2018-04-17,105.00,105.00,105.00,105.00,0.00,131498.00,13807290.00,0,12
2017-10-16,155.00,152.00,152.00,152.00,0.00,1267.00,192584.00,0,13
2016-12-22,181.00,181.00,181.00,181.00,0.00,9795.00,1772895.00,0,14
2016-12-18,170.00,181.00,172.00,181.00,0.00,36674.00,6592406.00,0,15
2016-12-05,170.00,170.00,170.00,170.00,0.00,4672.00,794240.00,0,16
2016-07-27,160.00,160.00,160.00,160.00,0.00,60671.00,9707360.00,0,17
