published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-09,865.9,869.0,840.0,842.1,-0.81,11301.0,9609311.0,-1,1
2025-10-08,846.0,849.0,830.0,849.0,-0.24,8080.0,6764789.4,-1,1
2025-10-07,860.0,860.0,842.8,851.0,-2.3,8283.0,7022412.7,-1,1
2025-09-28,870.0,887.0,856.0,871.0,1.52,4216.0,3672052.6,1,1
2025-09-25,855.0,861.0,850.0,858.0,0.7,9779.0,8353168.6,1,1
2025-09-24,854.7,860.0,850.0,852.0,-1.82,6591.0,5621992.4,-1,1
2025-09-23,840.0,867.8,840.0,867.8,2.99,5679.0,4856485.7,1,1
2025-09-21,812.0,847.0,802.0,842.58,3.77,10877.0,9053907.3,1,1
2025-09-18,844.1,844.1,812.0,812.0,-5.72,370.0,307380.0,-1,1
2025-09-08,861.1,869.0,855.0,861.27,-0.64,7329.0,6322772.0,-1,1
2025-09-07,858.1,882.0,858.1,866.8,-0.58,5386.0,4681933.5,-1,1
2025-09-04,868.0,888.0,865.0,871.88,0.06,11543.0,10049255.2,1,1
2025-09-03,870.5,880.0,870.5,871.39,-1.06,5443.0,4751017.6,-1,1
2025-09-02,878.2,891.0,873.0,880.71,-0.45,8787.0,7723997.2,-1,1
2025-09-01,876.0,890.0,876.0,884.68,0.18,5286.0,4674128.6,1,1
2025-08-31,885.1,900.0,881.0,883.07,-1.08,11244.0,10006737.7,-1,1
2025-08-28,913.0,913.0,890.1,892.68,-2.25,29669.0,26710476.7,-1,1
2025-08-27,903.0,914.0,903.0,913.26,1.28,12508.0,11373309.4,1,1
2025-08-26,915.0,915.0,900.0,901.73,-0.9,6268.0,5670941.3,-1,1
2025-08-25,915.0,941.0,904.1,909.95,0.91,28248.0,25810943.7,1,1
2025-08-24,900.0,930.3,898.1,901.72,0.83,10382.0,9399600.0,1,1
2025-08-21,900.0,901.1,889.0,894.29,-0.58,12738.0,11384442.1,-1,1
2025-08-20,910.0,913.9,898.0,899.47,-0.29,9975.0,9015244.5,-1,1
2025-08-19,903.51,920.0,900.0,902.05,-0.16,7740.0,7008822.8,-1,1
2025-08-18,902.0,917.6,898.0,903.51,-0.29,13384.0,12084759.6,-1,1
2025-08-17,920.0,920.0,901.0,906.14,-0.55,15120.0,13741229.7,-1,1
2025-08-14,908.0,914.0,904.0,911.18,0.28,3041.0,2764736.6,1,1
2025-08-13,910.0,927.9,900.0,908.64,0.17,11228.0,10232643.6,1,1
2025-08-12,922.0,922.0,903.6,907.06,-0.48,37888.0,34304928.9,-1,1
2025-08-11,927.0,944.0,909.5,911.4,-1.59,25625.0,23618594.5,-1,1
2025-08-07,920.1,935.0,920.1,926.16,0.59,13473.0,12514905.6,1,1
2025-08-06,906.1,933.0,902.1,920.75,0.38,17569.0,16141193.2,1,1
2025-08-05,928.0,928.0,905.0,917.24,0.23,25491.0,23352589.0,1,1
2025-08-04,928.0,932.0,898.0,915.17,0.15,41178.0,37533414.8,1,1
2025-08-03,943.2,981.0,910.0,913.8,-3.12,55538.0,51317522.6,-1,1
2025-07-31,965.0,975.0,931.0,943.27,-1.23,50265.0,47804700.4,-1,1
2025-07-30,992.0,996.0,946.0,955.0,-3.74,59962.0,58180877.9,-1,1
2025-07-29,998.9,1010.0,985.0,992.08,0.72,60987.0,60881937.7,1,1
2025-07-28,992.1,996.9,971.3,984.96,-0.17,70865.0,69678152.2,-1,1
2025-07-27,971.0,1007.0,970.0,986.64,1.57,110451.0,109621395.6,1,1
2025-07-24,963.0,986.0,961.0,971.4,0.03,57145.0,55520164.3,1,1
2025-07-23,986.0,995.0,952.3,971.1,-0.49,58529.0,56686630.0,-1,1
2025-07-22,953.0,980.0,953.0,975.87,3.56,76898.0,74595318.7,1,1
2025-07-21,919.0,946.6,907.0,942.32,2.54,54060.0,50322636.3,1,1
2025-07-20,909.0,938.0,901.0,919.02,1.66,66222.0,61138232.9,1,1
2025-07-17,864.7,914.9,864.7,904.0,2.47,46301.0,41890625.3,1,1
2025-07-16,849.4,896.0,849.4,882.25,1.8,58218.0,51535479.8,1,1
2025-07-15,843.9,895.4,843.9,866.69,0.66,31058.0,27022041.2,1,1
2025-07-14,856.2,894.0,856.2,861.05,-1.44,60408.0,51966864.6,-1,1
2025-07-13,858.3,892.0,858.3,873.66,3.82,56642.0,49533890.4,1,1
2025-07-10,839.0,848.0,832.0,841.55,1.46,34328.0,28809283.8,1,1
2025-07-09,818.0,833.0,816.0,829.44,0.92,17148.0,14194074.3,1,1
2025-07-08,809.0,825.0,804.0,821.87,1.59,14637.0,11967325.1,1,1
2025-07-07,815.0,819.9,806.0,808.97,-0.83,12160.0,9874258.0,-1,1
2025-07-06,811.0,827.0,811.0,815.77,0.07,11923.0,9767762.2,1,1
2025-07-03,815.0,820.0,811.1,815.22,-0.06,8852.0,7222586.8,-1,1
2025-07-02,818.0,833.0,809.0,815.72,-0.2,27634.0,22653208.7,-1,1
2025-07-01,806.0,825.0,801.1,817.35,1.48,18062.0,14706445.4,1,1
2025-06-30,805.0,809.0,795.0,805.41,0.8,12615.0,10146584.8,1,1
2025-06-29,776.0,800.7,776.0,798.99,2.6,12277.0,9747386.3,1,1
2025-06-26,780.1,780.1,775.5,778.71,-0.18,5235.0,4072442.5,-1,1
2025-06-25,781.0,788.0,775.0,780.1,-0.71,5396.0,4202817.5,-1,1
2025-06-24,788.0,793.0,784.0,785.67,0.46,1784.0,1404620.9,1,1
2025-06-23,785.2,790.0,780.0,782.11,-0.35,3398.0,2659787.7,-1,1
2025-06-22,782.0,788.0,782.0,784.87,-0.9,4184.0,3282641.6,-1,1
2025-06-19,789.1,797.0,789.1,791.96,-1.06,4526.0,3583100.5,-1,1
2025-06-18,800.0,810.0,800.0,800.48,-1.14,6296.0,5047443.1,-1,1
2025-06-17,800.2,818.0,799.0,809.72,0.62,11229.0,9101381.5,1,1
2025-06-16,799.9,806.0,798.0,804.71,1.16,8136.0,6524399.2,1,1
2025-06-15,789.0,805.0,789.0,795.51,-0.05,7206.0,5746008.1,-1,1
2025-06-12,790.3,803.8,790.3,795.9,-0.57,6463.0,5145352.8,-1,1
2025-06-11,813.0,813.0,796.1,800.48,-0.26,8878.0,7110017.3,-1,1
