published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-08,1425.1,1439.0,1372.0,1398.61,-1.85,1120.0,1570625.0,-1,1
2025-06-05,1430.45,1446.0,1417.0,1425.04,-0.38,1152.0,1637694.3,-1,1
2025-06-04,1419.0,1445.0,1415.0,1430.45,-0.18,1196.0,1701273.1,-1,1
2025-06-03,1460.0,1470.0,1431.1,1433.0,-3.18,714.0,1034415.9,-1,2
2025-06-02,1450.33,1482.0,1425.0,1480.0,2.05,382.0,559002.0,1,1
2025-05-28,1450.0,1452.0,1426.1,1450.33,0.02,1611.0,2326503.7,1,1
2025-05-27,1481.36,1509.0,1450.0,1450.0,-2.12,1351.0,1980165.7,-1,2
2025-05-26,1524.0,1524.0,1465.0,1481.36,-0.89,1261.0,1872344.0,-1,1
2025-05-25,1490.23,1510.0,1485.0,1494.71,0.3,1067.0,1596961.0,1,2
2025-05-22,1419.2,1517.0,1419.2,1490.23,4.85,2410.0,3594852.4,1,3
2025-05-21,1453.7,1482.7,1421.0,1421.26,-0.28,513.0,740150.5,-1,4
2025-05-20,1399.0,1453.9,1399.0,1425.27,-0.14,1268.0,1810367.0,-1,5
2025-05-19,1404.2,1460.0,1404.2,1427.23,-0.24,698.0,998383.0,-1,6
2025-05-18,1448.0,1459.3,1374.3,1430.71,-0.01,866.0,1240965.8,-1,7
2025-05-15,1473.0,1473.0,1426.0,1430.85,-0.94,778.0,1118431.5,-1,8
2025-05-14,1430.8,1487.0,1425.0,1444.44,-1.06,1239.0,1792174.3,-1,9
2025-05-13,1430.0,1463.1,1428.0,1459.95,0.25,1605.0,2330379.0,1,10
2025-05-11,1500.0,1500.0,1425.0,1456.33,-3.23,965.0,1408058.4,-1,11
2025-05-08,1519.0,1540.0,1485.0,1505.0,0.35,1810.0,2735283.0,1,12
2025-05-07,1453.7,1510.0,1450.4,1499.72,1.11,897.0,1333386.3,1,13
2025-05-06,1489.9,1489.9,1459.0,1483.3,1.54,1165.0,1728327.0,1,14
2025-05-05,1445.0,1519.0,1445.0,1460.78,2.73,1363.0,1993542.3,1,15
2025-05-04,1420.0,1440.0,1420.0,1421.9,-1.26,1199.0,1714722.0,-1,16
2025-04-30,1484.0,1484.0,1426.4,1440.0,-1.06,1232.0,1778671.3,-1,17
2025-04-29,1475.0,1475.2,1450.0,1455.5,-2.0,1231.0,1796643.7,-1,18
2025-04-28,1502.1,1510.0,1480.0,1485.22,-1.99,1011.0,1513395.3,-1,19
2025-04-27,1551.8,1551.9,1515.0,1515.43,-0.43,1461.0,2227617.0,-1,20
2025-04-24,1536.0,1540.0,1520.1,1521.97,-0.97,859.0,1308557.2,-1,21
2025-04-23,1530.2,1556.0,1520.4,1536.87,-0.04,1339.0,2051407.9,-1,22
2025-04-22,1549.0,1549.0,1535.0,1537.54,-0.11,874.0,1346480.0,-1,23
2025-04-21,1521.0,1569.9,1521.0,1539.29,-0.41,937.0,1441473.0,-1,24
2025-04-20,1562.0,1594.0,1520.0,1545.59,-1.11,1817.0,2800222.5,-1,25
2025-04-17,1565.0,1581.0,1550.4,1562.95,-0.13,1139.0,1786385.3,-1,26
2025-04-16,1588.0,1588.0,1560.0,1565.0,0.49,1227.0,1915178.4,1,27
2025-04-15,1522.2,1580.0,1522.2,1557.31,0.95,478.0,744954.0,1,28
2025-04-13,1565.0,1599.0,1540.3,1542.62,-1.74,1014.0,1588103.3,-1,29
2025-04-10,1556.42,1580.0,1556.42,1569.95,0.87,651.0,1023755.0,1,30
2025-04-09,1550.0,1584.1,1550.0,1556.42,-1.2,1110.0,1725797.0,-1,31
2025-04-08,1520.0,1602.2,1520.0,1575.38,2.19,867.0,1349552.3,1,32
2025-04-07,1580.0,1581.0,1539.0,1541.6,-1.83,2048.0,3169108.6,-1,33
2025-04-03,1602.0,1633.9,1560.0,1570.38,-0.99,1841.0,2956982.4,-1,34
2025-04-02,1563.36,1625.7,1551.0,1586.05,1.45,1148.0,1831392.7,1,35
2025-04-01,1591.0,1618.0,1541.0,1563.36,-2.08,1538.0,2409870.7,-1,36
2025-03-30,1615.0,1670.0,1551.2,1596.64,-1.18,2476.0,4010597.0,-1,37
2025-03-27,1565.0,1630.9,1565.0,1615.77,5.14,3645.0,5879852.6,1,38
2025-03-26,1529.8,1555.0,1529.8,1536.82,1.61,1993.0,3064160.5,1,39
