published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-23,638.70,642.00,603.70,614.43,-1.88,23303.00,14554771.50,-1,1
2025-07-22,620.6,633.0,612.5,626.2,2.91,16981.0,10619654.0,1,1
2025-07-21,627.0,627.0,600.0,608.47,-1.13,21239.0,12916133.9,-1,1
2025-07-20,610.0,642.6,598.0,615.42,1.97,37070.0,22993998.4,1,1
2025-07-17,579.0,605.6,575.3,603.56,6.17,32946.0,19426506.1,1,1
2025-07-16,559.0,573.0,559.0,568.48,1.46,19663.0,11135875.4,1,1
2025-07-15,558.0,570.0,558.0,560.28,0.0,11070.0,6212003.7,0,1
2025-07-14,559.0,570.0,559.0,560.27,-0.33,2822.0,1584650.5,-1,1
2025-07-13,578.1,600.0,560.0,562.12,-0.83,4867.0,2753107.8,-1,1
2025-07-10,573.0,580.0,561.2,566.82,0.3,9537.0,5440800.2,1,1
2025-07-09,560.0,580.0,557.3,565.11,0.89,4299.0,2442148.0,1,1
2025-07-08,555.0,569.0,551.0,560.1,0.27,2699.0,1512915.3,1,1
2025-07-07,562.0,565.0,556.0,558.6,-0.29,4550.0,2551358.2,-1,1
2025-07-06,560.0,577.0,560.0,560.23,-1.06,9446.0,5333709.5,-1,1
2025-07-03,573.0,578.0,565.0,566.26,-1.5,7418.0,4236395.0,-1,1
2025-07-02,561.0,590.0,560.0,574.87,2.63,19290.0,11154481.7,1,1
2025-07-01,550.0,562.0,545.0,560.16,1.73,4255.0,2353373.6,1,1
2025-06-30,562.0,565.0,550.0,550.61,-1.53,6011.0,3319488.1,-1,1
2025-06-29,555.0,563.9,551.0,559.15,-0.39,4746.0,2646137.6,-1,1
2025-06-26,554.0,579.0,554.0,561.32,0.39,4916.0,2767735.7,1,1
2025-06-25,540.0,565.0,540.0,559.12,2.11,5013.0,2783789.0,1,1
2025-06-24,565.0,568.0,546.1,547.56,-2.01,7008.0,3880329.4,-1,1
2025-06-23,567.0,568.7,546.6,558.81,0.22,4924.0,2740572.0,1,1
2025-06-22,580.0,580.0,555.0,557.6,-2.32,9153.0,5145687.4,-1,1
2025-06-19,569.0,574.9,557.7,570.86,2.32,11806.0,6717759.2,1,1
2025-06-18,560.0,578.0,555.0,557.9,-0.96,6254.0,3502932.2,-1,1
2025-06-17,578.0,589.0,559.2,563.28,-0.68,5180.0,2914617.0,-1,1
2025-06-16,586.8,592.0,565.0,567.14,-1.43,18365.0,10565753.9,-1,1
2025-06-15,600.0,600.0,555.0,575.37,-3.4,18544.0,10669227.9,-1,1
2025-06-12,600.1,624.0,591.0,595.61,-1.45,29254.0,17702891.9,-1,1
2025-06-11,610.0,625.0,600.1,604.38,-2.46,12347.0,7495475.4,-1,1
2025-06-10,604.1,640.0,604.1,619.63,4.61,33798.0,20998165.8,1,1
2025-06-09,535.1,592.3,535.1,592.3,9.99,21530.0,12319747.5,1,1
2025-06-08,525.0,556.0,525.0,538.49,0.6,6706.0,3616793.1,1,1
2025-06-05,537.6,547.9,525.0,535.3,-1.55,11097.0,5906860.1,-1,1
2025-06-04,545.0,549.7,538.3,543.75,-0.93,10583.0,5731483.1,-1,1
