published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-01,281.70,281.70,274.00,275.16,-2.30,51324.00,14158076.00,-1,1
2025-08-31,280.0,284.0,276.2,281.65,0.67,32184.0,9049325.2,1,1
2025-08-28,278.2,285.0,278.2,279.77,0.47,58545.0,16472719.6,1,1
2025-08-27,279.0,283.5,274.1,278.46,0.83,44801.0,12526256.5,1,1
2025-08-26,286.8,286.8,274.4,276.16,-1.8,65844.0,18216567.6,-1,1
2025-08-25,283.0,284.0,277.2,281.22,-0.35,15121.0,4248334.3,-1,1
2025-08-24,280.2,284.0,280.2,282.2,-0.29,25278.0,7128380.5,-1,1
2025-08-21,281.5,289.0,280.3,283.01,-0.56,33162.0,9383106.0,-1,1
2025-08-20,292.0,293.0,283.0,284.6,-1.64,27249.0,7782168.9,-1,1
2025-08-19,295.0,299.0,288.0,289.35,-1.02,48412.0,14225511.3,-1,1
2025-08-18,278.0,297.0,275.0,292.32,4.78,115656.0,33425252.5,1,1
2025-08-17,285.0,285.0,275.1,278.99,-1.96,73858.0,20554112.4,-1,1
2025-08-14,291.0,294.5,283.5,284.57,-1.91,52107.0,14947524.2,-1,1
2025-08-13,294.2,299.0,289.0,290.12,0.55,52889.0,15541875.0,1,1
2025-08-12,293.4,299.9,288.0,288.52,-2.74,86859.0,25288582.4,-1,1
2025-08-11,304.0,307.0,295.4,296.65,-2.48,110315.0,33130067.0,-1,1
2025-08-07,302.0,305.9,302.0,304.2,0.17,65561.0,19936010.3,1,1
2025-08-06,305.0,308.0,303.0,303.69,-0.53,47562.0,14495482.6,-1,1
2025-08-05,310.0,310.0,305.0,305.32,-0.51,43387.0,13276657.2,-1,1
2025-08-04,310.0,312.0,305.0,306.87,0.21,47723.0,14698717.8,1,1
2025-08-03,311.0,311.1,305.0,306.22,-1.61,104445.0,32193846.2,-1,1
2025-07-31,313.0,315.0,310.0,311.22,-0.61,60686.0,18938379.1,-1,1
2025-07-30,318.0,319.0,313.0,313.12,-1.38,127956.0,40284259.0,-1,1
2025-07-29,323.0,325.9,314.6,317.51,-0.71,146740.0,46730352.5,-1,1
2025-07-28,319.0,322.0,314.0,317.18,-0.46,115607.0,36669015.5,-1,1
2025-07-27,322.0,328.4,318.0,318.65,-0.04,219808.0,70830627.4,-1,1
2025-07-24,317.0,322.0,317.0,318.78,0.13,151706.0,48437953.2,1,1
2025-07-23,322.0,324.0,316.0,318.37,-0.72,170953.0,54523133.1,-1,1
2025-07-22,317.0,323.0,316.0,320.68,1.26,146760.0,46877945.3,1,1
2025-07-21,320.0,325.0,314.1,316.7,-1.17,134259.0,42717614.2,-1,1
2025-07-20,331.0,335.0,320.1,320.46,-4.61,265740.0,86662521.1,-1,1
2025-07-17,332.0,340.0,324.0,335.94,-0.36,306383.0,101628349.8,-1,1
2025-07-16,311.4,343.3,311.4,337.15,6.11,255608.0,83335570.2,1,1
2025-07-15,306.0,324.0,305.0,317.74,3.9,163133.0,51116749.4,1,1
2025-07-14,310.0,310.0,305.0,305.82,-0.8,88328.0,27079643.5,-1,1
2025-07-13,310.4,318.0,306.1,308.28,0.28,142156.0,43939145.1,1,1
