published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-13,683.60,704.00,680.00,700.22,4.47,358057.00,248585581.50,1,1
2025-07-10,666.0,678.0,660.8,670.29,1.46,108835.0,72895371.8,1,1
2025-07-09,665.0,665.0,656.0,660.66,0.47,64837.0,42820684.3,1,1
2025-07-08,667.9,667.9,652.0,657.54,0.37,78838.0,51808586.8,1,1
2025-07-07,664.8,666.0,653.0,655.14,-0.68,118386.0,78175719.8,-1,1
2025-07-06,655.0,662.8,648.0,659.61,0.42,73221.0,48122376.9,1,1
2025-07-03,645.1,662.9,640.3,656.82,1.08,100633.0,65824785.4,1,1
2025-07-02,645.1,651.0,644.1,649.79,0.99,43324.0,28026889.2,1,1
2025-07-01,642.5,647.9,640.1,643.42,0.14,29297.0,18815603.3,1,1
2025-06-30,650.0,650.0,635.0,642.5,-0.21,22403.0,14385231.5,-1,1
2025-06-29,640.0,645.0,636.1,643.87,1.37,22263.0,14253815.9,1,1
2025-06-26,635.0,637.0,634.0,635.17,-0.02,28083.0,17834016.9,-1,1
2025-06-25,636.0,638.0,631.0,635.28,-0.01,38444.0,24336493.3,-1,1
2025-06-24,642.0,642.0,632.1,635.34,0.15,28965.0,18443525.0,1,1
2025-06-23,625.0,636.0,625.0,634.42,1.05,22703.0,14371690.3,1,1
2025-06-22,635.0,638.0,627.3,627.82,-1.36,55635.0,35131814.4,-1,1
2025-06-19,635.0,640.0,634.0,636.45,-0.2,30898.0,19690564.2,-1,1
2025-06-18,640.0,641.0,635.4,637.73,-0.29,35645.0,22771114.2,-1,1
2025-06-17,643.5,645.0,638.0,639.58,0.52,87898.0,56285809.6,1,1
2025-06-16,632.1,640.5,632.1,636.26,0.11,63380.0,40362170.7,1,1
2025-06-15,627.0,647.0,627.0,635.54,-0.52,72617.0,46362238.4,-1,1
2025-06-12,656.0,656.0,638.0,638.86,-1.02,44323.0,28387339.5,-1,1
2025-06-11,650.0,659.1,640.5,645.42,-0.81,44857.0,28971183.5,-1,1
2025-06-10,655.0,655.0,640.3,650.66,0.74,97899.0,63499416.4,1,1
2025-06-09,654.0,654.0,636.7,645.89,0.4,53276.0,34363239.2,1,1
2025-06-08,658.0,658.0,640.0,643.3,-1.5,72849.0,47057796.7,-1,1
