published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1045.00,1045.00,1045.00,1045.00,-0.24,26.00,27170.00,-1,1
2024-12-08,1047.50,1047.50,1047.50,1047.50,0.00,100.00,104750.00,0,2
2024-12-05,1030.00,1047.50,1027.00,1047.50,2.10,225.00,231887.50,1,3
2024-12-03,1026.00,1026.00,1026.00,1026.00,0.59,25.00,25650.00,1,4
2024-12-02,1020.00,1020.00,1020.00,1020.00,2.00,50.00,51000.00,1,5
2024-12-01,1025.00,1026.00,1000.00,1000.00,-2.16,525.00,534532.50,-1,6
2024-11-28,1022.10,1022.10,1022.10,1022.10,-1.72,25.00,25552.50,-1,7
2024-11-27,1056.00,1056.00,1040.00,1040.00,-1.52,75.00,78800.00,-1,8
2024-11-26,1050.00,1056.00,1050.00,1056.00,1.83,100.00,105400.00,1,9
2024-11-24,1037.00,1037.00,1037.00,1037.00,-0.19,25.00,25925.00,-1,10
2024-11-21,1038.00,1039.00,1038.00,1039.00,0.10,50.00,51925.00,1,11
2024-11-20,1037.00,1038.00,1037.00,1038.00,0.29,125.00,129725.00,1,12
2024-11-19,1035.00,1035.00,1035.00,1035.00,0.68,50.00,51750.00,1,13
2024-11-17,1042.00,1042.00,1021.20,1028.00,-2.24,100.00,102955.00,-1,14
2024-11-14,1031.00,1051.60,1031.00,1051.60,0.00,375.00,393835.00,0,15
2024-11-12,1051.00,1051.60,1051.00,1051.60,2.00,50.00,52565.00,1,16
2024-11-10,1027.50,1031.00,1027.50,1031.00,0.34,50.00,51462.50,1,17
2024-11-06,1027.50,1027.50,1027.50,1027.50,0.05,25.00,25687.50,1,18
2024-11-05,1027.00,1027.00,1027.00,1027.00,-0.77,25.00,25675.00,-1,19
2024-10-29,1035.00,1035.00,1035.00,1035.00,-0.48,25.00,25875.00,-1,20
2024-10-23,1040.00,1040.00,1040.00,1040.00,-0.19,855.00,889200.00,-1,21
2024-10-21,1042.00,1042.00,1042.00,1042.00,0.19,25.00,26050.00,1,22
2024-10-17,1035.00,1040.00,1035.00,1040.00,-0.19,75.00,77750.00,-1,23
2024-10-16,1042.00,1042.00,1042.00,1042.00,1.96,65.00,67730.00,1,24
2024-10-15,1022.00,1022.00,1022.00,1022.00,-0.25,25.00,25550.00,-1,25
2024-10-02,1022.00,1045.50,1022.00,1024.60,-2.59,155.00,160265.00,-1,26
2024-09-30,1039.00,1042.00,1039.00,1042.00,2.16,260.00,270829.00,1,27
2024-09-29,1020.00,1020.00,1020.00,1020.00,-0.58,35.00,35700.00,-1,28
2024-09-26,1026.00,1026.00,1026.00,1026.00,0.49,50.00,51300.00,1,29
2024-09-24,1021.00,1021.00,1021.00,1021.00,-0.49,25.00,25525.00,-1,30
2024-09-23,1037.00,1042.00,1022.00,1026.00,0.88,425.00,441590.00,1,31
2024-09-22,1017.00,1037.30,1017.00,1017.00,0.00,169.00,173741.20,0,32
2024-09-18,1011.00,1028.00,1011.00,1017.00,-1.07,150.00,153500.00,-1,33
2024-09-16,1016.00,1028.00,1016.00,1028.00,0.59,100.00,102500.00,1,34
2024-09-15,1031.00,1042.00,1022.00,1022.00,1.09,530.00,551215.00,1,35
2024-09-12,1011.00,1011.00,1011.00,1011.00,1.10,25.00,25275.00,1,36
2024-09-11,1010.10,1010.20,1000.00,1000.00,-0.79,10050.00,10059362.40,-1,37
2024-09-10,1008.00,1008.10,1008.00,1008.00,-0.69,100.00,100805.00,-1,38
2024-09-09,1027.00,1038.00,1015.00,1015.00,0.79,805.00,833350.00,1,39
2024-09-08,1007.00,1007.00,1007.00,1007.00,0.00,25.00,25175.00,0,40
2024-09-05,1006.00,1025.00,1006.00,1007.00,0.20,265.00,270125.00,1,41
2024-09-04,1014.00,1016.00,1005.00,1005.00,-0.89,375.00,380025.00,-1,42
2024-09-03,1008.00,1014.00,1008.00,1014.00,-0.49,75.00,75900.00,-1,43
2024-09-02,1002.00,1019.50,1002.00,1019.00,1.79,175.00,177550.00,1,44
2024-09-01,1001.10,1001.10,1001.10,1001.10,0.00,30.00,30033.00,0,45
2024-08-29,999.00,1001.10,999.00,1001.10,0.11,270.00,269782.50,1,46
2024-08-28,999.00,1000.00,999.00,1000.00,-0.99,125.00,124975.00,-1,47
2024-08-27,1006.00,1010.00,1005.00,1010.00,0.80,125.00,125900.00,1,48
2024-08-25,1001.00,1002.00,1001.00,1002.00,-0.79,200.00,200225.00,-1,49
2024-08-22,999.00,1010.00,999.00,1010.00,1.10,164.00,164090.00,1,50
2024-08-18,999.00,999.00,999.00,999.00,0.00,150.00,149850.00,0,51
