published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-12-27,191.00,191.00,188.00,190.00,0.00,1048.00,199144.00,0,1
2015-12-24,188.00,191.00,191.00,191.00,0.00,10.00,1910.00,0,2
2015-12-23,185.00,188.00,188.00,188.00,0.00,164.00,30832.00,0,3
2015-12-22,183.00,186.00,185.00,185.00,0.00,1575.00,292450.00,0,4
2015-12-06,180.00,183.00,183.00,183.00,0.00,500.00,91500.00,0,5
2015-11-24,181.00,180.00,180.00,180.00,0.00,200.00,36000.00,0,6
2015-11-19,184.00,181.00,181.00,181.00,0.00,100.00,18100.00,0,7
2015-11-18,181.00,184.00,184.00,184.00,0.00,80.00,14720.00,0,8
2015-11-15,180.00,181.00,181.00,181.00,0.00,200.00,36200.00,0,9
2015-11-10,183.00,180.00,180.00,180.00,0.00,100.00,18000.00,0,10
2015-11-09,183.00,186.00,183.00,183.00,0.00,120.00,22020.00,0,11
2015-11-08,180.00,183.00,183.00,183.00,0.00,50.00,9150.00,0,12
2015-11-05,168.00,180.00,171.00,180.00,0.00,270.00,47340.00,0,13
2015-11-03,174.00,171.00,168.00,168.00,0.00,410.00,70080.00,0,14
2015-11-02,181.00,179.00,167.00,174.00,0.00,4129.00,712979.00,0,15
2015-11-01,187.00,184.00,181.00,181.00,0.00,20.00,3650.00,0,16
2015-10-29,193.00,191.00,187.00,187.00,0.00,600.00,113600.00,0,17
2015-10-28,199.00,196.00,193.00,193.00,0.00,110.00,21530.00,0,18
2015-10-19,196.00,199.00,199.00,199.00,0.00,250.00,49750.00,0,19
2015-10-18,200.00,196.00,196.00,196.00,0.00,100.00,19600.00,0,20
2015-10-15,197.00,200.00,200.00,200.00,0.00,79.00,15800.00,0,21
2015-10-11,196.00,197.00,194.00,197.00,0.00,700.00,136400.00,0,22
2015-10-07,200.00,200.00,196.00,196.00,0.00,600.00,118000.00,0,23
2015-10-05,201.00,204.00,200.00,200.00,0.00,200.00,40400.00,0,24
2015-10-04,183.00,201.00,186.00,201.00,0.00,2336.00,460910.00,0,25
2015-10-01,185.00,183.00,183.00,183.00,0.00,100.00,18300.00,0,26
2015-09-30,203.00,211.00,207.00,211.00,0.00,260.00,54220.00,0,27
2015-09-28,210.00,207.00,203.00,203.00,0.00,148.00,30220.00,0,28
2015-09-24,208.00,210.00,208.00,210.00,0.00,600.00,125800.00,0,29
2015-09-23,208.00,210.00,208.00,208.00,0.00,900.00,188000.00,0,30
2015-09-17,209.00,208.00,205.00,208.00,0.00,3000.00,620500.00,0,31
2015-09-16,202.00,209.00,205.00,209.00,0.00,4924.00,1018492.00,0,32
2015-09-02,206.00,214.00,202.00,202.00,0.00,1850.00,379500.00,0,33
2015-09-01,208.00,206.00,206.00,206.00,0.00,86.00,17716.00,0,34
2015-08-31,207.00,215.00,208.00,208.00,0.00,1753.00,369887.00,0,35
2015-08-26,211.00,207.00,207.00,207.00,0.00,200.00,41400.00,0,36
2015-08-25,215.00,211.00,211.00,211.00,0.00,100.00,21100.00,0,37
2015-08-19,211.00,215.00,215.00,215.00,0.00,100.00,21500.00,0,38
2015-08-12,215.00,211.00,211.00,211.00,0.00,200.00,42200.00,0,39
2015-08-09,213.00,217.00,215.00,215.00,0.00,81.00,17515.00,0,40
2015-07-30,212.00,213.00,208.00,213.00,0.00,230.00,48390.00,0,41
2015-07-29,216.00,212.00,212.00,212.00,0.00,100.00,21200.00,0,42
2015-07-26,204.00,216.00,208.00,216.00,0.00,160.00,34080.00,0,43
2015-07-23,201.00,204.00,204.00,204.00,0.00,100.00,20400.00,0,44
2015-07-22,198.00,201.00,201.00,201.00,0.00,100.00,20100.00,0,45
