published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-09-01,480.00,489.00,489.00,489.00,0.00,11.00,5379.00,0,1
2015-08-20,470.00,480.00,475.00,480.00,0.00,180.00,86039.00,0,2
2015-08-11,470.00,470.00,470.00,470.00,0.00,11.00,5170.00,0,3
2015-08-10,470.00,470.00,470.00,470.00,0.00,89.00,41830.00,0,4
2015-08-09,488.00,479.00,470.00,470.00,0.00,287.00,136573.00,0,5
2015-08-05,479.00,488.00,488.00,488.00,0.00,54.00,26352.00,0,6
2015-08-04,470.00,479.00,479.00,479.00,0.00,20.00,9580.00,0,7
2015-08-03,470.00,470.00,470.00,470.00,0.00,26.00,12220.00,0,8
2015-07-30,459.00,470.00,460.00,470.00,0.00,394.00,184750.00,0,9
2015-07-29,446.00,459.00,450.00,459.00,0.00,650.00,293400.00,0,10
2015-07-23,438.00,446.00,446.00,446.00,0.00,450.00,200700.00,0,11
2015-07-22,422.00,438.00,430.00,438.00,0.00,200.00,86800.00,0,12
2015-07-16,385.00,422.00,392.00,422.00,0.00,153.00,60977.00,0,13
2015-07-15,371.00,385.00,378.00,385.00,0.00,200.00,76300.00,0,14
2015-07-14,357.00,371.00,364.00,371.00,0.00,200.00,73500.00,0,15
2015-07-12,338.00,357.00,344.00,357.00,0.00,400.00,140100.00,0,16
2015-07-09,320.00,338.00,326.00,338.00,0.00,140.00,46540.00,0,17
2015-07-06,308.00,320.00,314.00,320.00,0.00,40.00,12680.00,0,18
2015-07-05,292.00,308.00,297.00,308.00,0.00,60.00,18140.00,0,19
2015-07-01,282.00,292.00,287.00,292.00,0.00,44.00,12748.00,0,20
2015-06-29,277.00,282.00,282.00,282.00,0.00,20.00,5640.00,0,21
2015-06-28,267.00,277.00,272.00,277.00,0.00,40.00,10980.00,0,22
2015-06-25,257.00,267.00,262.00,267.00,0.00,40.00,10580.00,0,23
2015-06-24,252.00,257.00,257.00,257.00,0.00,20.00,5140.00,0,24
2015-06-23,244.00,252.00,248.00,252.00,0.00,40.00,10000.00,0,25
2015-06-22,236.00,244.00,240.00,244.00,0.00,40.00,9680.00,0,26
2015-06-21,224.00,236.00,228.00,236.00,0.00,64.00,14848.00,0,27
2015-05-25,220.00,224.00,224.00,224.00,0.00,203.00,45472.00,0,28
2015-04-09,202.00,220.00,212.00,220.00,0.00,37.00,8020.00,0,29
2015-04-08,190.00,202.00,193.00,202.00,0.00,40.00,7900.00,0,30
2015-04-07,176.00,190.00,184.00,190.00,0.00,30.00,5610.00,0,31
2015-03-11,168.00,176.00,176.00,176.00,0.00,10.00,1760.00,0,32
2015-03-10,160.00,168.00,168.00,168.00,0.00,10.00,1680.00,0,33
2015-03-04,150.00,160.00,157.00,160.00,0.00,27.00,4290.00,0,34
2015-03-02,143.00,150.00,150.00,150.00,0.00,10.00,1500.00,0,35
2015-03-01,137.00,143.00,143.00,143.00,0.00,10.00,1430.00,0,36
2015-02-18,131.00,137.00,137.00,137.00,0.00,10.00,1370.00,0,37
2015-02-16,123.00,131.00,129.00,131.00,0.00,510.00,66790.00,0,38
2015-02-15,118.00,123.00,123.00,123.00,0.00,10.00,1230.00,0,39
2015-02-12,113.00,118.00,118.00,118.00,0.00,10.00,1180.00,0,40
2015-02-09,108.00,113.00,113.00,113.00,0.00,10.00,1130.00,0,41
2015-02-08,103.00,108.00,108.00,108.00,0.00,10.00,1080.00,0,42
2015-02-04,99.00,103.00,103.00,103.00,0.00,10.00,1030.00,0,43
2015-02-03,95.00,99.00,99.00,99.00,0.00,10.00,990.00,0,44
2015-01-06,94.00,95.00,95.00,95.00,0.00,35.00,3325.00,0,45
2014-11-06,100.00,102.00,102.00,102.00,0.00,50.00,5100.00,0,46
