published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1032.00,1057.70,1032.00,1057.70,2.00,500.00,526990.00,1,1
2024-12-08,1036.00,1037.00,1036.00,1037.00,0.46,40.00,41465.00,1,2
2024-12-05,1032.10,1032.30,1032.10,1032.30,0.13,40.00,41287.00,1,3
2024-12-04,1026.00,1031.00,1026.00,1031.00,-0.33,50.00,51425.00,-1,4
2024-12-03,1035.00,1036.00,1032.20,1034.40,-0.54,150.00,155215.00,-1,5
2024-12-02,1039.00,1040.00,1039.00,1040.00,0.00,150.00,155900.00,0,6
2024-12-01,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0,7
2024-11-28,1040.00,1040.00,1040.00,1040.00,0.43,76.00,79040.00,1,8
2024-11-27,1030.00,1035.50,1030.00,1035.50,0.05,75.00,77487.50,1,9
2024-11-26,1035.00,1035.00,1035.00,1035.00,0.09,25.00,25875.00,1,10
2024-11-21,1034.00,1034.10,1034.00,1034.10,-0.28,75.00,77552.50,-1,11
2024-11-20,1036.10,1036.10,1036.10,1037.00,0.09,5.00,5185.00,1,12
2024-11-17,1044.00,1044.00,1036.10,1036.10,0.01,325.00,339102.50,1,13
2024-11-14,1036.00,1036.00,1036.00,1036.00,0.10,25.00,25900.00,1,14
2024-11-13,1040.00,1040.00,1035.00,1035.00,-0.19,29.00,30090.00,-1,15
2024-11-12,1037.00,1037.00,1037.00,1037.00,0.00,25.00,25925.00,0,16
2024-11-11,1055.00,1055.00,1034.00,1037.00,-0.77,95.00,98820.00,-1,17
2024-11-10,1030.00,1045.00,1030.00,1045.00,1.46,215.00,222277.50,1,18
2024-11-06,1040.00,1050.70,1030.00,1030.00,-0.01,327.00,339051.90,-1,19
2024-11-05,1030.10,1030.10,1030.10,1030.10,-0.47,25.00,25752.50,-1,20
2024-10-29,1031.00,1035.00,1031.00,1035.00,0.19,75.00,77525.00,1,21
2024-10-28,1031.00,1033.00,1031.00,1033.00,0.19,75.00,77375.00,1,22
2024-10-27,1044.00,1044.00,1020.00,1031.00,0.10,355.00,369346.50,1,23
2024-10-24,1030.00,1030.00,1030.00,1030.00,-1.44,25.00,25750.00,-1,24
2024-10-23,1030.00,1045.00,1030.00,1045.00,1.75,315.00,328800.00,1,25
2024-10-22,1031.00,1031.00,1027.00,1027.00,-0.39,125.00,128775.00,-1,26
2024-10-21,1044.00,1044.00,1030.00,1031.00,-0.11,260.00,270305.00,-1,27
2024-10-20,1030.00,1032.10,1030.00,1032.10,-0.28,100.00,103152.50,-1,28
2024-10-17,1035.00,1035.00,1035.00,1035.00,-0.86,100.00,103500.00,-1,29
2024-10-16,1044.00,1044.00,1044.00,1044.00,1.26,570.00,595080.00,1,30
2024-10-15,1031.00,1031.00,1031.00,1031.00,0.00,75.00,77325.00,0,31
2024-10-08,1031.00,1031.00,1031.00,1031.00,0.10,25.00,25775.00,1,32
2024-10-07,1020.00,1030.00,1020.00,1030.00,0.29,100.00,102600.00,1,33
2024-10-06,1031.00,1031.00,1023.00,1027.00,-0.29,255.00,262145.00,-1,34
2024-10-02,1030.00,1030.00,1030.00,1030.00,-0.16,50.00,51500.00,-1,35
2024-10-01,1027.00,1031.70,1027.00,1031.70,0.56,50.00,51467.50,1,36
2024-09-30,1041.40,1044.00,1026.00,1026.00,0.49,495.00,514515.00,1,37
2024-09-29,1020.00,1021.00,1020.00,1021.00,0.48,35.00,35710.00,1,38
2024-09-26,1020.00,1020.00,1015.00,1016.10,-0.58,75.00,76277.50,-1,39
2024-09-25,1022.00,1022.00,1022.00,1022.00,0.20,75.00,76650.00,1,40
2024-09-24,1020.00,1020.00,1020.00,1020.00,-0.49,50.00,51000.00,-1,41
2024-09-23,1026.00,1044.00,1021.00,1025.00,-0.10,535.00,553535.00,-1,42
2024-09-22,1026.00,1026.00,1026.00,1026.00,0.00,25.00,25650.00,0,43
