published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1035.00,1050.00,1035.00,1050.00,0.48,165.00,172850.00,1,1
2024-12-08,1033.00,1045.00,1033.00,1045.00,0.00,100.00,103900.00,0,2
2024-11-27,1045.00,1045.00,1045.00,1045.00,-0.48,50.00,52250.00,-1,3
2024-11-26,1049.00,1050.00,1049.00,1050.00,0.77,75.00,78700.00,1,4
2024-11-24,1042.00,1042.00,1042.00,1042.00,1.96,100.00,104200.00,1,5
2024-11-21,1022.00,1022.00,1022.00,1022.00,-1.06,50.00,51100.00,-1,6
2024-11-20,1033.00,1033.00,1033.00,1033.00,0.18,25.00,25825.00,1,7
2024-11-19,1035.00,1035.00,1031.10,1031.10,0.30,125.00,129252.50,1,8
2024-11-17,1042.00,1042.00,1028.00,1028.00,-0.19,382.00,397694.00,-1,9
2024-11-14,1046.50,1060.00,1030.00,1030.00,0.39,15625.00,16472162.50,1,10
2024-11-13,1026.00,1026.00,1026.00,1026.00,1.18,50.00,51300.00,1,11
2024-11-10,1014.00,1014.00,1014.00,1014.00,-1.65,82.00,83148.00,-1,12
2024-10-30,1031.00,1031.00,1031.00,1031.00,0.00,25.00,25775.00,0,13
2024-10-29,1031.00,1031.00,1031.00,1031.00,0.59,25.00,25775.00,1,14
2024-10-27,1042.00,1042.00,1025.00,1025.00,-0.49,280.00,290910.00,-1,15
2024-10-24,1025.00,1043.00,1025.00,1030.00,0.00,320.00,331678.50,0,16
2024-10-23,1023.00,1030.00,1023.00,1030.00,0.39,80.00,82050.00,1,17
2024-10-22,1026.10,1026.10,1026.00,1026.00,0.29,250.00,256510.50,1,18
2024-10-21,1042.00,1042.00,1023.00,1023.00,-0.20,105.00,108935.00,-1,19
2024-10-20,1025.00,1025.00,1025.00,1025.00,0.29,100.00,102500.00,1,20
2024-10-17,1022.00,1022.00,1022.00,1022.00,-1.92,50.00,51100.00,-1,21
2024-10-16,1022.00,1042.00,1022.00,1042.00,1.66,75.00,77650.00,1,22
2024-10-15,1025.00,1025.00,1025.00,1025.00,0.29,5.00,5125.00,1,23
2024-10-07,1022.00,1022.00,1022.00,1022.00,-1.92,25.00,25550.00,-1,24
2024-09-30,1032.00,1042.00,1032.00,1042.00,2.96,110.00,114520.00,1,25
2024-09-29,1012.00,1012.00,1012.00,1012.00,-0.30,25.00,25300.00,-1,26
2024-09-26,1015.00,1015.00,1015.00,1015.00,1.00,25.00,25375.00,1,27
2024-09-24,1022.00,1022.00,1005.00,1005.00,-3.55,100.00,101475.00,-1,28
2024-09-23,1025.00,1042.00,1025.00,1042.00,3.68,125.00,130080.00,1,29
2024-09-22,1003.10,1010.00,1003.00,1005.00,-0.99,150.00,150852.50,-1,30
2024-09-18,1022.00,1022.00,1015.00,1015.00,-2.59,125.00,127050.00,-1,31
2024-09-15,1042.00,1042.00,1042.00,1042.00,0.00,50.00,52100.00,0,32
2024-09-12,1042.00,1042.00,1042.00,1042.00,2.66,2427.00,2528913.90,1,33
2024-09-11,1015.00,1015.00,1015.00,1015.00,0.00,25.00,25375.00,0,34
2024-09-10,1015.00,1015.00,1015.00,1015.00,0.00,25.00,25375.00,0,35
2024-09-09,1008.00,1021.00,1001.00,1015.00,0.89,2100.00,2114000.00,1,36
2024-09-08,1005.00,1006.00,1000.00,1006.00,0.10,115.00,115500.00,1,37
2024-09-05,1020.00,1020.00,1005.00,1005.00,-2.71,50.00,50625.00,-1,38
2024-09-02,1002.00,1033.00,1002.00,1033.00,3.09,395.00,406985.00,1,39
2024-09-01,1000.00,1002.00,1000.00,1002.00,0.30,85.00,85070.00,1,40
2024-08-29,999.00,999.00,999.00,999.00,0.00,100.00,99900.00,0,41
