published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-28,253.00,254.50,250.20,251.62,-1.44,147140.00,37063219.30,-1,1
2025-08-27,255.6,256.0,250.0,255.29,1.86,281403.0,71155089.1,1,1
2025-08-26,251.0,253.0,249.0,250.64,-0.35,96856.0,24236642.9,-1,1
2025-08-25,253.0,253.0,248.1,251.52,0.53,112131.0,28026637.9,1,1
2025-08-24,252.0,252.0,249.5,250.2,-0.72,105294.0,26386814.7,-1,1
2025-08-21,252.0,253.0,248.0,252.01,0.54,135321.0,34016936.1,1,1
2025-08-20,250.6,253.2,250.0,250.66,-0.55,97873.0,24659904.4,-1,1
2025-08-19,251.1,252.9,249.0,252.04,0.55,110650.0,27822748.8,1,1
2025-08-18,249.0,251.8,248.0,250.66,0.5,159474.0,39813905.8,1,1
2025-08-17,255.9,255.9,249.2,249.41,-0.61,154359.0,38662900.6,-1,1
2025-08-14,252.0,253.0,249.4,250.95,-0.23,256552.0,64300317.1,-1,1
2025-08-13,258.1,259.0,251.0,251.53,-1.08,536750.0,136471137.2,-1,1
2025-08-12,260.7,260.7,252.0,254.28,-0.55,155475.0,39596776.7,-1,1
2025-08-11,250.4,261.0,250.4,255.68,0.1,260511.0,67119287.5,1,1
2025-08-07,253.0,257.8,253.0,255.42,0.46,182111.0,46581572.3,1,1
2025-08-06,260.5,260.5,252.0,254.26,-0.46,209056.0,53332837.1,-1,1
2025-08-05,257.3,262.0,255.0,255.44,-1.52,349200.0,90172836.0,-1,1
2025-08-04,254.0,260.0,253.0,259.37,1.93,349922.0,89488689.5,1,1
2025-08-03,259.0,261.0,253.0,254.47,-2.73,366831.0,94064046.4,-1,1
2025-07-31,270.0,270.0,260.1,261.61,-1.97,366846.0,96289966.6,-1,1
2025-07-30,276.0,276.0,266.0,266.87,-1.47,549076.0,147353056.7,-1,1
2025-07-29,270.0,272.8,267.0,270.86,0.92,784478.0,211923614.8,1,1
2025-07-28,263.14,269.2,258.1,263.49,0.13,670655.0,176715936.2,1,1
