published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-02-02,165.00,162.00,157.00,160.00,0.00,1296.00,206730.00,0,1
2012-02-01,162.00,165.00,162.00,165.00,0.00,75.00,12285.00,0,2
2012-01-31,163.00,163.00,160.00,162.00,0.00,495.00,80240.00,0,3
2012-01-29,161.00,163.00,160.00,163.00,0.00,525.00,84255.00,0,4
2012-01-25,163.00,161.00,161.00,161.00,0.00,60.00,9660.00,0,5
2012-01-23,164.00,163.00,162.00,163.00,0.00,135.00,21915.00,0,6
2012-01-22,167.00,164.00,164.00,164.00,0.00,200.00,32800.00,0,7
2012-01-18,165.00,167.00,165.00,167.00,0.00,300.00,49710.00,0,8
2012-01-17,163.00,166.00,160.00,165.00,0.00,351.00,57130.00,0,9
2012-01-16,166.00,165.00,163.00,163.00,0.00,1045.00,170535.00,0,10
2012-01-12,171.00,169.00,166.00,166.00,0.00,1240.00,207920.00,0,11
2012-01-11,166.00,172.00,168.00,171.00,0.00,780.00,131775.00,0,12
2012-01-10,177.00,172.00,166.00,166.00,0.00,325.00,54575.00,0,13
2012-01-09,168.00,170.00,168.00,169.00,0.00,1140.00,191830.00,0,14
2012-01-08,177.00,174.00,166.00,168.00,0.00,875.00,148910.00,0,15
2012-01-04,180.00,177.00,177.00,177.00,0.00,20.00,3540.00,0,16
2012-01-03,175.00,181.00,177.00,180.00,0.00,200.00,35660.00,0,17
2012-01-02,169.00,175.00,168.00,175.00,0.00,1920.00,328030.00,0,18
2012-01-01,163.00,169.00,158.00,169.00,0.00,545.00,89320.00,0,19
2011-12-29,158.00,163.00,159.00,163.00,0.00,860.00,138270.00,0,20
2011-12-28,164.00,161.00,158.00,158.00,0.00,710.00,112820.00,0,21
2011-12-27,163.00,164.00,160.00,164.00,0.00,540.00,88110.00,0,22
2011-12-26,166.00,165.00,163.00,163.00,0.00,315.00,51875.00,0,23
2011-12-20,162.00,166.00,163.00,166.00,0.00,335.00,55205.00,0,24
2011-12-18,162.00,165.00,162.00,162.00,0.00,285.00,46485.00,0,25
2011-12-15,159.00,162.00,157.00,162.00,0.00,480.00,76260.00,0,26
2011-12-14,156.00,159.00,156.00,159.00,0.00,1170.00,185790.00,0,27
2011-12-13,162.00,160.00,154.00,156.00,0.00,1195.00,187800.00,0,28
2011-12-12,165.00,162.00,162.00,162.00,0.00,60.00,9720.00,0,29
2011-12-11,164.00,166.00,161.00,165.00,0.00,540.00,88320.00,0,30
2011-12-08,163.00,164.00,163.00,164.00,0.00,180.00,29475.00,0,31
2011-12-07,165.00,165.00,162.00,163.00,0.00,800.00,130440.00,0,32
2011-12-06,165.00,168.00,165.00,165.00,0.00,1430.00,238320.00,0,33
2011-12-05,166.00,166.00,163.00,165.00,0.00,1672.00,276908.00,0,34
2011-12-04,165.00,166.00,166.00,166.00,0.00,420.00,69720.00,0,35
2011-12-01,163.00,166.00,163.00,165.00,0.00,2120.00,347845.00,0,36
2011-11-28,161.00,162.00,158.00,161.00,0.00,860.00,137050.00,0,37
2011-11-24,163.00,162.00,161.00,161.00,0.00,145.00,23445.00,0,38
2011-11-23,165.00,165.00,162.00,163.00,0.00,235.00,38460.00,0,39
2011-11-22,167.00,165.00,164.00,165.00,0.00,170.00,27990.00,0,40
2011-11-21,162.00,170.00,161.00,167.00,0.00,455.00,74845.00,0,41
2011-11-20,162.00,165.00,162.00,162.00,0.00,625.00,101370.00,0,42
2011-11-17,163.00,167.00,161.00,162.00,0.00,3455.00,558620.00,0,43
2011-11-16,160.00,163.00,162.00,163.00,0.00,130.00,21100.00,0,44
2011-11-15,162.00,161.00,159.00,160.00,0.00,665.00,106395.00,0,45
2011-11-14,166.00,166.00,161.00,162.00,0.00,2255.00,365230.00,0,46
2011-11-13,170.00,169.00,162.00,166.00,0.00,1152.00,191418.00,0,47
2011-11-10,172.00,174.00,170.00,170.00,0.00,393.00,67644.00,0,48
2011-11-09,172.00,180.00,172.00,172.00,0.00,555.00,98100.00,0,49
2011-11-08,179.00,176.00,170.00,172.00,0.00,350.00,60405.00,0,50
2011-11-06,177.00,180.00,177.00,179.00,0.00,295.00,52605.00,0,51
2011-11-03,182.00,188.00,171.00,177.00,0.00,3015.00,548005.00,0,52
2011-11-02,166.00,182.00,169.00,182.00,0.00,290.00,52210.00,0,53
2011-10-31,161.00,166.00,163.00,166.00,0.00,80.00,13190.00,0,54
2011-10-30,155.00,161.00,158.00,161.00,0.00,960.00,153990.00,0,55
2011-10-25,152.00,155.00,155.00,155.00,0.00,150.00,23250.00,0,56
2011-10-24,151.00,152.00,151.00,152.00,0.00,80.00,12140.00,0,57
2011-10-23,154.00,155.00,150.00,151.00,0.00,1710.00,259340.00,0,58
2011-10-20,155.00,155.00,154.00,154.00,0.00,2375.00,367325.00,0,59
2011-10-19,155.00,161.00,155.00,155.00,0.00,1495.00,233195.00,0,60
2011-10-18,155.00,155.00,152.00,155.00,0.00,2760.00,424100.00,0,61
2011-10-17,158.00,158.00,155.00,155.00,0.00,700.00,108635.00,0,62
2011-10-16,159.00,159.00,158.00,158.00,0.00,225.00,35730.00,0,63
