published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-18,738.9,738.9,724.2,724.2,-3.94,30.0,22020.0,-1,1
2025-09-08,774.0,774.0,746.2,753.93,-0.77,4835.0,3643187.9,-1,1
2025-09-07,782.0,783.1,757.2,759.8,-1.08,5003.0,3821772.5,-1,1
2025-09-04,756.0,770.0,755.1,768.12,0.61,4572.0,3475668.5,1,1
2025-09-03,765.0,773.0,762.0,763.46,-0.54,2942.0,2251754.5,-1,1
2025-09-02,780.0,780.0,767.0,767.62,-0.54,7933.0,6100055.9,-1,1
2025-09-01,760.0,774.0,760.0,771.81,0.78,2250.0,1728181.4,1,1
2025-08-31,791.9,791.9,764.5,765.87,-1.37,8461.0,6519979.5,-1,1
2025-08-28,783.0,789.0,776.0,776.51,-1.83,8015.0,6255797.6,-1,1
2025-08-27,780.0,793.9,780.0,791.02,1.39,9117.0,7175991.4,1,1
2025-08-26,775.1,799.0,775.1,780.21,-1.23,8000.0,6268288.0,-1,1
2025-08-25,797.3,813.0,775.1,789.91,1.03,9153.0,7203881.6,1,1
2025-08-24,792.0,792.0,780.1,781.84,-0.62,4564.0,3570527.8,-1,1
2025-08-21,798.5,798.5,785.0,786.75,-1.16,4996.0,3942022.3,-1,1
2025-08-20,805.0,810.0,795.2,795.99,-0.59,3167.0,2527807.0,-1,1
2025-08-19,819.6,819.6,800.0,800.71,-0.72,5493.0,4425094.4,-1,1
2025-08-18,800.1,812.0,800.1,806.53,0.78,5255.0,4243373.3,1,1
2025-08-17,825.0,825.0,800.0,800.3,-1.96,12457.0,10071060.2,-1,1
2025-08-14,843.0,876.0,815.0,816.33,-1.34,9882.0,8117126.7,-1,1
2025-08-13,850.0,852.8,825.0,827.39,-1.05,5105.0,4234706.7,-1,1
2025-08-12,842.0,842.0,831.0,836.17,-0.66,5938.0,4969775.5,-1,1
2025-08-11,860.0,860.0,840.0,841.69,-1.99,8101.0,6871460.1,-1,1
2025-08-07,860.6,869.0,858.0,858.8,-0.83,9048.0,7797517.2,-1,1
2025-08-06,850.0,874.9,850.0,865.98,1.63,13379.0,11587967.6,1,1
2025-08-05,866.9,885.0,835.0,852.07,-1.09,13779.0,11851152.5,-1,1
2025-08-04,860.1,867.0,836.0,861.49,0.6,15064.0,12795294.8,1,1
2025-08-03,873.2,886.0,855.0,856.34,-3.07,20185.0,17439671.0,-1,1
2025-07-31,908.5,908.5,880.0,883.46,-0.81,16573.0,14764194.5,-1,1
2025-07-30,925.0,930.5,890.0,890.7,-3.79,27439.0,24913963.7,-1,1
2025-07-29,911.9,950.0,900.0,925.75,3.51,49157.0,45528840.2,1,1
2025-07-28,890.0,896.0,876.0,894.34,0.26,20093.0,17784424.4,1,1
2025-07-27,910.0,918.0,888.0,892.06,-0.77,45786.0,41513951.8,-1,1
2025-07-24,930.0,930.0,885.0,898.96,-1.42,20461.0,18479594.9,-1,1
2025-07-23,932.0,940.0,895.2,911.95,-2.22,25058.0,22902033.7,-1,1
2025-07-22,890.0,936.0,890.0,932.61,6.21,45750.0,42122650.5,1,1
2025-07-21,869.8,882.0,851.0,878.08,2.9,21973.0,19115818.6,1,1
2025-07-20,872.0,883.0,849.1,853.36,-1.5,25208.0,21939445.3,-1,1
2025-07-17,841.0,874.0,841.0,866.37,1.94,19673.0,17010930.1,1,1
2025-07-16,843.1,865.0,843.0,849.92,0.22,13761.0,11753166.3,1,1
2025-07-15,840.0,854.4,838.0,848.06,0.87,8506.0,7176899.8,1,1
2025-07-14,850.0,865.9,840.0,840.75,-2.41,7183.0,6069688.3,-1,1
2025-07-13,842.0,875.0,842.0,861.53,4.25,36987.0,31798533.9,1,1
2025-07-10,831.0,831.0,816.0,826.42,1.4,12165.0,10033747.5,1,1
2025-07-09,813.77,820.0,800.6,815.01,0.15,4971.0,4039989.5,1,1
2025-07-08,810.0,821.2,793.1,813.77,0.57,7785.0,6289557.1,1,1
2025-07-07,805.1,821.0,800.1,809.17,-0.73,6193.0,5015519.9,-1,1
2025-07-06,816.0,828.0,812.2,815.16,-0.61,7463.0,6107339.1,-1,1
2025-07-03,819.0,823.0,818.3,820.15,-1.33,4458.0,3654036.0,-1,1
2025-07-02,822.0,835.0,818.2,831.18,1.0,7187.0,5956216.6,1,1
2025-07-01,803.0,830.0,801.0,822.91,2.11,14934.0,12272028.3,1,1
2025-06-30,813.0,813.0,788.0,805.92,0.32,9146.0,7309800.5,1,1
2025-06-29,780.0,810.0,780.0,803.36,2.89,10717.0,8499250.0,1,1
2025-06-26,781.0,794.9,780.0,780.83,-0.38,4865.0,3809264.8,-1,1
2025-06-25,794.9,798.5,782.0,783.77,-0.76,2716.0,2144847.7,-1,1
2025-06-24,799.0,799.0,782.2,789.75,0.78,3287.0,2583565.6,1,1
2025-06-23,795.0,795.0,780.0,783.63,0.4,2274.0,1782502.6,1,1
2025-06-22,799.0,820.0,776.7,780.52,-0.47,14954.0,11863269.0,-1,1
2025-06-19,780.0,792.0,778.0,784.2,-1.17,4613.0,3609015.4,-1,1
2025-06-18,804.0,805.0,788.6,793.49,-1.5,10529.0,8378401.0,-1,1
2025-06-17,782.0,817.0,782.0,805.61,1.77,12392.0,10005679.0,1,1
2025-06-16,780.0,792.9,772.1,791.62,1.83,6618.0,5175426.7,1,1
2025-06-15,766.1,790.0,766.1,777.37,0.04,6764.0,5277471.6,1,1
2025-06-12,780.0,790.0,773.0,777.04,-0.71,7835.0,6133653.5,-1,1
2025-06-11,780.0,802.0,780.0,782.56,-1.03,6745.0,5339700.0,-1,1
2025-06-10,775.0,794.0,772.0,790.74,1.27,9565.0,7522465.3,1,1
2025-06-09,775.1,785.0,775.0,780.82,0.47,6841.0,5335247.4,1,1
2025-06-08,800.0,800.0,773.0,777.2,-1.39,8919.0,7000771.3,-1,1
2025-06-05,799.0,800.0,785.0,788.16,-0.5,4257.0,3366119.6,-1,1
