published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-06-18,564.00,564.00,564.00,564.00,0.00,274982.00,103943196.00,0,1
2022-06-28,564.00,564.00,564.00,564.00,0.00,400.00,176000.00,0,2
2022-04-05,564.00,564.00,564.00,564.00,0.00,12000.00,4210000.00,0,3
2022-02-16,564.00,564.00,564.00,564.00,0.00,1272.00,717408.00,0,4
2021-09-02,634.00,634.00,634.00,634.00,0.00,1100.00,331155.00,0,5
2021-08-10,634.00,634.00,634.00,634.00,0.00,159.00,100806.00,0,6
2021-07-22,634.00,634.00,634.00,634.00,0.00,1372.00,869848.00,0,7
2021-04-26,187.00,187.00,187.00,187.00,0.00,3700.00,1065400.00,0,8
2020-12-28,192.00,211.00,192.00,187.00,0.00,3194.00,637748.00,0,9
2019-12-08,187.00,187.00,187.00,187.00,0.00,25000.00,4675000.00,0,10
