published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-02,497.0,510.0,497.0,505.11,0.87,45074.0,22758883.1,1,1
2025-07-01,492.2,502.1,492.2,500.77,1.4,23999.0,11947735.1,1,1
2025-06-30,492.7,504.0,492.5,493.88,-0.36,40438.0,20123401.7,-1,1
2025-06-29,493.0,503.0,493.0,495.64,0.02,45245.0,22442750.1,1,1
2025-06-26,505.0,509.9,493.1,495.54,-1.81,38643.0,19276672.6,-1,1
2025-06-25,507.3,512.0,500.0,504.65,-0.5,46912.0,23706611.2,-1,1
2025-06-24,500.0,510.0,500.0,507.17,1.91,43026.0,21794451.3,1,1
2025-06-23,495.0,510.0,495.0,497.66,0.62,79345.0,39888458.2,1,1
2025-06-22,511.1,515.8,493.0,494.61,-3.89,53444.0,26906192.7,-1,1
2025-06-19,528.0,540.0,511.0,514.64,-2.68,97070.0,51070267.9,-1,1
2025-06-18,504.0,532.0,504.0,528.82,3.23,179575.0,94159379.0,1,1
2025-06-17,500.0,516.0,500.0,512.26,1.9,59592.0,30438519.1,1,1
2025-06-16,510.0,526.9,501.0,502.7,-1.5,62613.0,32071519.2,-1,1
2025-06-15,481.1,515.0,481.1,510.37,5.2,69760.0,35164361.2,1,1
2025-06-12,490.0,493.0,484.0,485.16,-0.68,40997.0,19915784.5,-1,1
2025-06-11,493.25,500.0,485.6,488.5,-0.96,21873.0,10800314.0,-1,1
2025-06-10,490.0,497.0,490.0,493.25,0.76,12851.0,6342731.4,1,1
2025-06-09,484.0,495.0,484.0,489.54,0.94,29156.0,14237878.2,1,1
2025-06-08,497.0,497.0,484.0,484.98,-0.49,22545.0,10955002.6,-1,1
2025-06-05,492.0,499.8,486.2,487.38,-1.07,35684.0,17462508.1,-1,1
2025-06-04,495.9,504.0,491.3,492.63,-1.21,28436.0,14058366.2,-1,1
2025-06-03,504.8,507.0,498.2,498.65,-1.0,15445.0,7725953.1,-1,2
2025-06-02,510.0,513.0,500.1,503.7,0.21,24502.0,12446568.0,1,1
2025-05-28,497.0,507.0,497.0,502.63,-0.05,19785.0,9912944.0,-1,1
2025-05-27,497.0,508.0,497.0,502.86,-0.21,32647.0,16450737.1,-1,2
2025-05-26,512.8,513.1,500.0,503.9,0.22,34564.0,17466948.9,1,1
2025-05-25,501.2,505.0,500.1,502.79,-0.51,17496.0,8801342.4,-1,2
2025-05-22,504.0,510.0,503.3,505.39,-0.44,27284.0,13813806.6,-1,3
2025-05-21,519.0,529.0,507.0,507.63,-0.28,42431.0,21806362.9,-1,4
2025-05-20,487.2,515.0,487.2,509.07,2.41,25879.0,13070396.0,1,5
2025-05-19,494.0,503.8,494.0,497.1,0.44,19632.0,9778202.0,1,6
2025-05-18,489.0,508.0,489.0,494.93,-0.77,27949.0,13936278.8,-1,7
2025-05-15,500.2,509.7,495.0,498.78,-0.68,40938.0,20445473.0,-1,8
2025-05-14,508.0,513.9,501.0,502.2,-1.9,29354.0,14883996.1,-1,9
2025-05-13,507.0,523.0,507.0,511.93,-1.01,31186.0,16076507.5,-1,10
2025-05-11,506.0,525.0,506.0,517.16,0.33,62511.0,32386779.6,1,11
2025-05-08,507.0,523.3,507.0,515.45,-0.27,39165.0,20248867.2,-1,12
2025-05-07,492.0,519.6,492.0,516.86,3.0,29365.0,14955247.7,1,13
2025-05-06,492.0,508.9,492.0,501.79,0.1,36272.0,18201760.4,1,14
2025-05-05,502.3,520.0,497.5,501.31,-2.18,43189.0,21692171.8,-1,15
2025-05-04,508.0,515.0,501.0,512.47,0.74,42036.0,21401927.6,1,16
2025-04-30,508.2,516.0,508.0,508.73,-0.35,38457.0,19622303.3,-1,17
2025-04-29,516.0,520.0,510.1,510.5,-0.83,22859.0,11745337.3,-1,18
2025-04-28,508.0,528.0,508.0,514.79,-0.65,27448.0,14188256.3,-1,19
2025-04-27,525.0,532.0,514.6,518.17,-0.84,51405.0,26755669.3,-1,20
2025-04-24,520.0,534.9,518.4,522.55,-0.64,39353.0,20581930.8,-1,21
2025-04-23,533.5,535.0,524.0,525.9,-1.43,27907.0,14737597.7,-1,22
2025-04-22,513.9,544.5,513.9,533.51,1.75,63600.0,34182001.6,1,23
2025-04-21,534.7,534.7,520.2,524.32,0.01,54652.0,28721692.6,1,24
2025-04-20,530.0,531.0,522.0,524.26,-1.29,40160.0,21130344.1,-1,25
2025-04-17,525.1,539.4,525.1,531.09,0.42,45993.0,24501046.7,1,26
2025-04-16,545.0,545.0,527.2,528.88,-1.09,37917.0,20106931.0,-1,27
2025-04-15,536.0,539.4,525.3,534.72,1.27,47843.0,25576204.9,1,28
2025-04-13,539.4,545.0,527.0,528.0,-2.11,64249.0,34189596.6,-1,29
2025-04-10,541.9,570.0,538.0,539.4,-2.42,130501.0,71027370.2,-1,30
2025-04-09,529.0,561.0,529.0,552.78,2.41,181238.0,99907033.5,1,31
2025-04-08,527.7,558.0,527.7,539.79,0.25,153570.0,82290487.7,1,32
2025-04-07,543.1,564.0,528.0,538.46,-2.81,101710.0,55389182.6,-1,33
2025-04-03,540.0,561.7,540.0,554.05,0.73,105726.0,58704914.1,1,34
2025-04-02,540.0,558.5,540.0,550.03,-0.01,77613.0,42825089.0,-1,35
2025-04-01,551.5,573.0,543.0,550.07,-2.25,137298.0,75800415.0,-1,36
2025-03-30,535.9,566.6,535.8,562.72,2.91,141568.0,78768212.0,1,37
2025-03-27,521.1,550.0,521.1,546.83,2.89,94400.0,51276694.3,1,38
