published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-04,1366.00,1389.00,1315.20,1367.00,2.02,7616.00,10262173.20,1,1
2025-08-03,1343.0,1400.4,1332.0,1339.9,-0.45,12783.0,17545936.6,-1,1
2025-07-31,1350.0,1367.9,1336.5,1345.94,-0.37,9664.0,13023529.9,-1,1
2025-07-30,1362.1,1380.0,1350.0,1350.96,-2.46,12545.0,17150365.1,-1,1
2025-07-29,1380.0,1417.0,1367.1,1385.0,2.04,9326.0,12977977.2,1,1
2025-07-28,1385.0,1387.0,1340.3,1357.34,-1.75,6426.0,8720026.4,-1,1
2025-07-27,1400.0,1424.9,1376.0,1381.48,0.02,16901.0,23695448.5,1,1
2025-07-24,1400.0,1400.0,1369.9,1381.27,0.09,7058.0,9750222.8,1,1
2025-07-23,1400.0,1418.8,1355.0,1380.03,-1.26,9511.0,13132471.6,-1,1
2025-07-22,1375.0,1439.2,1350.0,1397.64,2.94,22752.0,31876175.1,1,1
2025-07-21,1356.0,1365.0,1342.0,1357.75,0.12,11954.0,16123245.3,1,1
2025-07-20,1360.0,1377.8,1354.0,1356.12,-0.54,13424.0,18275527.8,-1,1
2025-07-17,1320.0,1376.9,1320.0,1363.42,3.23,3995.0,5426135.1,1,1
2025-07-16,1308.0,1349.0,1308.0,1320.74,-0.53,5287.0,7005919.1,-1,1
2025-07-15,1336.0,1336.0,1300.1,1327.81,0.88,6864.0,9041621.9,1,1
2025-07-14,1359.0,1360.0,1312.1,1316.21,-1.54,6338.0,8360918.9,-1,1
2025-07-13,1317.0,1380.0,1317.0,1336.81,3.52,19896.0,26750177.1,1,1
2025-07-10,1311.8,1311.8,1285.1,1291.4,0.27,5554.0,7194447.2,1,1
2025-07-09,1252.0,1302.0,1252.0,1287.97,1.49,2279.0,2931545.4,1,1
2025-07-08,1250.0,1276.1,1250.0,1269.05,0.27,997.0,1261727.0,1,1
2025-07-07,1284.0,1285.0,1264.0,1265.66,-1.4,2312.0,2936359.3,-1,1
2025-07-06,1313.0,1313.0,1278.0,1283.64,-1.27,2888.0,3715186.1,-1,1
2025-07-03,1282.1,1310.0,1282.1,1300.09,-0.6,1748.0,2270543.0,-1,1
2025-07-02,1333.3,1333.3,1295.7,1307.93,0.05,5024.0,6569509.5,1,1
2025-07-01,1289.3,1335.0,1266.0,1307.22,3.29,5653.0,7372811.8,1,1
2025-06-30,1284.0,1284.0,1261.0,1265.58,0.45,1078.0,1367703.0,1,1
2025-06-29,1225.0,1267.0,1225.0,1259.95,2.14,3775.0,4684715.7,1,1
2025-06-26,1222.0,1249.0,1222.0,1233.5,-0.12,871.0,1073312.7,-1,1
2025-06-25,1236.0,1250.0,1220.0,1235.0,-0.11,2940.0,3628969.3,-1,1
2025-06-24,1212.3,1254.7,1212.2,1236.38,0.51,1368.0,1684380.7,1,1
2025-06-23,1210.3,1231.0,1210.3,1230.13,0.23,605.0,741336.4,1,1
2025-06-22,1225.2,1249.0,1220.0,1227.28,-0.91,3813.0,4679581.7,-1,1
2025-06-19,1243.0,1249.0,1236.0,1238.61,-0.68,2189.0,2713698.9,-1,1
2025-06-18,1245.0,1308.0,1245.0,1247.08,0.04,3594.0,4508448.6,1,1
2025-06-17,1228.0,1326.0,1228.0,1246.58,1.67,2915.0,3666638.9,1,1
2025-06-16,1225.0,1235.0,1211.0,1226.1,0.38,4152.0,5092416.9,1,1
2025-06-15,1230.0,1260.0,1220.0,1221.5,-0.29,2780.0,3409736.5,-1,1
2025-06-12,1228.0,1230.0,1205.0,1225.08,-0.31,4990.0,6102500.7,-1,1
2025-06-11,1226.1,1255.0,1225.0,1228.85,-1.03,2826.0,3487222.2,-1,1
2025-06-10,1259.9,1263.0,1240.0,1241.6,0.2,4117.0,5169043.0,1,1
2025-06-09,1235.0,1250.9,1221.0,1239.17,0.37,2716.0,3353097.0,1,1
