published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-03-23,9.69,9.70,9.50,9.63,0.63,89504.00,861086.50,1,1
2023-03-22,9.66,9.66,9.51,9.57,0.84,133486.00,1276546.62,1,2
2023-03-20,9.44,9.49,9.20,9.49,1.82,47780.00,443353.00,1,3
2023-03-19,9.60,9.65,9.32,9.32,-1.69,47728.00,456680.46,-1,4
2023-03-16,9.53,9.54,9.48,9.48,-1.25,36250.00,344412.00,-1,5
2023-03-15,9.60,9.64,9.55,9.60,0.31,56215.00,538601.04,1,6
2023-03-14,9.54,9.57,9.54,9.57,-1.24,12200.00,116736.00,-1,7
2023-03-13,9.50,9.73,9.50,9.69,0.62,78075.00,750711.00,1,8
2023-03-12,9.70,9.70,9.60,9.63,-1.63,29575.00,284534.50,-1,9
2023-03-09,9.50,9.79,9.50,9.79,1.98,33300.00,324951.00,1,10
2023-03-07,9.50,9.60,9.50,9.60,1.80,40200.00,382013.00,1,11
2023-03-05,9.62,9.62,9.43,9.43,-2.08,44720.00,424947.00,-1,12
2023-03-02,9.50,9.63,9.48,9.63,0.10,19100.00,181339.00,1,13
2023-03-01,9.63,9.74,9.49,9.62,1.80,44936.00,429372.82,1,14
2023-02-28,9.78,9.89,9.41,9.45,-1.46,68310.00,652248.80,-1,15
2023-02-27,9.42,9.59,9.41,9.59,1.91,26677.00,252690.66,1,16
2023-02-26,9.50,9.50,9.37,9.41,-2.79,54250.00,510900.00,-1,17
2023-02-23,9.82,9.90,9.68,9.68,-0.21,90554.00,889339.52,-1,18
2023-02-22,9.70,10.00,9.51,9.70,0.62,64301.00,625538.81,1,19
2023-02-20,9.96,10.00,9.47,9.64,-1.43,54812.00,537675.34,-1,20
2023-02-16,9.70,9.97,9.70,9.78,-0.71,102000.00,996072.00,-1,21
2023-02-15,10.05,10.05,9.85,9.85,-0.71,10320.00,101804.00,-1,22
2023-02-14,10.10,10.11,9.73,9.92,-0.70,28412.00,281141.70,-1,23
2023-02-12,9.92,10.00,9.91,9.99,-1.09,164042.00,1629554.20,-1,24
2023-02-09,10.05,10.10,10.05,10.10,0.50,22846.00,230394.60,1,25
2023-02-08,10.10,10.15,10.00,10.05,0.50,132573.00,1336013.00,1,26
2023-02-07,10.11,10.18,10.00,10.00,-0.89,82400.00,835768.20,-1,27
2023-02-06,9.82,10.09,9.82,10.09,0.90,50773.00,505724.90,1,28
2023-02-05,9.85,10.00,9.70,10.00,-0.40,93033.00,919786.22,-1,29
2023-02-02,9.90,10.04,9.85,10.04,-0.10,133199.00,1321533.46,-1,30
2023-02-01,10.00,10.14,10.00,10.05,0.60,30700.00,307239.14,1,31
2023-01-31,10.20,10.30,9.81,9.99,-1.58,45000.00,453649.80,-1,32
2023-01-30,10.01,10.15,10.01,10.15,0.00,35420.00,356982.20,0,33
2023-01-29,9.95,10.15,9.95,10.15,0.00,36491.00,369282.15,0,34
2023-01-26,10.18,10.18,10.01,10.15,1.50,66939.00,673565.62,1,35
2023-01-25,10.03,10.04,9.95,10.00,0.81,31982.00,319032.00,1,36
2023-01-24,10.00,10.00,9.86,9.92,-0.70,69921.00,692522.06,-1,37
2023-01-23,9.86,10.00,9.86,9.99,0.91,90629.00,902234.27,1,38
2023-01-19,9.60,10.00,9.60,9.90,3.13,121897.00,1207573.10,1,39
2023-01-18,9.90,9.95,9.55,9.60,-3.52,44947.00,434426.85,-1,40
2023-01-17,9.63,9.95,9.50,9.95,5.29,303658.00,2974389.54,1,41
2023-01-12,9.89,9.89,9.45,9.45,-2.58,85550.00,821253.00,-1,42
2023-01-10,9.90,9.90,9.70,9.70,-2.02,39445.00,385900.65,-1,43
2023-01-09,9.91,9.93,9.66,9.90,-0.10,104527.00,1026793.20,-1,44
2023-01-08,9.00,9.95,9.00,9.91,9.38,179813.00,1703492.70,1,45
2023-01-05,8.90,9.15,8.90,9.06,0.67,110830.00,1004096.50,1,46
2023-01-04,8.85,9.10,8.85,9.00,1.35,101214.00,907574.75,1,47
2023-01-03,8.91,9.02,8.88,8.88,-1.33,144500.00,1297315.24,-1,48
2023-01-02,9.00,9.10,8.97,9.00,0.00,179883.00,1623697.50,0,49
2023-01-01,8.91,9.09,8.91,9.00,2.86,37291.00,334354.30,1,50
2022-12-29,8.60,8.75,8.45,8.75,0.57,116443.00,1007869.75,1,51
2022-12-28,8.49,8.70,8.49,8.70,0.46,231386.00,1977635.50,1,52
2022-12-27,8.72,8.72,8.55,8.66,1.29,15687.00,135020.26,1,53
2022-12-26,8.69,8.69,8.47,8.55,0.23,13955.00,118975.55,1,54
2022-12-22,8.50,8.56,8.45,8.53,0.12,69940.00,594197.43,1,55
2022-12-21,8.45,8.52,8.44,8.52,0.95,32500.00,275531.00,1,56
2022-12-20,8.39,8.44,8.39,8.44,0.72,26700.00,224218.00,1,57
2022-12-19,8.56,8.56,8.36,8.38,-1.30,16800.00,141344.90,-1,58
2022-12-18,8.50,8.51,8.35,8.49,1.68,28900.00,241793.00,1,59
2022-12-15,8.35,8.35,8.30,8.35,0.72,78481.00,655283.00,1,60
2022-12-14,8.54,8.54,8.29,8.29,-1.31,5100.00,42799.00,-1,61
2022-12-13,8.58,8.58,8.40,8.40,-0.47,4944.00,41751.10,-1,62
2022-12-12,8.25,8.50,8.25,8.44,0.48,31977.00,269480.96,1,63
2022-12-11,8.61,8.95,8.40,8.40,-0.59,184080.00,1553663.00,-1,64
2022-12-07,8.44,8.50,8.44,8.45,-0.47,51889.00,439102.72,-1,65
2022-12-06,8.47,8.49,8.31,8.49,2.17,26304.00,221876.73,1,66
2022-12-05,8.30,8.42,8.27,8.31,0.85,32100.00,266628.14,1,67
2022-12-04,8.20,8.51,8.20,8.24,-1.32,55853.00,464476.19,-1,68
2022-12-01,8.61,8.61,8.35,8.35,-1.18,11000.00,92417.00,-1,69
2022-11-30,8.56,8.56,8.40,8.45,0.60,24130.00,203703.00,1,70
2022-11-29,8.44,8.44,8.35,8.40,1.08,4050.00,34016.10,1,71
2022-11-28,8.42,8.45,8.30,8.31,-0.48,12500.00,104084.00,-1,72
2022-11-27,8.30,8.35,8.20,8.35,0.00,24105.00,200190.00,0,73
2022-11-24,8.45,8.45,8.29,8.35,0.12,14335.00,119728.15,1,74
2022-11-23,8.50,8.57,8.34,8.34,-1.77,28900.00,243318.70,-1,75
2022-11-22,8.38,8.49,8.38,8.49,1.31,18270.00,154541.72,1,76
2022-11-17,8.40,8.40,8.20,8.38,1.58,58200.00,483240.50,1,77
2022-11-16,8.41,8.41,8.25,8.25,0.00,25600.00,211484.40,0,78
2022-11-15,8.57,8.57,8.25,8.25,-2.02,24900.00,207424.60,-1,79
2022-11-14,8.47,8.47,8.30,8.42,0.36,2219.00,18677.16,1,80
2022-11-13,8.26,8.42,8.24,8.39,1.57,27576.00,228434.00,1,81
2022-11-10,8.30,8.40,8.26,8.26,-0.48,2405.00,20029.40,-1,82
2022-11-09,8.32,8.46,8.30,8.30,0.00,36739.00,306768.57,0,83
2022-11-08,8.30,8.46,8.30,8.30,-0.48,33956.00,282685.30,-1,84
2022-11-07,8.31,8.49,8.31,8.34,-0.71,18380.00,153393.00,-1,85
2022-11-06,8.50,8.50,8.22,8.40,0.48,22647.00,187613.50,1,86
2022-11-03,8.24,8.39,8.24,8.36,-0.48,4493.00,37400.48,-1,87
2022-11-02,8.34,8.48,8.34,8.40,0.00,30586.00,256781.22,0,88
2022-11-01,8.41,8.54,8.25,8.40,1.82,31100.00,260877.20,1,89
2022-10-31,8.37,8.37,8.15,8.25,-0.72,34125.00,279613.25,-1,90
2022-10-23,8.39,8.39,8.23,8.31,-0.95,28970.00,240635.70,-1,91
2022-10-20,8.18,8.39,8.17,8.39,0.72,5100.00,41867.00,1,92
2022-10-19,8.30,8.41,8.18,8.33,0.60,23000.00,191025.00,1,93
2022-10-17,8.18,8.36,8.18,8.28,1.22,33865.00,280037.40,1,94
2022-10-16,8.20,8.22,8.11,8.18,1.24,6160.00,50245.60,1,95
2022-10-13,8.37,8.49,8.08,8.08,-3.46,113044.00,923238.34,-1,96
2022-10-12,8.50,8.50,8.13,8.37,-0.95,68476.00,565295.40,-1,97
2022-10-11,8.38,8.54,8.37,8.45,-0.59,29186.00,246864.40,-1,98
2022-10-10,8.70,8.70,8.50,8.50,-2.19,82944.00,717818.75,-1,99
2022-10-09,8.70,8.70,8.53,8.69,1.76,2600.00,22433.00,1,100
