published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-15,249.30,255.20,248.00,250.90,-1.03,23721.00,5944542.50,-1,1
2025-10-14,262.9,262.9,253.2,253.5,-2.12,24660.0,6275436.9,-1,1
2025-10-13,255.0,262.1,249.1,259.0,0.78,51122.0,13015227.5,1,1
2025-10-12,260.1,260.2,252.5,257.0,-3.02,62899.0,16063918.4,-1,1
2025-10-09,264.1,275.0,261.3,265.0,2.32,62876.0,16764552.7,1,1
2025-10-08,264.0,266.0,255.0,259.0,-1.89,44732.0,11582803.3,-1,1
2025-10-07,281.4,281.4,262.1,264.0,-4.35,61591.0,16476930.2,-1,1
2025-09-28,277.9,281.1,273.0,276.0,1.28,124912.0,34589026.6,1,1
2025-09-25,261.0,277.5,258.7,272.5,5.62,211469.0,57417598.8,1,1
2025-09-24,264.0,264.0,255.0,258.0,-1.15,14206.0,3667559.3,-1,1
2025-09-23,255.7,263.2,255.1,261.0,3.15,35891.0,9302621.4,1,1
2025-09-21,227.4,255.0,227.4,253.02,9.06,71076.0,17351944.2,1,1
2025-09-18,246.0,246.1,232.0,232.0,-7.54,4833.0,1144454.3,-1,1
2025-09-08,260.0,260.0,249.9,250.93,-2.54,54580.0,13736239.6,-1,1
2025-09-07,258.0,261.9,257.0,257.46,-0.5,21426.0,5537868.8,-1,1
2025-09-04,260.9,262.0,256.0,258.76,-0.91,47718.0,12321747.2,-1,1
2025-09-03,265.4,265.4,261.0,261.13,-0.62,28537.0,7477609.4,-1,1
2025-09-02,268.0,268.0,262.2,262.77,-0.9,22119.0,5832122.8,-1,1
2025-09-01,263.2,268.0,262.1,265.16,-0.54,34015.0,8988178.2,-1,1
2025-08-31,265.8,269.0,265.0,266.6,-0.61,37289.0,9932692.75,-1,1
2025-08-28,272.0,280.0,267.0,268.24,-1.48,62349.0,16945031.7,-1,1
2025-08-27,263.1,274.0,261.0,272.28,2.63,43219.0,11684777.3,1,1
2025-08-26,269.0,269.0,264.0,265.3,-0.22,11488.0,3048778.1,-1,1
2025-08-25,261.0,266.5,261.0,265.89,1.07,28197.0,7426695.3,1,1
2025-08-24,266.0,269.0,262.0,263.07,-1.18,34640.0,9151031.05,-1,1
2025-08-21,264.0,270.0,264.0,266.2,-0.94,67957.0,18103528.2,-1,1
2025-08-20,266.0,274.9,266.0,268.72,-0.82,19162.0,5157119.5,-1,1
2025-08-19,273.8,273.8,269.0,270.93,0.11,38929.0,10545142.0,1,1
2025-08-18,269.0,271.9,265.0,270.63,0.87,61636.0,16606186.7,1,1
