published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-28,1670.00,1732.80,1642.00,1699.36,1.95,2244.00,3758920.00,1,1
2025-07-27,1745.0,1745.0,1651.0,1666.82,-2.86,5031.0,8583455.8,-1,1
2025-07-24,1740.0,1774.0,1700.0,1715.81,-0.97,2337.0,4061633.2,-1,1
2025-07-23,1740.0,1809.0,1730.0,1732.59,-2.35,2262.0,3949036.4,-1,1
2025-07-22,1702.48,1871.0,1697.0,1774.3,4.22,2414.0,4257055.4,1,1
2025-07-21,1670.1,1720.0,1670.1,1702.48,0.45,2948.0,5029171.0,1,1
2025-07-20,1670.0,1740.0,1670.0,1694.86,0.35,5355.0,9139387.8,1,1
2025-07-17,1675.0,1695.0,1641.5,1689.0,2.67,1202.0,2004193.2,1,1
2025-07-16,1645.0,1655.0,1632.0,1645.1,0.71,2979.0,4911607.8,1,1
2025-07-15,1635.0,1639.8,1617.0,1633.44,-0.33,528.0,857789.1,-1,1
2025-07-14,1647.3,1648.0,1620.1,1638.9,-0.02,1760.0,2886294.7,-1,1
2025-07-13,1611.6,1660.0,1611.6,1639.24,3.75,3110.0,5105892.3,1,1
2025-07-10,1562.0,1588.0,1561.0,1580.0,1.28,405.0,637600.0,1,1
2025-07-09,1556.0,1595.0,1556.0,1560.0,0.32,203.0,318205.4,1,1
2025-07-08,1555.1,1555.1,1555.0,1555.02,-1.88,40.0,62201.0,-1,1
2025-07-07,1552.0,1611.0,1551.0,1584.85,0.31,911.0,1435779.9,1,1
2025-07-06,1590.0,1600.0,1578.0,1580.0,-1.62,630.0,1001038.0,-1,1
2025-07-03,1625.0,1625.0,1580.1,1606.0,-0.35,2021.0,3223609.2,-1,1
2025-07-02,1590.1,1630.6,1580.0,1611.6,-0.61,1378.0,2209829.0,-1,1
2025-07-01,1516.37,1624.0,1516.37,1621.56,6.94,6269.0,10005654.0,1,1
2025-06-30,1515.0,1531.0,1485.0,1516.37,1.91,686.0,1037621.6,1,1
2025-06-29,1466.0,1495.0,1453.2,1487.98,1.5,650.0,957044.6,1,1
2025-06-26,1469.0,1470.0,1464.5,1466.0,-1.89,218.0,319487.5,-1,1
2025-06-25,1470.0,1505.8,1455.0,1494.3,1.22,1102.0,1629482.4,1,1
2025-06-24,1479.0,1498.0,1455.0,1476.36,0.09,1238.0,1829500.0,1,1
2025-06-23,1479.0,1479.0,1465.0,1475.1,1.34,338.0,498341.4,1,1
2025-06-22,1465.1,1466.1,1455.1,1455.55,-1.9,1291.0,1883504.5,-1,1
2025-06-19,1480.1,1500.0,1480.1,1483.73,-0.98,1279.0,1899012.6,-1,1
2025-06-18,1481.0,1510.0,1481.0,1498.4,-0.57,656.0,982960.8,-1,1
2025-06-17,1501.0,1530.0,1500.0,1507.0,0.47,1090.0,1651028.8,1,1
2025-06-16,1532.8,1563.4,1495.0,1500.0,-0.19,1232.0,1850673.2,-1,1
2025-06-15,1506.0,1519.0,1490.0,1502.84,-0.27,1750.0,2627481.5,-1,1
2025-06-12,1519.9,1525.0,1504.0,1506.88,-0.58,187.0,282378.6,-1,1
2025-06-11,1515.0,1539.0,1511.0,1515.72,0.31,592.0,897174.0,1,1
2025-06-10,1530.0,1562.0,1500.0,1511.0,0.73,1160.0,1775232.4,1,1
2025-06-09,1500.0,1520.0,1500.0,1500.0,0.0,1717.0,2578440.1,0,1
2025-06-08,1540.0,1540.0,1487.1,1500.0,-2.6,983.0,1478364.8,-1,1
2025-06-05,1500.0,1540.0,1500.0,1540.0,1.31,118.0,178923.0,1,1
2025-06-04,1550.0,1550.0,1515.1,1520.14,-1.29,589.0,900590.5,-1,1
2025-06-03,1541.0,1542.0,1532.0,1540.0,-0.68,686.0,1055280.6,-1,2
2025-06-02,1515.0,1606.0,1515.0,1550.5,0.68,464.0,725610.3,1,1
2025-05-28,1590.0,1590.0,1530.0,1540.1,-1.23,130.0,201240.8,-1,1
2025-05-27,1584.0,1584.0,1555.2,1559.24,-1.74,1712.0,2669786.2,-1,2
2025-05-26,1662.6,1687.0,1582.8,1586.85,-2.69,3235.0,5254149.8,-1,1
2025-05-25,1600.0,1638.0,1569.0,1630.71,3.39,2309.0,3746524.0,1,2
2025-05-22,1550.0,1609.0,1550.0,1577.26,1.73,1721.0,2726633.3,1,3
2025-05-21,1597.9,1597.9,1550.0,1550.48,-1.03,836.0,1304422.2,-1,4
2025-05-20,1550.0,1566.6,1480.0,1566.6,2.32,1287.0,1957258.0,1,5
2025-05-19,1540.0,1540.0,1525.0,1531.1,-0.09,414.0,635063.5,-1,6
2025-05-18,1530.0,1571.5,1530.0,1532.53,0.14,1815.0,2793331.6,1,7
2025-05-15,1530.1,1532.1,1530.1,1530.32,-0.4,1075.0,1646197.7,-1,8
2025-05-14,1533.1,1572.0,1533.1,1536.51,-0.32,739.0,1139259.3,-1,9
2025-05-13,1583.0,1583.0,1538.0,1541.4,-0.7,951.0,1470024.0,-1,10
2025-05-11,1536.8,1581.0,1506.1,1552.23,-1.01,1820.0,2856752.0,-1,11
2025-05-08,1551.1,1640.0,1525.0,1568.1,1.1,2350.0,3675021.3,1,12
2025-05-07,1545.1,1573.8,1511.0,1551.1,-0.55,1052.0,1626152.2,-1,13
2025-05-06,1580.0,1580.0,1533.0,1559.6,-0.85,951.0,1486652.9,-1,14
2025-05-05,1564.0,1574.0,1542.5,1573.0,2.4,1075.0,1680771.7,1,15
2025-05-04,1500.0,1560.0,1480.0,1536.17,2.41,2401.0,3653905.0,1,16
2025-04-30,1487.0,1517.0,1486.1,1500.0,-0.28,1348.0,2014477.5,-1,17
2025-04-29,1533.0,1533.0,1500.4,1504.24,-2.35,2215.0,3350769.1,-1,18
2025-04-28,1541.0,1560.0,1536.0,1540.37,-0.72,715.0,1103089.5,-1,19
2025-04-27,1570.0,1598.0,1535.0,1551.59,-2.22,2503.0,3914998.8,-1,20
2025-04-24,1586.6,1616.0,1580.1,1586.75,-1.93,1059.0,1682135.8,-1,21
2025-04-23,1599.5,1617.9,1599.0,1617.9,0.38,412.0,659278.6,1,22
2025-04-22,1652.9,1653.0,1600.0,1611.8,-0.54,1787.0,2879444.9,-1,23
2025-04-21,1600.1,1650.0,1600.1,1620.59,-0.36,1211.0,1983088.4,-1,24
2025-04-20,1630.0,1630.6,1615.0,1626.39,-1.5,696.0,1132772.3,-1,25
2025-04-17,1640.0,1661.0,1640.0,1651.2,1.41,777.0,1286801.4,1,26
2025-04-16,1630.0,1659.9,1625.1,1628.23,-0.72,494.0,806979.2,-1,27
2025-04-15,1615.0,1645.0,1614.0,1640.0,1.59,1153.0,1879858.2,1,28
2025-04-13,1615.0,1620.0,1610.2,1614.34,-0.79,354.0,571029.8,-1,29
2025-04-10,1611.0,1640.0,1611.0,1627.23,-0.33,1187.0,1929945.0,-1,30
2025-04-09,1597.0,1650.0,1597.0,1632.59,0.23,2196.0,3595357.6,1,31
2025-04-08,1565.1,1659.4,1565.1,1628.85,2.81,1405.0,2261201.5,1,32
2025-04-07,1637.0,1637.0,1582.7,1584.33,-1.58,2318.0,3733247.6,-1,33
2025-04-03,1640.0,1640.0,1607.0,1609.78,-1.08,1923.0,3104786.4,-1,34
2025-04-02,1666.4,1698.0,1601.1,1627.33,-0.39,425.0,705466.0,-1,35
2025-04-01,1652.0,1675.0,1620.2,1633.75,-2.47,1559.0,2554920.0,-1,36
2025-03-30,1675.0,1700.0,1670.0,1675.2,1.52,2282.0,3852098.0,1,37
2025-03-27,1567.0,1669.7,1567.0,1650.09,5.29,1959.0,3197591.7,1,38
2025-03-26,1585.0,1595.0,1533.8,1567.16,0.14,1203.0,1893181.6,1,39
2025-03-25,1591.3,1591.3,1556.0,1564.95,-3.09,1940.0,3047054.1,-1,40
2025-03-24,1591.0,1679.0,1590.0,1614.93,-0.12,2088.0,3378396.0,-1,41
2025-03-23,1664.6,1666.0,1595.0,1616.81,-3.82,3463.0,5639831.2,-1,42
2025-03-20,1652.4,1722.0,1652.4,1680.95,-0.13,1938.0,3263918.7,-1,43
2025-03-19,1697.0,1719.0,1683.1,1683.1,-0.29,1908.0,3219939.3,-1,44
2025-03-18,1745.0,1745.0,1688.0,1688.0,-1.86,1137.0,1939275.0,-1,45
2025-03-17,1690.0,1720.0,1690.0,1720.0,-0.23,1247.0,2132826.7,-1,46
2025-03-16,1702.2,1724.0,1692.1,1724.0,1.39,2865.0,4873514.4,1,47
2025-03-12,1783.9,1783.9,1700.0,1700.3,-2.78,1865.0,3218977.0,-1,48
2025-03-11,1750.0,1768.0,1732.7,1749.0,-1.07,1655.0,2885868.2,-1,49
2025-03-10,1750.0,1793.5,1750.0,1768.0,-0.95,1719.0,3033269.0,-1,50
2024-12-12,1870.0,1870.0,1790.0,1790.0,-3.45,2358.0,4256683.6,-1,1
2024-12-11,1830.1,1865.0,1800.0,1854.0,-0.16,5637.0,10351421.4,-1,1
2024-12-10,1771.7,1884.0,1771.7,1857.0,6.91,22484.0,41390122.7,1,1
2024-12-09,1739.0,1813.2,1680.0,1737.0,1.58,9397.0,16488286.0,1,2
2024-12-08,1718.1,1752.4,1701.0,1710.0,-2.01,4601.0,7893856.1,-1,3
2024-12-05,1750.0,1859.9,1726.0,1745.0,-0.85,4670.0,8241201.9,-1,4
2024-12-04,1687.0,1770.0,1687.0,1760.0,4.39,5419.0,9419523.2,1,5
2024-12-03,1755.0,1755.4,1686.0,1686.0,-2.03,4481.0,7655325.3,-1,6
2024-12-02,1805.4,1805.4,1721.0,1721.0,-2.77,4707.0,8234150.9,-1,7
2024-12-01,1745.0,1775.0,1745.0,1770.0,-0.51,2252.0,3967270.3,-1,8
2024-11-28,1806.0,1815.0,1750.0,1779.0,-1.45,4295.0,7603475.8,-1,9
2024-11-27,1793.9,1825.0,1793.9,1805.1,2.56,6119.0,11050393.9,1,10
2024-11-26,1785.0,1800.0,1740.0,1760.0,0.51,1907.0,3353512.9,1,11
2024-11-25,1756.0,1775.0,1736.0,1751.0,-0.28,1908.0,3352751.1,-1,12
2024-11-24,1830.0,1835.0,1756.0,1756.0,-2.44,3706.0,6612129.0,-1,13
2024-11-21,1780.0,1861.0,1778.0,1800.0,2.33,15034.0,27430128.1,1,14
2024-11-20,1732.0,1829.9,1725.0,1759.0,-0.06,3848.0,6755059.5,-1,15
2024-11-19,1881.0,1897.9,1760.0,1760.0,-6.54,12139.0,21898996.2,-1,16
2024-11-17,1845.0,1959.4,1845.0,1883.1,4.04,18670.0,35654676.5,1,17
2024-11-14,1764.6,1824.9,1740.0,1810.0,4.62,14599.0,26032928.4,1,18
2024-11-13,1715.1,1745.0,1682.0,1730.0,-1.14,3984.0,6806752.5,-1,19
2024-11-12,1712.0,1831.0,1712.0,1750.0,0.98,7061.0,12604384.2,1,20
2024-11-11,1726.0,1792.0,1691.0,1733.0,2.36,13752.0,23995370.6,1,21
2024-11-10,1611.1,1693.0,1611.1,1693.0,5.09,3141.0,5192272.8,1,22
2024-11-06,1593.0,1620.0,1592.1,1611.0,-0.8,734.0,1178167.8,-1,23
2024-11-05,1570.0,1647.0,1570.0,1624.0,3.51,4780.0,7736198.3,1,24
2024-10-30,1549.9,1570.0,1535.1,1568.9,1.74,1448.0,2262882.6,1,25
2024-10-29,1515.1,1565.7,1515.1,1542.0,1.11,1215.0,1872271.9,1,26
2024-10-28,1502.0,1525.0,1495.0,1525.0,0.0,769.0,1157895.8,0,27
2024-10-27,1550.0,1550.0,1504.2,1525.0,0.33,1605.0,2432945.2,1,28
2024-10-24,1483.0,1520.9,1483.0,1520.0,0.52,1809.0,2708807.6,1,29
2024-10-23,1510.1,1588.0,1510.1,1512.1,-1.11,783.0,1195712.3,-1,30
2024-10-22,1500.0,1536.1,1492.0,1529.0,1.93,932.0,1409627.4,1,31
2024-10-21,1524.0,1524.0,1500.0,1500.0,-3.35,1292.0,1944720.5,-1,32
2024-10-20,1568.0,1568.0,1537.0,1552.0,-3.0,2517.0,3921257.4,-1,33
2024-10-17,1620.7,1620.7,1576.0,1600.0,0.69,1775.0,2822020.9,1,34
2024-10-16,1560.0,1600.0,1560.0,1589.0,1.15,1938.0,3075091.1,1,35
2024-10-15,1580.0,1580.0,1552.1,1571.0,-0.47,1275.0,2000396.2,-1,36
2024-10-09,1543.0,1578.4,1531.0,1578.4,1.5,914.0,1408497.6,1,37
2024-10-08,1560.0,1590.0,1555.0,1555.0,-1.96,900.0,1407733.0,-1,38
2024-10-07,1574.0,1620.0,1574.0,1586.1,0.77,2957.0,4752896.1,1,39
2024-10-06,1543.0,1575.0,1543.0,1574.0,1.55,909.0,1421799.4,1,40
2024-10-02,1560.0,1575.0,1531.0,1550.0,0.97,4585.0,7070066.9,1,41
2024-10-01,1489.0,1550.0,1489.0,1535.1,5.14,1582.0,2422539.4,1,42
2024-09-30,1425.0,1463.0,1425.0,1460.0,2.46,1464.0,2114718.0,1,43
2024-09-29,1440.0,1508.0,1421.0,1425.0,-1.72,2375.0,3426517.6,-1,44
2024-09-26,1480.0,1499.8,1445.0,1450.0,-1.53,1477.0,2157812.8,-1,45
