published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-08,475.0,480.0,472.0,472.26,-1.6,8597.0,4068950.7,-1,1
2025-06-05,487.0,505.0,473.3,479.92,0.42,3852.0,1847132.2,1,1
2025-06-04,490.0,499.0,475.2,477.92,-0.76,10181.0,4884803.9,-1,1
2025-06-03,485.0,490.0,478.0,481.56,-0.79,7130.0,3442733.6,-1,2
2025-06-02,499.0,505.0,485.1,485.4,-0.84,7328.0,3611836.3,-1,1
2025-05-28,487.0,492.0,481.0,489.51,0.44,6195.0,3005264.9,1,1
2025-05-27,480.0,499.3,480.0,487.35,0.3,3673.0,1795604.4,1,2
2025-05-26,500.0,515.0,481.0,485.89,-1.01,11667.0,5739657.5,-1,1
2025-05-25,497.2,513.0,490.0,490.84,-3.24,24288.0,12049203.0,-1,2
2025-05-22,505.0,512.0,495.0,507.26,0.97,20679.0,10420712.4,1,3
2025-05-21,503.5,543.0,500.0,502.4,1.76,37372.0,18988581.1,1,4
2025-05-20,476.0,499.9,470.1,493.69,3.75,13873.0,6755638.8,1,5
2025-05-19,481.0,485.0,475.3,475.84,0.87,8547.0,4083030.2,1,6
2025-05-18,470.0,479.0,470.0,471.74,-0.53,6972.0,3302946.0,-1,7
2025-05-15,489.9,490.0,473.1,474.24,-1.36,8766.0,4173724.9,-1,8
2025-05-14,487.0,494.2,480.0,480.76,0.58,13965.0,6805018.0,1,9
2025-05-13,486.0,492.0,475.0,477.97,-1.85,16448.0,7926290.0,-1,10
2025-05-11,515.0,515.0,480.2,486.97,-4.33,13232.0,6565869.6,-1,11
2025-05-08,485.0,514.0,477.0,509.03,4.53,39437.0,19765779.9,1,12
2025-05-07,452.7,490.0,451.5,486.98,5.7,18512.0,8797480.3,1,13
2025-05-06,467.0,467.0,458.0,460.71,-1.14,4194.0,1927539.0,-1,14
2025-05-05,467.0,470.0,460.0,466.0,-1.0,12909.0,5993066.6,-1,15
2025-05-04,482.6,482.6,470.0,470.69,-0.54,14915.0,7062974.2,-1,16
2025-04-30,477.6,488.0,472.4,473.26,-1.66,20455.0,9719058.2,-1,17
2025-04-29,485.7,491.0,480.0,481.26,-2.26,5222.0,2540680.8,-1,18
2025-04-28,485.0,503.9,485.0,492.4,1.94,24584.0,12134024.2,1,19
2025-04-27,497.9,498.0,472.0,483.03,-1.31,33368.0,16143497.9,-1,20
2025-04-24,492.0,499.0,485.9,489.45,-0.52,12103.0,5943103.8,-1,21
2025-04-23,488.1,500.0,488.1,492.0,-1.22,11353.0,5593446.0,-1,22
2025-04-22,497.1,504.0,495.0,498.06,0.37,28823.0,14373018.3,1,23
2025-04-21,509.0,515.0,495.1,496.23,-0.96,17000.0,8450964.0,-1,24
2025-04-20,516.0,516.0,500.2,501.06,-0.99,12053.0,6062077.2,-1,25
2025-04-17,509.0,519.9,503.0,506.05,-0.75,21424.0,10931298.4,-1,26
2025-04-16,518.0,518.0,509.0,509.86,-0.82,12709.0,6484597.6,-1,27
2025-04-15,502.0,517.0,502.0,514.08,2.49,14741.0,7570997.4,1,28
2025-04-13,512.0,512.0,501.2,501.59,-1.39,5222.0,2632794.7,-1,29
2025-04-10,508.2,519.0,507.1,508.66,-1.77,6158.0,3139139.9,-1,30
2025-04-09,517.0,522.0,507.0,517.82,2.15,26464.0,13717627.1,1,31
2025-04-08,492.0,509.0,492.0,506.9,1.36,10024.0,4998368.5,1,32
2025-04-07,515.0,524.9,496.0,500.08,-2.92,17592.0,8883853.2,-1,33
2025-04-03,534.0,534.0,514.0,515.11,-1.78,24740.0,13010949.3,-1,34
2025-04-02,500.5,529.0,500.5,524.47,2.8,57878.0,30019339.7,1,35
2025-04-01,520.0,524.8,507.0,510.2,-1.2,21113.0,10772447.1,-1,36
2025-03-30,511.0,523.0,501.0,516.41,2.77,28273.0,14554985.9,1,37
2025-03-27,495.2,513.3,495.2,502.49,0.44,22920.0,11562060.8,1,38
2025-03-26,494.6,509.9,485.1,500.27,3.11,9752.0,4876118.3,1,39
2025-03-25,503.9,503.9,482.0,485.17,-3.2,14900.0,7258452.1,-1,40
2025-03-24,487.8,515.0,487.8,501.23,3.77,21481.0,10785766.3,1,41
2025-03-23,500.0,500.0,481.2,483.0,-3.45,7778.0,3803170.5,-1,42
2025-03-20,509.0,513.9,486.3,500.26,-0.74,10472.0,5248705.9,-1,43
2025-03-19,523.1,523.1,500.0,504.0,-1.75,8950.0,4533202.6,-1,44
2025-03-18,529.9,529.9,503.0,513.0,-1.33,7675.0,3959948.5,-1,45
2025-03-17,518.2,528.0,509.0,519.9,1.74,17863.0,9234632.0,1,46
2025-03-16,523.5,523.5,490.1,511.0,-1.01,34871.0,17801944.4,-1,47
2025-03-12,515.0,528.0,510.1,516.2,0.23,11697.0,6049848.9,1,48
2025-03-11,532.0,532.0,512.0,515.0,-1.53,18898.0,9799575.6,-1,49
2025-03-10,537.5,544.8,515.0,523.0,-0.76,13217.0,6910595.2,-1,50
2024-12-12,650.0,650.0,615.0,617.0,-3.29,14717.0,9200518.8,-1,1
2024-12-11,625.1,646.0,621.5,638.0,0.82,13135.0,8363012.2,1,1
2024-12-10,647.0,647.0,625.3,632.8,-0.35,9167.0,5800481.2,-1,1
2024-12-09,648.0,650.0,635.0,635.0,-1.24,18023.0,11574574.8,-1,2
2024-12-08,664.0,664.0,640.0,643.0,-1.83,33464.0,21545627.8,-1,3
2024-12-05,660.0,669.9,653.0,655.0,-1.21,36401.0,23899679.8,-1,4
2024-12-04,679.0,680.3,660.3,663.0,-0.6,32788.0,21855620.9,-1,5
2024-12-03,665.0,680.0,655.0,667.0,1.83,33677.0,22558317.8,1,6
2024-12-02,666.2,674.8,650.0,655.0,-1.68,32215.0,21330052.7,-1,7
2024-12-01,660.6,673.9,655.0,666.2,-1.16,26611.0,17730051.9,-1,8
2024-11-28,697.0,697.0,670.0,674.0,-2.32,36484.0,24744993.1,-1,9
2024-11-27,683.0,694.0,680.0,690.0,1.19,40633.0,27915734.3,1,10
2024-11-26,680.0,688.9,670.0,681.9,1.62,32532.0,22126472.0,1,11
2024-11-25,665.0,682.0,665.0,671.0,1.67,33631.0,22667351.6,1,12
2024-11-24,650.0,676.1,650.0,660.0,-0.32,36134.0,23884170.6,-1,13
2024-11-21,690.0,696.0,661.6,662.1,-3.76,46738.0,31357528.9,-1,14
2024-11-20,670.0,691.9,667.0,688.0,1.33,39280.0,26874024.8,1,15
2024-11-19,689.0,703.0,675.3,679.0,-1.74,81054.0,55512642.8,-1,16
2024-11-17,713.5,723.0,687.1,691.0,-3.15,145396.0,102232841.3,-1,17
2024-11-14,716.0,735.9,706.1,713.5,-0.47,135556.0,98181800.3,-1,18
2024-11-13,672.0,718.0,670.0,716.9,7.02,191646.0,133373988.3,1,19
2024-11-12,649.9,675.0,649.9,669.9,2.12,75127.0,49941496.8,1,20
2024-11-11,655.0,671.0,647.0,656.0,-0.91,61475.0,40211618.2,-1,21
2024-11-10,661.8,666.0,646.0,662.0,2.02,46877.0,31005961.1,1,22
2024-11-06,650.0,657.8,639.9,648.9,1.55,38316.0,24863673.3,1,23
2024-11-05,630.1,654.0,630.1,639.0,-0.31,18223.0,11648855.1,-1,24
2024-10-30,663.0,663.0,637.0,641.0,-1.38,28302.0,18141509.0,-1,25
2024-10-29,642.0,663.9,636.0,650.0,3.17,107357.0,70212550.7,1,26
2024-10-28,615.2,630.0,610.2,630.0,4.44,49619.0,30847092.0,1,27
2024-10-27,610.0,610.0,600.0,603.2,-0.3,29166.0,17662235.8,-1,28
2024-10-24,623.0,629.9,601.0,605.0,-2.89,41401.0,25412687.8,-1,29
2024-10-23,611.0,640.0,610.0,623.0,0.16,52762.0,33115624.3,1,30
